,Step,Episode return,Success,Episode length
0,0,-13.000014305114746,0.0,100.0
1,100,-10.000187873840332,0.0,100.0
2,200,-10.000001907348633,0.0,100.0
3,300,-10.000001907348633,0.0,100.0
4,400,-10.000001907348633,0.0,100.0
5,500,-12.297588348388672,0.0,100.0
6,600,-10.000001907348633,0.0,100.0
7,700,-10.000001907348633,0.0,100.0
8,800,-15.075607299804688,0.0,100.0
9,900,-10.000001907348633,0.0,100.0
10,1000,-19.00002098083496,0.0,100.0
11,1100,-10.001725196838379,0.0,100.0
12,1200,-6.3292107582092285,0.0,100.0
13,1300,-8.651189804077148,0.0,100.0
14,1400,-10.915802001953125,0.0,100.0
15,1500,-11.905024528503418,0.0,100.0
16,1600,-10.000001907348633,0.0,100.0
17,1700,-19.000032424926758,0.0,100.0
18,1800,-18.44947624206543,0.0,100.0
19,1900,-10.000001907348633,0.0,100.0
20,2000,-10.238579750061035,0.0,100.0
21,2100,-10.000001907348633,0.0,100.0
22,2200,-18.579448699951172,0.0,100.0
23,2300,-17.714990615844727,0.0,100.0
24,2400,4.943276882171631,0.0,100.0
25,2500,-10.000001907348633,0.0,100.0
26,2600,-14.838356018066406,0.0,100.0
27,2700,-15.586112976074219,0.0,100.0
28,2800,-10.000001907348633,0.0,100.0
29,2900,-10.000001907348633,0.0,100.0
30,3000,-12.428876876831055,0.0,100.0
31,3100,-16.000015258789062,0.0,100.0
32,3200,-19.00001335144043,0.0,100.0
33,3300,-10.034996032714844,0.0,100.0
34,3400,-19.000011444091797,0.0,100.0
35,3500,-10.000001907348633,0.0,100.0
36,3600,-10.000001907348633,0.0,100.0
37,3700,-26.213802337646484,0.0,100.0
38,3800,-19.09602928161621,0.0,100.0
39,3900,-10.000001907348633,0.0,100.0
40,4000,-14.748981475830078,0.0,100.0
41,4100,-10.000009536743164,0.0,100.0
42,4200,-13.000016212463379,0.0,100.0
43,4300,4.8084330558776855,0.0,100.0
44,4400,-13.000014305114746,0.0,100.0
45,4500,-8.055004119873047,0.0,100.0
46,4600,-4.645634174346924,0.0,100.0
47,4700,-10.0,0.0,100.0
48,4800,-9.999990463256836,0.0,100.0
49,4900,-13.000015258789062,0.0,100.0
50,5000,-10.000001907348633,0.0,100.0
51,5100,-9.999979019165039,0.0,100.0
52,5200,-10.053267478942871,0.0,100.0
53,5300,-10.00000286102295,0.0,100.0
54,5400,-13.000001907348633,0.0,100.0
55,5500,-13.000003814697266,0.0,100.0
56,5600,-16.4703426361084,0.0,100.0
57,5700,-10.209978103637695,0.0,100.0
58,5800,-8.659004211425781,0.0,100.0
59,5900,-10.000125885009766,0.0,100.0
60,6000,-10.000001907348633,0.0,100.0
61,6100,-5.687903881072998,0.0,100.0
62,6200,-16.000028610229492,0.0,100.0
63,6300,-7.664952754974365,0.0,100.0
64,6400,-16.55495834350586,0.0,100.0
65,6500,-10.000001907348633,0.0,100.0
66,6600,-18.071002960205078,0.0,100.0
67,6700,-10.560001373291016,0.0,100.0
68,6800,-13.00001335144043,0.0,100.0
69,6900,-8.687685012817383,0.0,100.0
70,7000,-10.000001907348633,0.0,100.0
71,7100,-10.000001907348633,0.0,100.0
72,7200,-9.999995231628418,0.0,100.0
73,7300,-22.000030517578125,0.0,100.0
74,7400,-9.636569023132324,0.0,100.0
75,7500,-13.000007629394531,0.0,100.0
76,7600,-10.006902694702148,0.0,100.0
77,7700,-1.2422330379486084,0.0,100.0
78,7800,-11.082836151123047,0.0,100.0
79,7900,-33.22919464111328,0.0,100.0
80,8000,-10.865159034729004,0.0,100.0
81,8100,-10.000001907348633,0.0,100.0
82,8200,-23.291706085205078,0.0,100.0
83,8300,-9.986492156982422,0.0,100.0
84,8400,-10.79463005065918,0.0,100.0
85,8500,-10.707775115966797,0.0,100.0
86,8600,-10.000776290893555,0.0,100.0
87,8700,-11.025188446044922,0.0,100.0
88,8800,-13.000001907348633,0.0,100.0
89,8900,-10.000001907348633,0.0,100.0
90,9000,-7.235291481018066,0.0,100.0
91,9100,-7.416022300720215,0.0,100.0
92,9200,-13.488826751708984,0.0,100.0
93,9300,-8.789251327514648,0.0,100.0
94,9400,-13.000016212463379,0.0,100.0
95,9500,-20.317264556884766,0.0,100.0
96,9600,-14.89182186126709,0.0,100.0
97,9700,-9.382542610168457,0.0,100.0
98,9800,-13.000003814697266,0.0,100.0
99,9900,-7.929653167724609,0.0,100.0
100,10000,-16.000001907348633,0.0,100.0
101,10100,-11.17190933227539,0.0,100.0
102,10200,-11.050382614135742,0.0,100.0
103,10300,-14.61042308807373,0.0,100.0
104,10400,-10.000001907348633,0.0,100.0
105,10500,-17.358402252197266,0.0,100.0
106,10600,-10.004045486450195,0.0,100.0
107,10700,-10.000001907348633,0.0,100.0
108,10800,-21.704092025756836,0.0,100.0
109,10900,-10.000001907348633,0.0,100.0
110,11000,-9.760225296020508,0.0,100.0
111,11100,-10.740091323852539,0.0,100.0
112,11200,-10.828632354736328,0.0,100.0
113,11300,-9.177299499511719,0.0,100.0
114,11400,-7.51777458190918,0.0,100.0
115,11500,-10.000001907348633,0.0,100.0
116,11600,-7.898078441619873,0.0,100.0
117,11700,-10.000001907348633,0.0,100.0
118,11800,-16.00008201599121,0.0,100.0
119,11900,-13.304134368896484,0.0,100.0
120,12000,-15.47736644744873,0.0,100.0
121,12100,-12.1502103805542,0.0,100.0
122,12200,-13.000016212463379,0.0,100.0
123,12300,-19.900482177734375,0.0,100.0
124,12400,-13.000139236450195,0.0,100.0
125,12500,-10.000001907348633,0.0,100.0
126,12600,-15.677194595336914,0.0,100.0
127,12700,-18.002151489257812,0.0,100.0
128,12800,-18.67134666442871,0.0,100.0
129,12900,-13.000016212463379,0.0,100.0
130,13000,-14.29222297668457,0.0,100.0
131,13100,-11.900843620300293,0.0,100.0
132,13200,-7.9262871742248535,0.0,100.0
133,13300,-10.000001907348633,0.0,100.0
134,13400,-4.947049617767334,0.0,100.0
135,13500,-10.000001907348633,0.0,100.0
136,13600,-14.876714706420898,0.0,100.0
137,13700,-11.155302047729492,0.0,100.0
138,13800,-23.010528564453125,0.0,100.0
139,13900,-13.000016212463379,0.0,100.0
140,14000,-22.000030517578125,0.0,100.0
141,14100,-14.646364212036133,0.0,100.0
142,14200,-10.000001907348633,0.0,100.0
143,14300,-10.000001907348633,0.0,100.0
144,14400,-10.000001907348633,0.0,100.0
145,14500,-20.86539649963379,0.0,100.0
146,14600,-9.570718765258789,0.0,100.0
147,14700,-10.000001907348633,0.0,100.0
148,14800,-22.00002670288086,0.0,100.0
149,14900,-11.35792350769043,0.0,100.0
150,15000,-15.745709419250488,0.0,100.0
151,15100,-24.68669319152832,0.0,100.0
152,15200,-20.09256362915039,0.0,100.0
153,15300,-6.523873329162598,0.0,100.0
154,15400,-16.130088806152344,0.0,100.0
155,15500,-16.33742904663086,0.0,100.0
156,15600,-10.000001907348633,0.0,100.0
157,15700,-24.307754516601562,0.0,100.0
158,15800,-15.08824348449707,0.0,100.0
159,15900,-16.835615158081055,0.0,100.0
160,16000,-10.000001907348633,0.0,100.0
161,16100,-10.588712692260742,0.0,100.0
162,16200,-10.000001907348633,0.0,100.0
163,16300,-10.000001907348633,0.0,100.0
164,16400,-13.000016212463379,0.0,100.0
165,16500,-10.000001907348633,0.0,100.0
166,16600,-13.000014305114746,0.0,100.0
167,16700,-22.439851760864258,0.0,100.0
168,16800,-10.30875301361084,0.0,100.0
