,Step,Episode extrinsic return,Success,Episode length
0,99,-8.035517109846687,0,100
1,199,-6.588446664327195,0,100
2,299,-15.999999999999938,0,100
3,399,-10.75943801948925,0,100
4,499,-17.216439183965385,0,100
5,599,-10.000272301102944,0,100
6,699,-9.99999999999998,0,100
7,799,-9.532843884651452,0,100
8,899,-19.939998874481294,0,100
9,999,-10.981817773138484,0,100
10,1099,-6.950265671977453,0,100
11,1199,-2.5085696201509204,0,100
12,1299,-9.999999999999904,0,100
13,1399,-8.945358202288778,0,100
14,1499,-9.121352561174048,0,100
15,1599,-6.407153527125933,0,100
16,1699,-13.424046524031501,0,100
17,1799,-9.99999999999998,0,100
18,1899,-9.99999999999998,0,100
19,1999,-15.490831531590755,0,100
20,2099,-20.812146816856497,0,100
21,2199,-11.780709008162535,0,100
22,2299,-15.999999999999973,0,100
23,2399,-11.045323268901885,0,100
24,2499,-9.999999999927018,0,100
25,2599,-7.381746007194573,0,100
26,2699,-10.115260273357162,0,100
27,2799,-10.548229496782893,0,100
28,2899,-10.00027501256216,0,100
29,2999,-15.99999999999998,0,100
30,3099,-10.000000000019412,0,100
31,3199,-12.99999999999997,0,100
32,3299,-15.999999999999973,0,100
33,3399,-9.99999999999998,0,100
34,3499,-9.99999999999998,0,100
35,3599,-9.99999999999998,0,100
36,3699,-38.647036397113766,0,100
37,3799,-9.99999999999998,0,100
38,3899,-9.99999999999998,0,100
39,3999,-9.99999999999998,0,100
40,4099,-13.082168750050524,0,100
41,4199,2.7620225069893536,0,100
42,4299,-9.99999999999998,0,100
43,4399,-6.674443851048836,0,100
44,4499,-15.999999999999972,0,100
45,4599,-7.912877519197394,0,100
46,4699,-13.891308701470262,0,100
47,4799,-4.217535914014884,0,100
48,4899,-12.99999999999997,0,100
49,4999,-9.99999999999998,0,100
50,5099,-11.645713520287936,0,100
51,5199,-16.31276544149533,0,100
52,5299,-10.000005086530459,0,100
53,5399,-7.882470452550711,0,100
54,5499,-17.140462768623877,0,100
55,5599,-9.99999999999998,0,100
56,5699,-9.152175781390694,0,100
57,5799,-10.004477815600254,0,100
58,5899,-14.507251047280514,0,100
59,5999,-9.99999999999998,0,100
60,6099,-13.57365688609865,0,100
61,6199,-9.99999999999998,0,100
62,6299,-9.99999999999998,0,100
63,6399,-9.99999999999998,0,100
64,6499,-8.609114497179796,0,100
65,6599,-9.99999999999998,0,100
66,6699,-13.029918705363318,0,100
67,6799,-9.99999999452394,0,100
68,6899,-19.000000505257095,0,100
69,6999,-21.19238129426166,0,100
70,7099,-3.4345603757727865,0,100
71,7199,-9.99999999999998,0,100
72,7299,-9.879732393948144,0,100
73,7399,-9.99999999999998,0,100
74,7499,-13.630725575083268,0,100
75,7599,-9.999999999652882,0,100
76,7699,-7.220842408124355,0,100
77,7799,-12.999999999999892,0,100
78,7899,-9.993550425968785,0,100
79,7999,-13.237206189844654,0,100
80,8099,-9.99999999999998,0,100
81,8199,-3.74417068957424,0,100
82,8299,-9.99999999999998,0,100
83,8399,-10.6745020916404,0,100
84,8499,-19.000000000000025,0,100
85,8599,-9.99999999999998,0,100
