,Step,Episode extrinsic return,Success,Episode length
0,99,-11.500029632887953,0,100
1,199,-16.440853181935562,0,100
2,299,-10.000000000001325,0,100
3,399,-9.99999999999998,0,100
4,499,-9.99997200363107,0,100
5,599,-9.99999999999998,0,100
6,699,-19.544176788349716,0,100
7,799,-9.884097690169824,0,100
8,899,-6.457335839585589,0,100
9,999,-11.253123048913839,0,100
10,1099,-9.99999999999998,0,100
11,1199,-13.446731157327141,0,100
12,1299,-9.99999999999998,0,100
13,1399,-9.99999999999998,0,100
14,1499,-21.5771264758715,0,100
15,1599,-0.26426024164200085,0,100
16,1699,-9.99999999999998,0,100
17,1799,-10.00000000084435,0,100
18,1899,-9.99999999999998,0,100
19,1999,-7.967252276945077,0,100
20,2099,-9.99999999999998,0,100
21,2199,-9.999999999981204,0,100
22,2299,-30.17078311427774,0,100
23,2399,-9.545176751902316,0,100
24,2499,-9.960401548966667,0,100
25,2599,-10.964887229433742,0,100
26,2699,-9.99999999999998,0,100
27,2799,-5.185796944530022,0,100
28,2899,-11.771209302957317,0,100
29,2999,-9.999999983032493,0,100
30,3099,-2.6784899855218747,0,100
31,3199,-6.379013159174781,0,100
32,3299,-10.011074340220947,0,100
33,3399,-10.01318732262338,0,100
34,3499,-10.000000000000515,0,100
35,3599,0.6071815761521155,0,100
36,3699,-9.99999999999998,0,100
37,3799,-9.99999999995515,0,100
38,3899,-9.999987768949588,0,100
39,3999,-10.000042745690314,0,100
40,4099,-10.19903862836437,0,100
41,4199,-9.99999999999998,0,100
42,4299,7.389810565781293,0,100
43,4399,-9.99999999999998,0,100
44,4499,-11.153588371857,0,100
45,4599,-9.99999999999998,0,100
46,4699,-9.99999999999998,0,100
47,4799,-9.999999999937076,0,100
48,4899,-9.210538987607533,0,100
49,4999,-16.23236728609825,0,100
50,5099,-15.666635738222064,0,100
51,5199,-10.000000000191474,0,100
52,5299,-9.999858602186197,0,100
53,5399,-9.99999999999998,0,100
54,5499,-9.99999999999998,0,100
55,5599,-10.003680650793195,0,100
56,5699,-10.000003832365785,0,100
57,5799,-5.5957304278690625,0,100
58,5899,-9.99999999999998,0,100
59,5999,-9.99999999999998,0,100
60,6099,-12.999999999999968,0,100
61,6199,-9.99999999999998,0,100
62,6299,-9.97926332954748,0,100
63,6399,-9.999999999691406,0,100
64,6499,-10.184306038778573,0,100
65,6599,-9.999455851608026,0,100
66,6699,-9.99999999999998,0,100
67,6799,-10.000021610936532,0,100
68,6899,-10.000000000006697,0,100
69,6999,-9.99999999999998,0,100
70,7099,-9.99999999999998,0,100
71,7199,-10.000000000054692,0,100
72,7299,-0.8348243472984066,0,100
73,7399,-9.99999999999998,0,100
74,7499,-9.99999999999998,0,100
75,7599,-14.904936285505714,0,100
76,7699,-9.99999999999998,0,100
77,7799,-9.999999999996918,0,100
78,7899,-9.99999999999998,0,100
79,7999,-4.063558668669787,0,100
80,8099,-12.99999999999998,0,100
81,8199,-10.007213286329513,0,100
82,8299,-9.99999999999998,0,100
83,8399,-9.99999999999998,0,100
84,8499,-9.206674159940539,0,100
85,8599,-9.999999999999872,0,100
86,8699,-10.000000000019666,0,100
87,8799,-9.56541636067327,0,100
88,8899,-9.99999999999998,0,100
89,8999,-7.875529057472964,0,100
90,9099,-9.99999999999998,0,100
91,9199,-10.41573144535017,0,100
92,9299,-9.99999999999998,0,100
93,9399,-14.458864158671393,0,100
94,9499,-9.99999999999998,0,100
95,9599,-9.99999999999998,0,100
96,9699,-7.249323402391542,0,100
97,9799,-9.99999999999998,0,100
