,Step,Episode return,Success,Episode length
0,9.0,8.91,True,9.0
1,19.0,6.9,True,10.0
2,30.0,7.890000000000001,True,11.0
3,46.0,6.840000000000001,True,16.0
4,62.0,6.8400000000000025,True,16.0
5,79.0,8.330000000000002,True,17.0
6,96.0,8.830000000000002,True,17.0
7,113.0,7.33,True,17.0
8,130.0,8.830000000000002,True,17.0
9,148.0,8.820000000000002,True,18.0
10,166.0,7.820000000000001,True,18.0
11,184.0,8.820000000000002,True,18.0
12,203.0,9.31,True,19.0
13,222.0,7.3100000000000005,True,19.0
14,242.0,8.3,True,20.0
15,264.0,6.28,True,22.0
16,286.0,8.780000000000001,True,22.0
17,311.0,9.25,True,25.0
18,336.0,9.750000000000004,True,25.0
19,361.0,6.25,True,25.0
20,387.0,5.740000000000001,True,26.0
21,413.0,9.740000000000004,True,26.0
22,441.0,9.720000000000006,True,28.0
23,469.0,9.720000000000002,True,28.0
24,498.0,9.210000000000004,True,29.0
25,527.0,8.21,True,29.0
26,558.0,7.190000000000004,True,31.0
27,589.0,8.690000000000005,True,31.0
28,621.0,8.680000000000005,True,32.0
29,653.0,8.180000000000003,True,32.0
30,685.0,6.680000000000001,True,32.0
31,718.0,8.670000000000003,True,33.0
32,752.0,9.160000000000005,True,34.0
33,786.0,9.160000000000004,True,34.0
34,820.0,6.660000000000001,True,34.0
35,854.0,8.160000000000002,True,34.0
36,869.0,8.850000000000001,True,15.0
37,905.0,9.640000000000004,True,36.0
38,942.0,8.130000000000006,True,37.0
39,979.0,8.130000000000006,True,37.0
40,1016.0,7.130000000000003,True,37.0
41,1054.0,8.620000000000006,True,38.0
42,1092.0,6.120000000000003,True,38.0
43,1131.0,8.110000000000007,True,39.0
44,1170.0,9.610000000000007,True,39.0
45,1209.0,9.110000000000007,True,39.0
46,1249.0,5.600000000000001,True,40.0
47,1290.0,4.59,True,41.0
48,1332.0,5.58,True,42.0
49,1374.0,6.080000000000005,True,42.0
50,1416.0,5.580000000000001,True,42.0
51,1458.0,6.58,True,42.0
52,1500.0,9.080000000000004,True,42.0
53,1544.0,7.560000000000004,True,44.0
54,1556.0,9.380000000000003,True,12.0
55,1600.0,5.0600000000000005,True,44.0
56,1644.0,8.560000000000004,True,44.0
57,1689.0,2.050000000000005,True,45.0
58,1734.0,8.55,True,45.0
59,1779.0,9.050000000000004,True,45.0
60,1824.0,9.050000000000006,True,45.0
61,1869.0,5.550000000000001,True,45.0
62,1914.0,9.550000000000008,True,45.0
63,1959.0,9.050000000000008,True,45.0
64,1995.0,5.640000000000003,True,36.0
65,2041.0,9.540000000000006,True,46.0
66,2088.0,9.030000000000006,True,47.0
67,2135.0,0.030000000000006466,True,47.0
68,2182.0,7.0300000000000065,True,47.0
69,2229.0,4.530000000000007,True,47.0
70,2276.0,7.030000000000004,True,47.0
71,2324.0,8.520000000000007,True,48.0
72,2372.0,9.520000000000007,True,48.0
73,2405.0,9.170000000000007,True,33.0
74,2426.0,9.790000000000001,True,21.0
75,2476.0,9.000000000000007,True,50.0
76,2526.0,9.500000000000009,True,50.0
77,2567.0,2.5900000000000034,True,41.0
78,2602.0,1.150000000000004,True,35.0
79,2634.0,9.680000000000005,True,32.0
80,2687.0,7.470000000000006,True,53.0
81,2740.0,8.970000000000004,True,53.0
82,2793.0,7.970000000000005,True,53.0
83,2847.0,7.960000000000005,True,54.0
84,2901.0,0.9600000000000009,True,54.0
85,2955.0,9.460000000000008,True,54.0
86,3009.0,7.960000000000001,True,54.0
87,3064.0,7.450000000000011,True,55.0
88,3119.0,8.950000000000006,True,55.0
89,3176.0,9.430000000000009,True,57.0
90,3233.0,4.430000000000002,True,57.0
91,3274.0,1.0900000000000007,True,41.0
92,3332.0,9.420000000000009,True,58.0
93,3390.0,8.420000000000009,True,58.0
94,3448.0,8.920000000000009,True,58.0
95,3507.0,9.410000000000007,True,59.0
96,3566.0,5.41,True,59.0
97,3625.0,8.910000000000007,True,59.0
98,3684.0,9.410000000000009,True,59.0
99,3743.0,9.410000000000007,True,59.0
100,3803.0,7.900000000000009,True,60.0
101,3863.0,7.900000000000009,True,60.0
102,3906.0,8.570000000000004,True,43.0
103,3966.0,5.400000000000004,True,60.0
104,4027.0,9.390000000000008,True,61.0
105,4088.0,9.390000000000008,True,61.0
106,4149.0,9.390000000000008,True,61.0
107,4211.0,6.380000000000001,True,62.0
108,4273.0,2.880000000000004,True,62.0
109,4335.0,7.38000000000001,True,62.0
110,4349.0,6.86,True,14.0
111,4412.0,6.870000000000006,True,63.0
112,4475.0,8.870000000000008,True,63.0
113,4539.0,8.86000000000001,True,64.0
114,4603.0,7.8600000000000065,True,64.0
115,4668.0,7.850000000000007,True,65.0
116,4733.0,1.8500000000000068,True,65.0
117,4799.0,4.34,True,66.0
118,4816.0,9.330000000000002,True,17.0
119,4883.0,7.330000000000011,True,67.0
120,4950.0,8.33000000000001,True,67.0
121,4960.0,9.9,True,10.0
122,4987.0,7.730000000000004,True,27.0
123,5057.0,9.300000000000013,True,70.0
124,5086.0,9.21,True,29.0
125,5156.0,5.300000000000005,True,70.0
126,5227.0,9.290000000000013,True,71.0
127,5298.0,4.290000000000001,True,71.0
128,5369.0,8.290000000000006,True,71.0
129,5403.0,8.160000000000004,True,34.0
130,5476.0,7.270000000000013,True,73.0
131,5491.0,9.850000000000001,True,15.0
132,5530.0,8.610000000000005,True,39.0
133,5561.0,8.190000000000003,True,31.0
