,Step,Episode return,Success,Episode length
0,9225002.0,9.98,True,2.0
1,9225005.0,9.47,True,3.0
2,9225009.0,9.46,True,4.0
3,9225019.0,7.9,True,10.0
4,9225029.0,6.9,True,10.0
5,9225040.0,8.89,True,11.0
6,9225051.0,6.3900000000000015,True,11.0
7,9225062.0,5.390000000000001,True,11.0
8,9225073.0,6.390000000000001,True,11.0
9,9225084.0,9.390000000000002,True,11.0
10,9225096.0,8.88,True,12.0
11,9225109.0,7.370000000000001,True,13.0
12,9225122.0,9.370000000000003,True,13.0
13,9225135.0,9.370000000000001,True,13.0
14,9225148.0,7.37,True,13.0
15,9225162.0,7.860000000000001,True,14.0
16,9225177.0,8.850000000000001,True,15.0
17,9225192.0,7.850000000000001,True,15.0
18,9225207.0,8.850000000000001,True,15.0
19,9225223.0,8.340000000000003,True,16.0
20,9225239.0,8.84,True,16.0
21,9225255.0,9.340000000000003,True,16.0
22,9225273.0,8.320000000000004,True,18.0
23,9225291.0,9.320000000000002,True,18.0
24,9225309.0,8.320000000000004,True,18.0
25,9225327.0,8.320000000000004,True,18.0
26,9225346.0,7.810000000000002,True,19.0
27,9225365.0,8.310000000000002,True,19.0
28,9225385.0,7.800000000000003,True,20.0
29,9225405.0,8.800000000000004,True,20.0
30,9225425.0,8.800000000000002,True,20.0
31,9225445.0,9.3,True,20.0
32,9225465.0,9.300000000000004,True,20.0
33,9225486.0,7.790000000000001,True,21.0
34,9225508.0,8.280000000000003,True,22.0
35,9225517.0,9.910000000000002,True,9.0
36,9225539.0,8.780000000000001,True,22.0
37,9225562.0,8.770000000000003,True,23.0
38,9225585.0,9.270000000000003,True,23.0
39,9225609.0,-0.23999999999999666,True,24.0
40,9225633.0,8.760000000000003,True,24.0
41,9225657.0,4.7600000000000025,True,24.0
42,9225682.0,9.75,True,25.0
43,9225708.0,9.74,True,26.0
44,9225735.0,9.230000000000004,True,27.0
45,9225762.0,6.230000000000003,True,27.0
46,9225789.0,8.730000000000004,True,27.0
47,9225816.0,6.730000000000003,True,27.0
48,9225844.0,8.720000000000004,True,28.0
49,9225872.0,5.720000000000001,True,28.0
50,9225900.0,7.220000000000005,True,28.0
51,9225928.0,6.2200000000000015,True,28.0
52,9225937.0,4.410000000000001,True,9.0
53,9225966.0,6.210000000000002,True,29.0
54,9225995.0,5.710000000000002,True,29.0
55,9226014.0,8.810000000000002,True,19.0
56,9226043.0,8.710000000000006,True,29.0
57,9226073.0,5.200000000000003,True,30.0
58,9226103.0,9.200000000000001,True,30.0
59,9226134.0,9.190000000000005,True,31.0
60,9226165.0,3.1900000000000013,True,31.0
61,9226196.0,6.690000000000005,True,31.0
62,9226227.0,5.690000000000002,True,31.0
63,9226259.0,8.180000000000003,True,32.0
64,9226273.0,8.360000000000001,True,14.0
65,9226305.0,9.68,True,32.0
66,9226337.0,9.180000000000007,True,32.0
67,9226369.0,6.180000000000003,True,32.0
68,9226402.0,7.170000000000006,True,33.0
69,9226424.0,8.280000000000003,True,22.0
70,9226435.0,8.39,True,11.0
71,9226468.0,5.670000000000003,True,33.0
72,9226501.0,8.170000000000005,True,33.0
73,9226534.0,4.670000000000001,True,33.0
74,9226568.0,4.66,True,34.0
75,9226586.0,7.820000000000003,True,18.0
76,9226620.0,8.160000000000004,True,34.0
77,9226655.0,9.150000000000002,True,35.0
78,9226690.0,9.150000000000002,True,35.0
79,9226725.0,9.150000000000006,True,35.0
80,9226760.0,5.65,True,35.0
81,9226795.0,7.1500000000000075,True,35.0
82,9226830.0,8.150000000000006,True,35.0
83,9226844.0,7.860000000000001,True,14.0
84,9226879.0,3.1500000000000012,True,35.0
85,9226887.0,8.920000000000002,True,8.0
86,9226922.0,4.150000000000001,True,35.0
87,9226957.0,6.150000000000001,True,35.0
88,9226992.0,4.150000000000004,True,35.0
89,9227028.0,6.6400000000000015,True,36.0
90,9227064.0,5.640000000000003,True,36.0
91,9227084.0,7.800000000000002,True,20.0
92,9227120.0,4.640000000000001,True,36.0
93,9227157.0,9.130000000000006,True,37.0
94,9227194.0,6.630000000000001,True,37.0
95,9227231.0,8.630000000000006,True,37.0
96,9227268.0,6.1300000000000034,True,37.0
97,9227305.0,7.630000000000005,True,37.0
98,9227343.0,9.620000000000008,True,38.0
99,9227381.0,8.120000000000001,True,38.0
100,9227419.0,8.620000000000008,True,38.0
101,9227457.0,8.120000000000006,True,38.0
102,9227496.0,4.110000000000003,True,39.0
103,9227536.0,4.100000000000001,True,40.0
104,9227563.0,6.730000000000004,True,27.0
105,9227603.0,9.100000000000001,True,40.0
106,9227643.0,7.600000000000004,True,40.0
107,9227661.0,8.32,True,18.0
108,9227701.0,7.100000000000005,True,40.0
109,9227743.0,6.580000000000006,True,42.0
110,9227785.0,9.080000000000009,True,42.0
111,9227827.0,5.580000000000005,True,42.0
112,9227869.0,7.580000000000009,True,42.0
113,9227911.0,3.5800000000000054,True,42.0
114,9227953.0,7.580000000000008,True,42.0
115,9227995.0,5.580000000000005,True,42.0
116,9228038.0,8.070000000000007,True,43.0
117,9228081.0,7.070000000000007,True,43.0
118,9228106.0,8.750000000000004,True,25.0
119,9228132.0,7.740000000000001,True,26.0
120,9228176.0,1.0600000000000076,True,44.0
121,9228218.0,6.080000000000005,True,42.0
122,9228251.0,9.670000000000002,True,33.0
123,9228295.0,7.560000000000007,True,44.0
124,9228308.0,7.37,True,13.0
125,9228353.0,6.050000000000002,True,45.0
126,9228399.0,8.040000000000008,True,46.0
127,9228416.0,7.330000000000002,True,17.0
128,9228432.0,4.340000000000001,True,16.0
129,9228442.0,8.400000000000002,True,10.0
130,9228489.0,4.530000000000001,True,47.0
131,9228536.0,4.030000000000008,True,47.0
132,9228583.0,4.530000000000004,True,47.0
133,9228630.0,9.53000000000001,True,47.0
134,9228677.0,8.030000000000001,True,47.0
135,9228725.0,5.520000000000004,True,48.0
136,9228744.0,5.3100000000000005,True,19.0
137,9228792.0,6.520000000000002,True,48.0
138,9228830.0,4.1200000000000045,True,38.0
139,9228879.0,7.010000000000006,True,49.0
140,9228929.0,5.500000000000008,True,50.0
141,9228947.0,7.820000000000001,True,18.0
142,9228998.0,8.990000000000006,True,51.0
143,9229049.0,7.990000000000009,True,51.0
144,9229101.0,9.480000000000011,True,52.0
145,9229153.0,2.480000000000007,True,52.0
146,9229205.0,7.48,True,52.0
147,9229214.0,9.41,True,9.0
148,9229235.0,7.790000000000001,True,21.0
149,9229284.0,9.510000000000007,True,49.0
150,9229307.0,4.270000000000001,True,23.0
151,9229318.0,9.39,True,11.0
152,9229344.0,7.740000000000001,True,26.0
153,9229397.0,8.970000000000002,True,53.0
154,9229423.0,3.740000000000001,True,26.0
155,9229476.0,6.470000000000006,True,53.0
156,9229530.0,6.460000000000002,True,54.0
157,9229584.0,8.960000000000012,True,54.0
158,9229638.0,8.46,True,54.0
159,9229679.0,9.590000000000007,True,41.0
160,9229734.0,8.950000000000006,True,55.0
161,9229789.0,8.450000000000005,True,55.0
162,9229802.0,5.370000000000002,True,13.0
163,9229857.0,9.450000000000006,True,55.0
164,9229912.0,8.450000000000006,True,55.0
165,9229925.0,8.870000000000001,True,13.0
166,9229964.0,8.110000000000005,True,39.0
