,Step,Ratio_gen_perf
0,25000,0.86606
1,50000,0.87478
2,75000,0.869
3,100000,0.87364
4,125000,0.87652
5,150000,0.8703
6,175000,0.86239
7,200000,0.86998
8,225000,0.87184
9,250000,0.85974
10,275000,0.86224
11,300000,0.86346
12,325000,0.86653
13,350000,0.85808
14,375000,0.85246
15,400000,0.85578
16,425000,0.85032
17,450000,0.84905
18,475000,0.84775
19,500000,0.85873
20,525000,0.85769
21,550000,0.85774
22,575000,0.86125
23,600000,0.85677
24,625000,0.85685
25,650000,0.8587
26,675000,0.8476
27,700000,0.85472
28,725000,0.84722
29,750000,0.84687
30,775000,0.84732
31,800000,0.84231
32,825000,0.84244
33,850000,0.84564
34,875000,0.85003
35,900000,0.84337
36,925000,0.8472
37,950000,0.84283
38,975000,0.83867
39,1000000,0.84168
40,1025000,0.83145
41,1050000,0.83947
42,1075000,0.82562
43,1100000,0.82696
44,1125000,0.83045
45,1150000,0.83234
46,1175000,0.83561
47,1200000,0.81793
48,1225000,0.82836
49,1250000,0.82469
50,1275000,0.82196
51,1300000,0.82304
52,1325000,0.81886
53,1350000,0.81545
54,1375000,0.80526
55,1400000,0.80726
56,1425000,0.79896
57,1450000,0.79594
58,1475000,0.80083
59,1500000,0.79606
60,1525000,0.79769
61,1550000,0.8051
62,1575000,0.79803
63,1600000,0.80107
64,1625000,0.79985
65,1650000,0.79505
66,1675000,0.79078
67,1700000,0.79648
68,1725000,0.79614
69,1750000,0.78592
70,1775000,0.80586
71,1800000,0.78948
72,1825000,0.7848
73,1850000,0.7833
74,1875000,0.78107
75,1900000,0.78437
76,1925000,0.77526
77,1950000,0.76228
78,1975000,0.76941
79,2000000,0.77836
80,2025000,0.78106
81,2050000,0.77664
82,2075000,0.78158
83,2100000,0.77569
84,2125000,0.7714
85,2150000,0.76508
86,2175000,0.76875
87,2200000,0.77652
88,2225000,0.75425
89,2250000,0.76162
90,2275000,0.76433
91,2300000,0.76132
92,2325000,0.76385
93,2350000,0.76712
94,2375000,0.75455
95,2400000,0.74459
96,2425000,0.74451
97,2450000,0.7423
98,2475000,0.75188
99,2500000,0.76355
100,2525000,0.75667
101,2550000,0.76415
102,2575000,0.7715
103,2600000,0.76863
104,2625000,0.77138
105,2650000,0.77008
106,2675000,0.77488
107,2700000,0.76482
108,2725000,0.76684
109,2750000,0.76278
110,2775000,0.75835
111,2800000,0.76282
112,2825000,0.75358
113,2850000,0.7494
