,Step,Ratio_gen_perf
0,25000,0.8773
1,50000,0.9044
2,75000,0.90439
3,100000,0.90958
4,125000,0.91133
5,150000,0.90783
6,175000,0.90337
7,200000,0.89809
8,225000,0.89589
9,250000,0.89609
10,275000,0.89692
11,300000,0.89554
12,325000,0.8876
13,350000,0.88575
14,375000,0.8763
15,400000,0.88577
16,425000,0.87752
17,450000,0.88144
18,475000,0.88041
19,500000,0.8763
20,525000,0.8787
21,550000,0.87479
22,575000,0.87291
23,600000,0.87148
24,625000,0.87528
25,650000,0.8662
26,675000,0.86314
27,700000,0.85911
28,725000,0.85235
29,750000,0.84624
30,775000,0.84005
31,800000,0.83646
32,825000,0.83353
33,850000,0.8346
34,875000,0.83562
35,900000,0.82739
36,925000,0.82524
37,950000,0.81822
38,975000,0.82475
39,1000000,0.82106
40,1025000,0.82233
41,1050000,0.80788
42,1075000,0.80472
43,1100000,0.81261
44,1125000,0.80259
45,1150000,0.80725
46,1175000,0.80805
47,1200000,0.81277
48,1225000,0.82035
49,1250000,0.80492
50,1275000,0.81329
51,1300000,0.81538
52,1325000,0.81672
53,1350000,0.81409
54,1375000,0.81543
55,1400000,0.8166
56,1425000,0.81173
57,1450000,0.81186
58,1475000,0.80937
59,1500000,0.78581
60,1525000,0.78805
61,1550000,0.79855
62,1575000,0.79213
63,1600000,0.79321
64,1625000,0.79334
65,1650000,0.80498
66,1675000,0.81057
67,1700000,0.81692
68,1725000,0.81013
69,1750000,0.80953
70,1775000,0.80292
71,1800000,0.79866
72,1825000,0.7928
73,1850000,0.77633
74,1875000,0.78075
75,1900000,0.76957
76,1925000,0.77092
77,1950000,0.76966
78,1975000,0.77872
79,2000000,0.78123
80,2025000,0.77587
81,2050000,0.77898
82,2075000,0.76658
83,2100000,0.7588
84,2125000,0.77172
85,2150000,0.77595
86,2175000,0.77263
87,2200000,0.77018
88,2225000,0.7692
89,2250000,0.77666
90,2275000,0.77703
91,2300000,0.77258
92,2325000,0.77085
93,2350000,0.76945
94,2375000,0.76997
95,2400000,0.76237
96,2425000,0.76744
97,2450000,0.77971
98,2475000,0.77666
99,2500000,0.77552
100,2525000,0.76897
101,2550000,0.76874
102,2575000,0.7652
