,Step,Ratio_gen_perf
0,25000,0.87127
1,50000,0.90649
2,75000,0.90962
3,100000,0.91248
4,125000,0.91353
5,150000,0.91215
6,175000,0.90864
7,200000,0.91274
8,225000,0.91494
9,250000,0.90838
10,275000,0.91406
11,300000,0.90761
12,325000,0.91207
13,350000,0.91009
14,375000,0.9099
15,400000,0.90412
16,425000,0.90624
17,450000,0.90868
18,475000,0.90192
19,500000,0.90725
20,525000,0.9102
21,550000,0.9082
22,575000,0.9082
23,600000,0.90976
24,625000,0.91088
25,650000,0.89917
26,675000,0.91065
27,700000,0.90439
28,725000,0.90907
29,750000,0.90263
30,775000,0.9039
31,800000,0.90659
32,825000,0.90479
33,850000,0.90845
34,875000,0.90575
35,900000,0.90317
36,925000,0.90137
37,950000,0.90515
38,975000,0.91208
39,1000000,0.90308
40,1025000,0.90904
41,1050000,0.89993
42,1075000,0.89174
43,1100000,0.89492
44,1125000,0.89438
45,1150000,0.89371
46,1175000,0.89142
47,1200000,0.88846
48,1225000,0.88549
49,1250000,0.88778
50,1275000,0.88932
51,1300000,0.89119
52,1325000,0.88321
53,1350000,0.87684
54,1375000,0.87439
55,1400000,0.87971
56,1425000,0.87412
57,1450000,0.87502
58,1475000,0.87392
59,1500000,0.86231
60,1525000,0.86508
61,1550000,0.8716
62,1575000,0.86612
63,1600000,0.86683
64,1625000,0.86786
65,1650000,0.86681
66,1675000,0.85965
67,1700000,0.86494
68,1725000,0.87145
69,1750000,0.86383
70,1775000,0.85868
71,1800000,0.86174
72,1825000,0.86151
73,1850000,0.86197
74,1875000,0.86057
75,1900000,0.86423
76,1925000,0.85754
77,1950000,0.8587
78,1975000,0.85313
79,2000000,0.85461
80,2025000,0.85372
81,2050000,0.84937
82,2075000,0.84844
83,2100000,0.84459
84,2125000,0.85245
85,2150000,0.84701
86,2175000,0.84949
87,2200000,0.84703
88,2225000,0.84136
89,2250000,0.84141
90,2275000,0.84311
91,2300000,0.84311
92,2325000,0.84619
93,2350000,0.85014
94,2375000,0.84227
95,2400000,0.84365
96,2425000,0.8408
97,2450000,0.83488
98,2475000,0.83553
99,2500000,0.8422
100,2525000,0.84832
101,2550000,0.84317
102,2575000,0.84293
103,2600000,0.83994
104,2625000,0.83982
105,2650000,0.83857
106,2675000,0.84202
107,2700000,0.84811
108,2725000,0.83508
109,2750000,0.84465
110,2775000,0.83853
111,2800000,0.83245
112,2825000,0.83469
113,2850000,0.83052
114,2875000,0.82956
115,2900000,0.83414
116,2925000,0.83276
117,2950000,0.83118
118,2975000,0.83463
119,3000000,0.82879
120,3025000,0.83425
121,3050000,0.83405
122,3075000,0.83457
123,3100000,0.82747
124,3125000,0.82657
125,3150000,0.8257
126,3175000,0.81903
127,3200000,0.82101
128,3225000,0.80938
129,3250000,0.81837
130,3275000,0.82057
131,3300000,0.81606
132,3325000,0.81487
133,3350000,0.81616
134,3375000,0.8232
135,3400000,0.81863
136,3425000,0.81617
137,3450000,0.81899
138,3475000,0.81177
139,3500000,0.8198
140,3525000,0.81466
141,3550000,0.81537
142,3575000,0.81091
143,3600000,0.81683
144,3625000,0.81816
145,3650000,0.81557
146,3675000,0.81512
147,3700000,0.81808
148,3725000,0.80968
149,3750000,0.81683
150,3775000,0.81149
151,3800000,0.81169
152,3825000,0.81042
153,3850000,0.80937
154,3875000,0.81347
155,3900000,0.80886
156,3925000,0.80838
157,3950000,0.81034
158,3975000,0.80764
159,4000000,0.81053
160,4025000,0.80951
161,4050000,0.79919
162,4075000,0.80635
163,4100000,0.80203
164,4125000,0.79959
165,4150000,0.81138
166,4175000,0.80459
167,4200000,0.8042
168,4225000,0.81196
169,4250000,0.7965
170,4275000,0.80466
171,4300000,0.79946
172,4325000,0.8044
173,4350000,0.79856
174,4375000,0.80031
175,4400000,0.80236
176,4425000,0.80025
177,4450000,0.79364
178,4475000,0.79246
179,4500000,0.79203
180,4525000,0.78635
181,4550000,0.79168
182,4575000,0.78784
183,4600000,0.78904
184,4625000,0.78611
185,4650000,0.79005
186,4675000,0.78558
187,4700000,0.78478
188,4725000,0.78107
189,4750000,0.78495
190,4775000,0.78522
191,4800000,0.79132
192,4825000,0.78112
193,4850000,0.79242
194,4875000,0.78531
195,4900000,0.78585
196,4925000,0.7767
197,4950000,0.78566
198,4975000,0.78643
199,5000000,0.78459
200,5025000,0.78814
201,5050000,0.77836
202,5075000,0.775
203,5100000,0.77361
204,5125000,0.77424
205,5150000,0.77925
206,5175000,0.77749
207,5200000,0.77036
