,Step,Ratio_gen_perf
0,25000,0.8701
1,50000,0.89943
2,75000,0.91241
3,100000,0.90641
4,125000,0.91659
5,150000,0.91461
6,175000,0.9182
7,200000,0.91442
8,225000,0.90904
9,250000,0.91823
10,275000,0.91457
11,300000,0.91389
12,325000,0.91594
13,350000,0.90684
14,375000,0.90972
15,400000,0.91302
16,425000,0.90863
17,450000,0.9137
18,475000,0.90753
19,500000,0.90563
20,525000,0.90704
21,550000,0.90768
22,575000,0.90857
23,600000,0.90779
24,625000,0.90456
25,650000,0.90356
26,675000,0.90784
27,700000,0.90184
28,725000,0.90553
29,750000,0.90342
30,775000,0.90855
31,800000,0.90974
32,825000,0.89774
33,850000,0.90386
34,875000,0.8993
35,900000,0.90539
36,925000,0.90618
37,950000,0.89605
38,975000,0.90202
39,1000000,0.89559
40,1025000,0.9015
41,1050000,0.89907
42,1075000,0.8956
43,1100000,0.89229
44,1125000,0.89486
45,1150000,0.89522
46,1175000,0.898
47,1200000,0.89994
48,1225000,0.89528
49,1250000,0.89301
50,1275000,0.89918
51,1300000,0.8973
52,1325000,0.8948
53,1350000,0.90123
54,1375000,0.90026
55,1400000,0.89885
56,1425000,0.90163
57,1450000,0.90569
58,1475000,0.90123
59,1500000,0.90125
60,1525000,0.90111
61,1550000,0.89782
62,1575000,0.90611
63,1600000,0.90501
64,1625000,0.90418
65,1650000,0.89811
66,1675000,0.90485
67,1700000,0.9052
68,1725000,0.90481
69,1750000,0.90027
70,1775000,0.90514
71,1800000,0.90579
72,1825000,0.89738
73,1850000,0.89749
74,1875000,0.90409
75,1900000,0.90415
76,1925000,0.90358
77,1950000,0.90493
78,1975000,0.89951
79,2000000,0.90439
80,2025000,0.90611
81,2050000,0.89661
82,2075000,0.89659
83,2100000,0.89712
84,2125000,0.88757
85,2150000,0.89118
86,2175000,0.8948
87,2200000,0.88147
88,2225000,0.88798
89,2250000,0.88238
90,2275000,0.88235
91,2300000,0.88295
92,2325000,0.88412
93,2350000,0.88286
94,2375000,0.87725
95,2400000,0.87511
96,2425000,0.876
97,2450000,0.87031
98,2475000,0.87067
99,2500000,0.867
100,2525000,0.86842
101,2550000,0.87002
102,2575000,0.86764
103,2600000,0.86488
104,2625000,0.86492
105,2650000,0.85947
106,2675000,0.85822
107,2700000,0.86114
108,2725000,0.8561
109,2750000,0.84956
110,2775000,0.85927
111,2800000,0.85998
112,2825000,0.85943
113,2850000,0.86357
114,2875000,0.86152
115,2900000,0.86468
116,2925000,0.8599
117,2950000,0.85853
118,2975000,0.85898
119,3000000,0.85424
120,3025000,0.85263
121,3050000,0.85929
122,3075000,0.85302
123,3100000,0.84583
124,3125000,0.85304
125,3150000,0.85003
126,3175000,0.85086
127,3200000,0.85047
128,3225000,0.85301
129,3250000,0.85388
130,3275000,0.85153
131,3300000,0.84412
132,3325000,0.84439
133,3350000,0.84949
134,3375000,0.84729
135,3400000,0.84643
136,3425000,0.84222
137,3450000,0.84146
138,3475000,0.83784
139,3500000,0.83746
140,3525000,0.83212
141,3550000,0.83614
142,3575000,0.84206
143,3600000,0.8336
144,3625000,0.83515
145,3650000,0.83164
146,3675000,0.83597
147,3700000,0.83794
148,3725000,0.8373
149,3750000,0.83332
150,3775000,0.83831
151,3800000,0.8351
152,3825000,0.83688
153,3850000,0.8305
154,3875000,0.83055
155,3900000,0.82661
156,3925000,0.83111
157,3950000,0.82865
158,3975000,0.82594
159,4000000,0.82382
160,4025000,0.82767
161,4050000,0.82282
162,4075000,0.83234
163,4100000,0.82196
164,4125000,0.82011
165,4150000,0.82004
166,4175000,0.8321
167,4200000,0.82275
168,4225000,0.81127
169,4250000,0.82269
170,4275000,0.82342
171,4300000,0.82018
172,4325000,0.81987
173,4350000,0.82355
174,4375000,0.81592
175,4400000,0.81416
176,4425000,0.82232
177,4450000,0.81636
178,4475000,0.81219
179,4500000,0.81419
180,4525000,0.81041
181,4550000,0.80695
182,4575000,0.81826
183,4600000,0.81552
184,4625000,0.8142
185,4650000,0.81284
186,4675000,0.81044
187,4700000,0.81053
188,4725000,0.81421
189,4750000,0.81523
190,4775000,0.81471
191,4800000,0.81103
192,4825000,0.81188
193,4850000,0.8052
194,4875000,0.79961
195,4900000,0.80354
196,4925000,0.80384
197,4950000,0.79959
198,4975000,0.79966
199,5000000,0.80425
200,5025000,0.80097
201,5050000,0.80315
202,5075000,0.80645
203,5100000,0.80879
204,5125000,0.80239
205,5150000,0.80351
206,5175000,0.80152
207,5200000,0.79808
208,5225000,0.80157
209,5250000,0.78591
210,5275000,0.78691
211,5300000,0.78354
212,5325000,0.78708
213,5350000,0.781
214,5375000,0.77327
215,5400000,0.77879
216,5425000,0.78272
217,5450000,0.77351
218,5475000,0.77727
219,5500000,0.77003
220,5525000,0.78098
221,5550000,0.77941
222,5575000,0.78112
223,5600000,0.78045
224,5625000,0.78786
225,5650000,0.77574
226,5675000,0.79517
227,5700000,0.79973
228,5725000,0.80314
229,5750000,0.79564
230,5775000,0.79835
231,5800000,0.79666
232,5825000,0.79886
233,5850000,0.79187
234,5875000,0.7974
235,5900000,0.78958
236,5925000,0.79204
237,5950000,0.78969
238,5975000,0.79338
239,6000000,0.79706
240,6025000,0.79003
241,6050000,0.78277
242,6075000,0.78199
243,6100000,0.78524
244,6125000,0.7877
245,6150000,0.78369
246,6175000,0.78427
247,6200000,0.78076
248,6225000,0.78268
249,6250000,0.78123
250,6275000,0.77526
251,6300000,0.77835
252,6325000,0.77573
253,6350000,0.77674
254,6375000,0.78356
255,6400000,0.78008
256,6425000,0.78043
257,6450000,0.78196
258,6475000,0.77262
259,6500000,0.77831
260,6525000,0.77392
261,6550000,0.76766
262,6575000,0.76315
263,6600000,0.77415
264,6625000,0.76861
265,6650000,0.76965
266,6675000,0.7681
267,6700000,0.76904
268,6725000,0.76433
269,6750000,0.76581
270,6775000,0.77513
271,6800000,0.76976
272,6825000,0.76776
273,6850000,0.77175
274,6875000,0.77247
275,6900000,0.77413
276,6925000,0.77062
277,6950000,0.77087
278,6975000,0.78219
279,7000000,0.78104
280,7025000,0.78003
281,7050000,0.78005
282,7075000,0.7783
283,7100000,0.78475
284,7125000,0.78687
285,7150000,0.77862
286,7175000,0.78022
287,7200000,0.78243
288,7225000,0.77644
289,7250000,0.77805
290,7275000,0.77695
291,7300000,0.77522
292,7325000,0.77238
293,7350000,0.77529
294,7375000,0.77322
295,7400000,0.77198
296,7425000,0.76797
297,7450000,0.76919
298,7475000,0.76243
299,7500000,0.76402
300,7525000,0.76237
301,7550000,0.75547
302,7575000,0.75375
303,7600000,0.76163
304,7625000,0.75757
305,7650000,0.76438
306,7675000,0.77086
307,7700000,0.76578
308,7725000,0.76159
309,7750000,0.76187
310,7775000,0.76121
311,7800000,0.76233
312,7825000,0.75995
313,7850000,0.75569
314,7875000,0.76735
315,7900000,0.76033
316,7925000,0.75941
317,7950000,0.75652
318,7975000,0.76442
319,8000000,0.762
320,8025000,0.76559
321,8050000,0.76413
322,8075000,0.76361
323,8100000,0.75995
324,8125000,0.75795
325,8150000,0.75711
326,8175000,0.76578
327,8200000,0.76192
328,8225000,0.76149
329,8250000,0.75351
330,8275000,0.75641
331,8300000,0.75321
332,8325000,0.7463
333,8350000,0.74829
334,8375000,0.75398
335,8400000,0.74763
336,8425000,0.74282
337,8450000,0.75365
338,8475000,0.75396
339,8500000,0.75403
340,8525000,0.7513
341,8550000,0.75592
342,8575000,0.74961
343,8600000,0.75087
344,8625000,0.75338
345,8650000,0.75226
346,8675000,0.7467
347,8700000,0.74782
348,8725000,0.7439
349,8750000,0.75719
350,8775000,0.75146
351,8800000,0.75241
352,8825000,0.75176
353,8850000,0.76375
354,8875000,0.77001
355,8900000,0.76482
356,8925000,0.76307
357,8950000,0.76435
358,8975000,0.75822
359,9000000,0.76907
360,9025000,0.7654
361,9050000,0.76344
362,9075000,0.7604
363,9100000,0.75569
364,9125000,0.74993
365,9150000,0.75492
366,9175000,0.75842
367,9200000,0.75598
368,9225000,0.74739
369,9250000,0.75773
370,9275000,0.75395
371,9300000,0.75546
