,Step,Ratio_gen_perf
0,25000,0.87617
1,50000,0.90717
2,75000,0.91063
3,100000,0.90478
4,125000,0.90157
5,150000,0.89948
6,175000,0.89709
7,200000,0.89785
8,225000,0.89904
9,250000,0.88907
10,275000,0.88848
11,300000,0.88795
12,325000,0.8886
13,350000,0.88451
14,375000,0.88612
15,400000,0.881
16,425000,0.87744
17,450000,0.87513
18,475000,0.87984
19,500000,0.8719
20,525000,0.8731
21,550000,0.86601
22,575000,0.86093
23,600000,0.86244
24,625000,0.86129
25,650000,0.85591
26,675000,0.8553
27,700000,0.85537
28,725000,0.85017
29,750000,0.84664
30,775000,0.84759
31,800000,0.84589
32,825000,0.84281
33,850000,0.84373
34,875000,0.83969
35,900000,0.84482
36,925000,0.83941
37,950000,0.84113
38,975000,0.8363
39,1000000,0.83163
40,1025000,0.83335
41,1050000,0.82651
42,1075000,0.82928
43,1100000,0.82085
44,1125000,0.82819
45,1150000,0.81935
46,1175000,0.81976
47,1200000,0.8278
48,1225000,0.82307
49,1250000,0.81908
50,1275000,0.81651
51,1300000,0.8093
52,1325000,0.81423
53,1350000,0.81568
54,1375000,0.81425
55,1400000,0.81295
56,1425000,0.81112
57,1450000,0.81051
58,1475000,0.81428
59,1500000,0.80956
60,1525000,0.80326
61,1550000,0.80397
62,1575000,0.80403
63,1600000,0.80105
64,1625000,0.79542
65,1650000,0.802
66,1675000,0.79083
67,1700000,0.78871
68,1725000,0.7938
69,1750000,0.78634
70,1775000,0.79489
71,1800000,0.78821
72,1825000,0.78744
73,1850000,0.7951
74,1875000,0.79812
75,1900000,0.7971
76,1925000,0.79029
77,1950000,0.79542
78,1975000,0.79401
79,2000000,0.8028
80,2025000,0.7896
81,2050000,0.79221
82,2075000,0.79064
83,2100000,0.79383
84,2125000,0.7868
85,2150000,0.79072
86,2175000,0.78147
87,2200000,0.78567
88,2225000,0.78673
89,2250000,0.78271
90,2275000,0.77993
91,2300000,0.77823
92,2325000,0.7868
93,2350000,0.78617
94,2375000,0.77958
95,2400000,0.76992
96,2425000,0.76822
97,2450000,0.765
98,2475000,0.76401
99,2500000,0.753
100,2525000,0.75872
101,2550000,0.74215
102,2575000,0.74783
103,2600000,0.75548
104,2625000,0.76036
105,2650000,0.75996
106,2675000,0.75806
107,2700000,0.76606
108,2725000,0.7636
109,2750000,0.75289
110,2775000,0.75481
111,2800000,0.74748
112,2825000,0.74797
113,2850000,0.74697
114,2875000,0.73247
115,2900000,0.73424
116,2925000,0.742
117,2950000,0.74158
118,2975000,0.74398
119,3000000,0.7383
120,3025000,0.73587
121,3050000,0.7407
122,3075000,0.73711
123,3100000,0.74292
124,3125000,0.74211
125,3150000,0.75289
126,3175000,0.7442
127,3200000,0.74604
128,3225000,0.74998
129,3250000,0.7446
130,3275000,0.73987
131,3300000,0.73816
132,3325000,0.73986
133,3350000,0.73377
134,3375000,0.72863
135,3400000,0.72905
136,3425000,0.73085
137,3450000,0.73451
138,3475000,0.74143
