,Step,Mean return,Success rate,Mean episode length
0,10000,1.0,0.0,100.0
1,20000,2.5,0.0,100.0
2,30000,7.0,0.0,100.0
3,40000,0.0,0.0,100.0
4,50000,1.0,0.0,100.0
5,60000,3.0,0.0,100.0
6,70000,1.0,0.0,100.0
7,80000,4.0,0.0,100.0
8,90000,3.0,0.0,100.0
9,100000,2.0,0.0,100.0
10,110000,2.5,0.0,100.0
11,120000,1.5,0.0,100.0
12,130000,1.0,0.0,100.0
13,140000,3.0,0.0,100.0
14,150000,7.0,0.0,100.0
15,160000,21.5,0.0,100.0
16,170000,0.0,0.0,100.0
17,180000,7.5,0.0,100.0
18,190000,26.0,0.0,100.0
19,200000,13.0,0.0,100.0
20,210000,13.5,0.0,100.0
21,220000,29.0,0.0,100.0
22,230000,0.0,0.0,100.0
23,240000,14.0,0.0,100.0
24,250000,18.0,0.0,100.0
25,260000,8.5,0.0,100.0
26,270000,9.0,0.0,100.0
27,280000,21.5,0.0,100.0
28,290000,19.5,0.0,100.0
29,300000,20.5,0.0,100.0
30,310000,0.5,0.0,100.0
31,320000,25.5,0.0,100.0
32,330000,0.0,0.0,100.0
33,340000,1.0,0.0,100.0
34,350000,46.5,0.0,100.0
35,360000,0.5,0.0,100.0
36,370000,0.0,0.0,100.0
37,380000,50.0,0.0,100.0
38,390000,42.5,0.0,100.0
39,400000,0.0,0.0,100.0
40,410000,48.5,0.0,100.0
41,420000,47.0,0.0,100.0
42,430000,45.5,0.0,100.0
43,440000,49.0,0.0,100.0
44,450000,50.0,0.0,100.0
45,460000,1.5,0.0,100.0
46,470000,3.5,0.0,100.0
47,480000,186.5,0.0,100.0
48,490000,48.0,0.0,100.0
49,500000,189.0,0.0,100.0
50,510000,18.5,0.0,100.0
51,520000,169.5,0.0,100.0
52,530000,171.5,0.0,100.0
53,540000,178.0,0.0,100.0
54,550000,183.5,0.0,100.0
55,560000,187.0,0.0,100.0
56,570000,189.0,0.0,100.0
57,580000,192.0,0.0,100.0
58,590000,186.0,0.0,100.0
59,600000,186.5,0.0,100.0
60,610000,186.5,0.0,100.0
61,620000,189.0,0.0,100.0
62,630000,190.5,0.0,100.0
63,640000,180.0,0.0,100.0
64,650000,183.0,0.0,100.0
65,660000,187.5,0.0,100.0
66,670000,185.5,0.0,100.0
67,680000,184.5,0.0,100.0
68,690000,187.5,0.0,100.0
69,700000,188.5,0.0,100.0
70,710000,184.0,0.0,100.0
71,720000,188.5,0.0,100.0
72,730000,189.5,0.0,100.0
73,740000,186.0,0.0,100.0
74,750000,188.5,0.0,100.0
75,760000,188.5,0.0,100.0
76,770000,184.5,0.0,100.0
77,780000,192.0,0.0,100.0
78,790000,187.5,0.0,100.0
79,800000,191.0,0.0,100.0
80,810000,183.0,0.0,100.0
81,820000,183.5,0.0,100.0
82,830000,182.5,0.0,100.0
83,840000,192.5,0.0,100.0
84,850000,192.0,0.0,100.0
85,860000,189.0,0.0,100.0
86,870000,189.0,0.0,100.0
87,880000,185.0,0.0,100.0
88,890000,186.5,0.0,100.0
89,900000,182.5,0.0,100.0
90,910000,185.0,0.0,100.0
91,920000,186.0,0.0,100.0
92,930000,185.0,0.0,100.0
93,940000,189.0,0.0,100.0
94,950000,187.0,0.0,100.0
95,960000,185.5,0.0,100.0
96,970000,185.5,0.0,100.0
97,980000,190.5,0.0,100.0
98,990000,188.5,0.0,100.0
99,1000000,186.5,0.0,100.0
100,1010000,187.5,0.0,100.0
101,1020000,183.0,0.0,100.0
102,1030000,189.0,0.0,100.0
103,1040000,189.0,0.0,100.0
104,1050000,188.5,0.0,100.0
105,1060000,184.0,0.0,100.0
106,1070000,192.5,0.0,100.0
107,1080000,189.5,0.0,100.0
108,1090000,183.5,0.0,100.0
109,1100000,187.5,0.0,100.0
110,1110000,190.5,0.0,100.0
111,1120000,190.0,0.0,100.0
112,1130000,184.0,0.0,100.0
113,1140000,192.0,0.0,100.0
114,1150000,185.5,0.0,100.0
115,1160000,185.5,0.0,100.0
116,1170000,186.5,0.0,100.0
117,1180000,192.5,0.0,100.0
118,1190000,188.0,0.0,100.0
119,1200000,186.5,0.0,100.0
120,1210000,186.5,0.0,100.0
121,1220000,192.0,0.0,100.0
122,1230000,191.0,0.0,100.0
123,1240000,183.5,0.0,100.0
124,1250000,183.5,0.0,100.0
125,1260000,183.5,0.0,100.0
126,1270000,192.5,0.0,100.0
127,1280000,190.0,0.0,100.0
128,1290000,184.0,0.0,100.0
129,1300000,188.0,0.0,100.0
130,1310000,183.0,0.0,100.0
131,1320000,184.0,0.0,100.0
132,1330000,183.5,0.0,100.0
133,1340000,188.5,0.0,100.0
134,1350000,183.0,0.0,100.0
135,1360000,182.5,0.0,100.0
136,1370000,183.0,0.0,100.0
137,1380000,185.5,0.0,100.0
138,1390000,186.0,0.0,100.0
139,1400000,184.5,0.0,100.0
140,1410000,182.0,0.0,100.0
141,1420000,189.0,0.0,100.0
142,1430000,183.5,0.0,100.0
143,1440000,183.5,0.0,100.0
144,1450000,190.5,0.0,100.0
145,1460000,190.0,0.0,100.0
146,1470000,190.5,0.0,100.0
147,1480000,186.5,0.0,100.0
148,1490000,190.5,0.0,100.0
149,1500000,190.5,0.0,100.0
150,1510000,189.5,0.0,100.0
151,1520000,183.5,0.0,100.0
152,1530000,188.0,0.0,100.0
153,1540000,182.0,0.0,100.0
154,1550000,191.0,0.0,100.0
155,1560000,187.5,0.0,100.0
156,1570000,189.5,0.0,100.0
157,1580000,189.0,0.0,100.0
158,1590000,192.5,0.0,100.0
159,1600000,183.0,0.0,100.0
160,1610000,184.0,0.0,100.0
161,1620000,186.0,0.0,100.0
162,1630000,190.5,0.0,100.0
163,1640000,185.0,0.0,100.0
164,1650000,190.0,0.0,100.0
165,1660000,190.0,0.0,100.0
166,1670000,189.0,0.0,100.0
167,1680000,190.5,0.0,100.0
168,1690000,188.0,0.0,100.0
169,1700000,189.0,0.0,100.0
170,1710000,183.0,0.0,100.0
171,1720000,189.0,0.0,100.0
172,1730000,184.5,0.0,100.0
173,1740000,191.0,0.0,100.0
174,1750000,184.5,0.0,100.0
175,1760000,183.0,0.0,100.0
176,1770000,184.0,0.0,100.0
177,1780000,186.0,0.0,100.0
178,1790000,185.0,0.0,100.0
179,1800000,188.0,0.0,100.0
180,1810000,189.0,0.0,100.0
181,1820000,188.0,0.0,100.0
182,1830000,184.5,0.0,100.0
183,1840000,192.0,0.0,100.0
184,1850000,187.0,0.0,100.0
185,1860000,185.5,0.0,100.0
186,1870000,185.5,0.0,100.0
187,1880000,192.0,0.0,100.0
188,1890000,182.5,0.0,100.0
189,1900000,189.5,0.0,100.0
190,1910000,187.5,0.0,100.0
191,1920000,188.5,0.0,100.0
192,1930000,184.5,0.0,100.0
193,1940000,186.0,0.0,100.0
194,1950000,185.5,0.0,100.0
195,1960000,186.0,0.0,100.0
196,1970000,184.5,0.0,100.0
197,1980000,191.0,0.0,100.0
198,1990000,192.5,0.0,100.0
199,2000000,192.5,0.0,100.0
200,2010000,183.0,0.0,100.0
201,2020000,190.5,0.0,100.0
202,2030000,184.0,0.0,100.0
203,2040000,190.0,0.0,100.0
204,2050000,185.0,0.0,100.0
205,2060000,182.5,0.0,100.0
206,2070000,188.5,0.0,100.0
207,2080000,190.5,0.0,100.0
208,2090000,194.0,0.0,100.0
209,2100000,192.0,0.0,100.0
210,2110000,186.5,0.0,100.0
211,2120000,188.0,0.0,100.0
212,2130000,182.5,0.0,100.0
213,2140000,192.5,0.0,100.0
214,2150000,185.0,0.0,100.0
215,2160000,190.0,0.0,100.0
216,2170000,186.0,0.0,100.0
217,2180000,188.0,0.0,100.0
218,2190000,185.5,0.0,100.0
219,2200000,183.0,0.0,100.0
220,2210000,187.5,0.0,100.0
221,2220000,184.0,0.0,100.0
222,2230000,183.5,0.0,100.0
223,2240000,185.0,0.0,100.0
224,2250000,185.0,0.0,100.0
225,2260000,182.5,0.0,100.0
226,2270000,185.5,0.0,100.0
227,2280000,189.0,0.0,100.0
228,2290000,185.0,0.0,100.0
229,2300000,185.0,0.0,100.0
230,2310000,190.5,0.0,100.0
231,2320000,183.5,0.0,100.0
232,2330000,189.0,0.0,100.0
233,2340000,182.5,0.0,100.0
234,2350000,186.5,0.0,100.0
235,2360000,190.5,0.0,100.0
236,2370000,190.0,0.0,100.0
237,2380000,185.5,0.0,100.0
238,2390000,189.5,0.0,100.0
239,2400000,184.5,0.0,100.0
240,2410000,183.0,0.0,100.0
241,2420000,186.5,0.0,100.0
242,2430000,188.5,0.0,100.0
243,2440000,190.0,0.0,100.0
244,2450000,190.5,0.0,100.0
245,2460000,186.5,0.0,100.0
246,2470000,186.5,0.0,100.0
247,2480000,189.0,0.0,100.0
248,2490000,186.5,0.0,100.0
249,2500000,190.5,0.0,100.0
250,2510000,189.0,0.0,100.0
251,2520000,189.0,0.0,100.0
252,2530000,189.0,0.0,100.0
253,2540000,189.0,0.0,100.0
254,2550000,190.5,0.0,100.0
255,2560000,185.0,0.0,100.0
