,Step,Episode return,Success,Episode length
0,40.0,-21.165,1,40.0
1,80.0,-42.87000000000001,1,40.0
2,120.0,-12.230000000000002,1,40.0
3,160.0,-19.175000000000008,1,40.0
4,200.0,-50.434999999999995,1,40.0
5,240.0,-31.025000000000006,1,40.0
6,280.0,-260.44500000000005,1,40.0
7,320.0,-53.845000000000006,1,40.0
8,360.0,-176.55500000000006,1,40.0
9,400.0,-26.800000000000004,1,40.0
10,440.0,-5.340000000000002,1,40.0
11,480.0,-22.195000000000007,1,40.0
12,520.0,-60.815000000000005,1,40.0
13,560.0,-130.25999999999996,1,40.0
14,600.0,-98.31499999999993,1,40.0
15,640.0,-79.99500000000002,1,40.0
16,680.0,-6.974999999999999,1,40.0
17,720.0,-63.73500000000003,1,40.0
18,760.0,-64.88499999999999,1,40.0
19,800.0,-181.21500000000003,1,40.0
20,840.0,-112.66000000000001,1,40.0
21,880.0,-76.78500000000001,1,40.0
22,920.0,-152.79000000000002,1,40.0
23,960.0,-183.70000000000002,1,40.0
24,1000.0,15.299999999999994,1,40.0
25,1040.0,-102.12000000000003,1,40.0
26,1080.0,-176.82500000000002,1,40.0
27,1120.0,-182.65500000000006,1,40.0
28,1160.0,-116.35000000000004,1,40.0
29,1200.0,-28.184999999999995,1,40.0
30,1240.0,-134.315,1,40.0
31,1280.0,-286.08,1,40.0
32,1320.0,-14.619999999999997,1,40.0
33,1360.0,-136.03000000000003,1,40.0
34,1400.0,-178.35999999999999,1,40.0
35,1440.0,-76.16,1,40.0
36,1480.0,-21.990000000000002,1,40.0
37,1520.0,-23.474999999999998,1,40.0
38,1560.0,-170.09,1,40.0
39,1600.0,-125.88999999999999,1,40.0
40,1640.0,-34.704999999999984,1,40.0
41,1680.0,-212.16500000000002,1,40.0
42,1720.0,-4.6899999999999995,1,40.0
43,1760.0,-202.93000000000004,1,40.0
44,1800.0,-10.989999999999998,1,40.0
45,1840.0,-13.125000000000002,1,40.0
46,1880.0,-98.16499999999998,1,40.0
47,1920.0,-160.99999999999997,1,40.0
48,1960.0,-132.11499999999995,1,40.0
49,2000.0,-191.925,1,40.0
50,2040.0,-97.11999999999999,1,40.0
51,2080.0,-266.85,1,40.0
52,2120.0,-186.2,1,40.0
53,2160.0,-30.51999999999999,1,40.0
54,2200.0,-164.94,1,40.0
55,2240.0,-140.295,1,40.0
56,2280.0,-19.35,1,40.0
57,2320.0,-96.41,1,40.0
58,2360.0,-219.25499999999997,1,40.0
59,2400.0,-97.77500000000003,1,40.0
60,2440.0,-301.185,1,40.0
61,2480.0,-31.050000000000004,1,40.0
62,2520.0,-192.95499999999998,1,40.0
63,2560.0,-147.41500000000002,1,40.0
64,2600.0,-131.34000000000003,1,40.0
65,2640.0,-2.7799999999999976,1,40.0
66,2680.0,-16.785,1,40.0
67,2720.0,-185.07,1,40.0
68,2760.0,-8.969999999999997,1,40.0
69,2800.0,-10.545,1,40.0
70,2840.0,-95.57499999999999,1,40.0
71,2880.0,-169.64,1,40.0
72,2920.0,-13.579999999999998,1,40.0
73,2960.0,-56.93500000000001,1,40.0
74,3000.0,-26.434999999999995,1,40.0
75,3040.0,-68.415,1,40.0
76,3080.0,-175.71499999999997,1,40.0
77,3120.0,-156.33,1,40.0
78,3160.0,-48.055,1,40.0
79,3200.0,-11.234999999999998,1,40.0
80,3240.0,-35.595000000000006,1,40.0
81,3280.0,-91.475,1,40.0
82,3320.0,-173.99499999999998,1,40.0
83,3360.0,-31.334999999999994,1,40.0
84,3400.0,-104.16,1,40.0
85,3440.0,-52.440000000000005,1,40.0
86,3480.0,-13.745,1,40.0
87,3520.0,-92.335,1,40.0
88,3560.0,-27.195000000000004,1,40.0
89,3600.0,-140.13500000000005,1,40.0
90,3640.0,-80.45,1,40.0
91,3680.0,-168.035,1,40.0
92,3720.0,-170.39999999999998,1,40.0
93,3760.0,-48.599999999999994,1,40.0
94,3800.0,-70.49000000000004,1,40.0
95,3840.0,-210.93500000000003,1,40.0
96,3880.0,-137.43000000000004,1,40.0
97,3920.0,-25.23500000000001,1,40.0
98,3960.0,-25.189999999999994,1,40.0
99,4000.0,-166.89499999999992,1,40.0
100,4040.0,-121.42499999999998,1,40.0
101,4080.0,-107.00499999999998,1,40.0
102,4120.0,-53.065,1,40.0
103,4160.0,-91.59499999999997,1,40.0
104,4200.0,-125.99500000000006,1,40.0
105,4240.0,-31.705000000000005,1,40.0
106,4280.0,-76.30000000000004,1,40.0
107,4320.0,-151.72000000000008,1,40.0
108,4360.0,-92.81999999999996,1,40.0
109,4400.0,-87.29500000000002,1,40.0
110,4440.0,-110.99000000000001,1,40.0
111,4480.0,-123.825,1,40.0
112,4520.0,-161.15000000000003,1,40.0
113,4560.0,-177.01000000000008,1,40.0
114,4600.0,-156.80000000000004,1,40.0
115,4640.0,-59.75499999999999,1,40.0
116,4680.0,-24.539999999999996,1,40.0
117,4720.0,-17.929999999999993,1,40.0
118,4760.0,-213.80000000000007,1,40.0
119,4800.0,-199.30999999999995,1,40.0
120,4840.0,-57.18999999999999,1,40.0
121,4880.0,-59.474999999999994,1,40.0
122,4920.0,-132.185,1,40.0
123,4960.0,-118.57,1,40.0
124,5000.0,-1.2350000000000003,1,40.0
125,5040.0,-23.335,1,40.0
126,5080.0,-186.11499999999995,1,40.0
127,5120.0,-115.205,1,40.0
128,5160.0,69.70500000000001,1,40.0
129,5200.0,-265.50000000000006,1,40.0
130,5240.0,-4.095000000000001,1,40.0
131,5280.0,-18.194999999999993,1,40.0
132,5320.0,-7.619999999999999,1,40.0
133,5360.0,-45.960000000000015,1,40.0
134,5400.0,-1.9399999999999993,1,40.0
135,5440.0,115.98500000000001,1,40.0
136,5480.0,-11.434999999999997,1,40.0
137,5520.0,-74.30000000000001,1,40.0
138,5560.0,-15.585,1,40.0
139,5600.0,-26.050000000000004,1,40.0
140,5640.0,-136.83000000000007,1,40.0
141,5680.0,-46.76999999999999,1,40.0
142,5720.0,-39.165000000000006,1,40.0
143,5760.0,-138.84000000000003,1,40.0
144,5800.0,-15.315,1,40.0
145,5840.0,-123.71,1,40.0
146,5880.0,-140.245,1,40.0
147,5920.0,-8.354999999999999,1,40.0
148,5960.0,-132.85500000000005,1,40.0
149,6000.0,51.21499999999999,1,40.0
150,6040.0,-45.81,1,40.0
151,6080.0,-114.22500000000004,1,40.0
152,6120.0,-25.56,1,40.0
153,6160.0,-1.9350000000000003,1,40.0
154,6200.0,-19.735,1,40.0
155,6240.0,-92.46,1,40.0
156,6280.0,-40.239999999999995,1,40.0
157,6320.0,-17.79,1,40.0
158,6360.0,-32.11499999999999,1,40.0
159,6400.0,-8.785,1,40.0
160,6440.0,-123.91,1,40.0
161,6480.0,-51.09000000000001,1,40.0
162,6520.0,-63.40499999999999,1,40.0
163,6560.0,-2.725,1,40.0
164,6600.0,-70.49500000000002,1,40.0
165,6640.0,-11.900000000000002,1,40.0
166,6680.0,-35.34,1,40.0
167,6720.0,-159.075,1,40.0
168,6760.0,-114.34000000000003,1,40.0
169,6800.0,-62.514999999999965,1,40.0
170,6840.0,-58.57000000000002,1,40.0
171,6880.0,-90.065,1,40.0
172,6920.0,-2.8199999999999976,1,40.0
173,6960.0,-1.6499999999999986,1,40.0
174,7000.0,-33.965,1,40.0
175,7040.0,-84.96500000000002,1,40.0
176,7080.0,-84.24000000000001,1,40.0
177,7120.0,-134.415,1,40.0
178,7160.0,-181.85,1,40.0
