,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Success,Episode length
0,39,-40.80000305175781,-40.8,0.0,1,40
1,79,-123.37500762939453,-123.37499999999999,0.0,1,40
2,119,-23.560001373291016,-23.560000000000002,0.0,1,40
3,159,-60.30500030517578,-60.305000000000035,0.0,1,40
4,199,-8.964999198913574,-8.965,0.0,1,40
5,239,-71.70500183105469,-71.705,0.0,1,40
6,279,-121.54999542236328,-121.55000000000003,0.0,1,40
7,319,-18.295000076293945,-18.294999999999995,0.0,1,40
8,359,-22.924999237060547,-22.925000000000004,0.0,1,40
9,399,-63.094993591308594,-63.095,0.0,1,40
10,439,-132.3300018310547,-132.32999999999998,0.0,1,40
11,479,-71.20999908447266,-71.21000000000002,0.0,1,40
12,519,-47.29999923706055,-47.300000000000004,0.0,1,40
13,559,-76.5,-76.49999999999999,0.0,1,40
14,599,-98.70500183105469,-98.70500000000006,0.0,1,40
15,639,-9.165000915527344,-9.165000000000001,0.0,1,40
16,679,-129.875,-129.87499999999994,0.0,1,40
17,719,-126.65499877929688,-126.655,0.0,1,40
18,759,-78.625,-78.62500000000001,0.0,1,40
19,799,-128.93499755859375,-128.93499999999997,0.0,1,40
20,839,-232.41500854492188,-232.41500000000008,0.0,1,40
21,879,-93.77000427246094,-93.76999999999998,0.0,1,40
22,919,-134.739990234375,-134.74000000000004,0.0,1,40
23,959,-265.3399963378906,-265.3400000000001,0.0,1,40
24,999,-13.565000534057617,-13.565000000000005,0.0,1,40
25,1039,-40.439998626708984,-40.44000000000001,0.0,1,40
26,1079,-18.204999923706055,-18.204999999999995,0.0,1,40
27,1119,-20.28000259399414,-20.279999999999998,0.0,1,40
28,1159,-18.774999618530273,-18.77499999999999,0.0,1,40
29,1199,-78.14500427246094,-78.145,0.0,1,40
30,1239,-42.025001525878906,-42.02499999999999,0.0,1,40
31,1279,-30.40999984741211,-30.41,0.0,1,40
32,1319,-22.23000144958496,-22.229999999999997,0.0,1,40
33,1359,-41.92499923706055,-41.925000000000004,0.0,1,40
