,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Episode intrinsic return 2,Success,Episode length
0,39,-147.7100067138672,-147.71000000000004,0.0,0.0,1,40
1,79,-169.05499267578125,-169.05499999999998,0.0,0.0,1,40
2,119,-100.15499877929688,-100.15499999999999,0.0,0.0,1,40
3,159,-123.55499267578125,-123.55499999999998,0.0,0.0,1,40
4,199,-7.934999942779541,-7.934999999999998,0.0,0.0,1,40
5,239,-235.9550018310547,-235.95499999999998,0.0,0.0,1,40
6,279,-275.1300048828125,-275.13,0.0,0.0,1,40
7,319,-8.769999504089355,-8.77,0.0,0.0,1,40
8,359,-166.90499877929688,-166.90500000000003,0.0,0.0,1,40
9,399,-164.8800048828125,-164.88000000000002,0.0,0.0,1,40
10,439,-100.93999481201172,-100.93999999999998,0.0,0.0,1,40
11,479,-11.210000038146973,-11.210000000000003,0.0,0.0,1,40
12,519,-104.27000427246094,-104.27,0.0,0.0,1,40
13,559,-120.05999755859375,-120.06000000000002,0.0,0.0,1,40
14,599,-18.23499870300293,-18.235,0.0,0.0,1,40
15,639,-21.489999771118164,-21.490000000000002,0.0,0.0,1,40
16,679,-210.7349853515625,-210.73500000000016,0.0,0.0,1,40
17,719,-59.394996643066406,-59.39499999999998,0.0,0.0,1,40
18,759,-12.779999732971191,-12.779999999999996,0.0,0.0,1,40
19,799,-63.1349983215332,-63.13499999999998,0.0,0.0,1,40
20,839,-25.514999389648438,-25.515000000000004,0.0,0.0,1,40
21,879,-187.510009765625,-187.51000000000005,0.0,0.0,1,40
22,919,-31.32000160217285,-31.31999999999999,0.0,0.0,1,40
23,959,-20.55000114440918,-20.549999999999997,0.0,0.0,1,40
24,999,-16.524999618530273,-16.524999999999995,0.0,0.0,1,40
25,1039,-19.989999771118164,-19.989999999999995,0.0,0.0,1,40
26,1079,-83.6449966430664,-83.64499999999998,0.0,0.0,1,40
27,1119,-23.649999618530273,-23.650000000000002,0.0,0.0,1,40
28,1159,-18.795001983642578,-18.794999999999995,0.0,0.0,1,40
29,1199,-21.19499969482422,-21.194999999999993,0.0,0.0,1,40
30,1239,-22.10000228881836,-22.099999999999998,0.0,0.0,1,40
31,1279,-54.54999923706055,-54.550000000000004,0.0,0.0,1,40
32,1319,-31.57000160217285,-31.57,0.0,0.0,1,40
33,1359,-16.584999084472656,-16.585000000000004,0.0,0.0,1,40
34,1399,-18.174999237060547,-18.174999999999994,0.0,0.0,1,40
35,1439,-35.3900032043457,-35.390000000000015,0.0,0.0,1,40
36,1479,-17.58500099182129,-17.585000000000004,0.0,0.0,1,40
37,1519,-18.21500015258789,-18.215,0.0,0.0,1,40
38,1559,-17.950000762939453,-17.950000000000003,0.0,0.0,1,40
39,1599,-65.9000015258789,-65.89999999999999,0.0,0.0,1,40
40,1639,-21.170001983642578,-21.169999999999998,0.0,0.0,1,40
41,1679,-71.12000274658203,-71.12000000000002,0.0,0.0,1,40
42,1719,-67.22999572753906,-67.23,0.0,0.0,1,40
43,1759,-19.98000144958496,-19.98,0.0,0.0,1,40
44,1799,-18.875,-18.875000000000004,0.0,0.0,1,40
45,1839,-22.28499984741211,-22.284999999999997,0.0,0.0,1,40
46,1879,-14.649999618530273,-14.650000000000004,0.0,0.0,1,40
47,1919,-25.669998168945312,-25.669999999999998,0.0,0.0,1,40
48,1959,-30.689998626708984,-30.689999999999994,0.0,0.0,1,40
49,1999,-21.729999542236328,-21.73000000000001,0.0,0.0,1,40
50,2039,-23.84000015258789,-23.840000000000007,0.0,0.0,1,40
51,2079,-69.43499755859375,-69.43499999999999,0.0,0.0,1,40
52,2119,-60.269996643066406,-60.269999999999996,0.0,0.0,1,40
53,2159,-80.56999969482422,-80.57,0.0,0.0,1,40
54,2199,-13.595000267028809,-13.594999999999997,0.0,0.0,1,40
55,2239,-38.029998779296875,-38.03000000000001,0.0,0.0,1,40
56,2279,-29.509998321533203,-29.509999999999998,0.0,0.0,1,40
57,2319,-44.83500289916992,-44.83500000000001,0.0,0.0,1,40
58,2359,-32.08000183105469,-32.07999999999999,0.0,0.0,1,40
59,2399,-53.61000061035156,-53.61,0.0,0.0,1,40
60,2439,-39.76499938964844,-39.765,0.0,0.0,1,40
61,2479,-34.064998626708984,-34.065000000000005,0.0,0.0,1,40
62,2519,-46.69499969482422,-46.69499999999999,0.0,0.0,1,40
63,2559,-33.50499725341797,-33.50500000000001,0.0,0.0,1,40
64,2599,-35.959999084472656,-35.96000000000001,0.0,0.0,1,40
65,2639,-51.20500183105469,-51.20499999999999,0.0,0.0,1,40
66,2679,-20.459999084472656,-20.459999999999987,0.0,0.0,1,40
67,2719,-13.145000457763672,-13.144999999999998,0.0,0.0,1,40
68,2759,-65.05000305175781,-65.04999999999997,0.0,0.0,1,40
69,2799,-34.87999725341797,-34.879999999999995,0.0,0.0,1,40
70,2839,-68.60499572753906,-68.60499999999998,0.0,0.0,1,40
71,2879,-131.0500030517578,-131.05,0.0,0.0,1,40
72,2919,-44.07500076293945,-44.075,0.0,0.0,1,40
73,2959,-23.389999389648438,-23.389999999999997,0.0,0.0,1,40
74,2999,-10.085000038146973,-10.084999999999999,0.0,0.0,1,40
75,3039,-8.210000038146973,-8.21,0.0,0.0,1,40
76,3079,-14.795000076293945,-14.794999999999995,0.0,0.0,1,40
77,3119,-38.084999084472656,-38.08499999999999,0.0,0.0,1,40
78,3159,-52.614994049072266,-52.61499999999998,0.0,0.0,1,40
79,3199,-37.13500213623047,-37.13500000000002,0.0,0.0,1,40
80,3239,-7.545000076293945,-7.544999999999999,0.0,0.0,1,40
81,3279,-14.574999809265137,-14.575,0.0,0.0,1,40
82,3319,-86.69000244140625,-86.68999999999998,0.0,0.0,1,40
83,3359,-60.810001373291016,-60.80999999999999,0.0,0.0,1,40
84,3399,-44.310001373291016,-44.31000000000001,0.0,0.0,1,40
85,3439,-59.154998779296875,-59.155000000000015,0.0,0.0,1,40
86,3479,-60.125,-60.125,0.0,0.0,1,40
87,3519,-59.720001220703125,-59.72,0.0,0.0,1,40
88,3559,-26.03999900817871,-26.039999999999996,0.0,0.0,1,40
89,3599,-18.985000610351562,-18.985,0.0,0.0,1,40
90,3639,-107.21000671386719,-107.21,0.0,0.0,1,40
91,3679,-102.02999877929688,-102.03000000000003,0.0,0.0,1,40
92,3719,-39.750003814697266,-39.75,0.0,0.0,1,40
93,3759,-18.18000030517578,-18.180000000000003,0.0,0.0,1,40
94,3799,-42.95499801635742,-42.95500000000001,0.0,0.0,1,40
95,3839,-19.65999984741211,-19.66,0.0,0.0,1,40
