,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Episode intrinsic return 2,Success,Episode length
0,49,-59.571197509765625,-59.5712,0.0,0.0,1,50
1,99,-66.30400085449219,-66.30400000000002,0.0,0.0,1,50
2,149,-338.8927917480469,-338.8927999999999,0.0,0.0,1,50
3,199,-241.63519287109375,-241.63520000000014,0.0,0.0,1,50
4,249,-58.63679885864258,-58.636799999999994,0.0,0.0,1,50
5,299,-41.85919952392578,-41.85919999999998,0.0,0.0,1,50
6,349,-325.87518310546875,-325.8751999999999,0.0,0.0,1,50
7,399,-120.76799774169922,-120.76799999999997,0.0,0.0,1,50
8,449,-50.18560028076172,-50.185599999999965,0.0,0.0,1,50
9,499,-136.598388671875,-136.59839999999994,0.0,0.0,1,50
10,549,-163.6416015625,-163.64159999999993,0.0,0.0,1,50
11,599,-180.84799194335938,-180.84799999999993,0.0,0.0,1,50
12,649,-63.85599899291992,-63.855999999999966,0.0,0.0,1,50
13,699,-227.43359375,-227.43359999999996,0.0,0.0,1,50
14,749,-128.0511932373047,-128.0512,0.0,0.0,1,50
15,799,-175.35040283203125,-175.35039999999998,0.0,0.0,1,50
16,849,-144.2176055908203,-144.21759999999998,0.0,0.0,1,50
17,899,-213.50399780273438,-213.50400000000005,0.0,0.0,1,50
18,949,-36.959999084472656,-36.95999999999999,0.0,0.0,1,50
19,999,-256.505615234375,-256.50559999999996,0.0,0.0,1,50
20,1049,-36.905601501464844,-36.90559999999999,0.0,0.0,1,50
21,1099,-268.5151672363281,-268.5152000000002,0.0,0.0,1,50
22,1149,-81.5999984741211,-81.60000000000001,0.0,0.0,1,50
23,1199,-62.06719970703125,-62.06719999999996,0.0,0.0,1,50
24,1249,-81.44639587402344,-81.44640000000001,0.0,0.0,1,50
25,1299,-84.34880065917969,-84.3488,0.0,0.0,1,50
26,1349,-19.84320068359375,-19.843200000000003,0.0,0.0,1,50
27,1399,-56.48640441894531,-56.48639999999998,0.0,0.0,1,50
28,1449,-24.33599853515625,-24.33600000000001,0.0,0.0,1,50
29,1499,-57.955204010009766,-57.955199999999984,0.0,0.0,1,50
30,1549,-28.572799682617188,-28.57280000000001,0.0,0.0,1,50
31,1599,-96.23360443115234,-96.2336,0.0,0.0,1,50
32,1649,-25.82080078125,-25.820800000000006,0.0,0.0,1,50
33,1699,-36.88639831542969,-36.886400000000016,0.0,0.0,1,50
34,1749,-29.827198028564453,-29.827200000000015,0.0,0.0,1,50
35,1799,-31.420799255371094,-31.420800000000018,0.0,0.0,1,50
36,1849,-81.56480407714844,-81.56479999999996,0.0,0.0,1,50
37,1899,-132.1376190185547,-132.1376,0.0,0.0,1,50
38,1949,-29.248001098632812,-29.247999999999994,0.0,0.0,1,50
39,1999,-25.935997009277344,-25.936000000000003,0.0,0.0,1,50
40,2049,-23.580799102783203,-23.58080000000001,0.0,0.0,1,50
41,2099,-23.807998657226562,-23.808000000000007,0.0,0.0,1,50
42,2149,-95.32160186767578,-95.32159999999999,0.0,0.0,1,50
43,2199,-69.92000579833984,-69.91999999999999,0.0,0.0,1,50
44,2249,-21.52320098876953,-21.523200000000006,0.0,0.0,1,50
45,2299,-20.451200485229492,-20.45120000000001,0.0,0.0,1,50
46,2349,-93.66399383544922,-93.664,0.0,0.0,1,50
47,2399,-53.32479476928711,-53.32480000000005,0.0,0.0,1,50
48,2449,-36.668800354003906,-36.66879999999999,0.0,0.0,1,50
49,2499,-34.21440124511719,-34.21439999999998,0.0,0.0,1,50
50,2549,-73.52640533447266,-73.52639999999998,0.0,0.0,1,50
51,2599,-67.06559753417969,-67.06560000000002,0.0,0.0,1,50
52,2649,-22.665599822998047,-22.665600000000005,0.0,0.0,1,50
53,2699,-69.25439453125,-69.25440000000002,0.0,0.0,1,50
54,2749,-15.203200340270996,-15.203200000000006,0.0,0.0,1,50
55,2799,-15.782400131225586,-15.782400000000004,0.0,0.0,1,50
56,2849,-23.36640167236328,-23.366400000000016,0.0,0.0,1,50
57,2899,-27.212800979614258,-27.212800000000012,0.0,0.0,1,50
58,2949,-19.76959991455078,-19.76960000000002,0.0,0.0,1,50
59,2999,-26.019197463989258,-26.01920000000001,0.0,0.0,1,50
60,3049,-30.79039764404297,-30.790400000000005,0.0,0.0,1,50
61,3099,-84.48320770263672,-84.4832,0.0,0.0,1,50
62,3149,-83.28958892822266,-83.28959999999998,0.0,0.0,1,50
63,3199,-105.5711898803711,-105.5712,0.0,0.0,1,50
64,3249,-60.68159484863281,-60.681599999999996,0.0,0.0,1,50
65,3299,-29.804798126220703,-29.804800000000014,0.0,0.0,1,50
66,3349,-30.399999618530273,-30.400000000000023,0.0,0.0,1,50
67,3399,-113.27680206298828,-113.27680000000002,0.0,0.0,1,50
68,3449,-26.892803192138672,-26.892800000000022,0.0,0.0,1,50
69,3499,-37.43040466308594,-37.4304,0.0,0.0,1,50
70,3549,-20.483200073242188,-20.483200000000007,0.0,0.0,1,50
71,3599,-24.188800811767578,-24.188799999999993,0.0,0.0,1,50
72,3649,-75.11360168457031,-75.11359999999999,0.0,0.0,1,50
73,3699,-24.729598999023438,-24.729600000000026,0.0,0.0,1,50
74,3749,-22.07040023803711,-22.070400000000017,0.0,0.0,1,50
75,3799,-70.50879669189453,-70.50880000000001,0.0,0.0,1,50
76,3849,-28.230396270751953,-28.23040000000003,0.0,0.0,1,50
77,3899,-27.126399993896484,-27.12640000000003,0.0,0.0,1,50
78,3949,-94.29759979248047,-94.29759999999999,0.0,0.0,1,50
79,3999,-64.82239532470703,-64.82239999999997,0.0,0.0,1,50
80,4049,-68.30719757080078,-68.3072,0.0,0.0,1,50
81,4099,-61.92000198364258,-61.91999999999999,0.0,0.0,1,50
82,4149,-18.54079818725586,-18.540799999999997,0.0,0.0,1,50
83,4199,-110.99199676513672,-110.99199999999999,0.0,0.0,1,50
84,4249,-76.70079040527344,-76.70079999999999,0.0,0.0,1,50
85,4299,-22.07040023803711,-22.07040000000002,0.0,0.0,1,50
86,4349,-20.153600692749023,-20.15360000000001,0.0,0.0,1,50
87,4399,-61.324798583984375,-61.32479999999998,0.0,0.0,1,50
88,4449,-100.53759765625,-100.53760000000001,0.0,0.0,1,50
89,4499,-37.52960205078125,-37.52959999999999,0.0,0.0,1,50
90,4549,-25.788799285888672,-25.788799999999984,0.0,0.0,1,50
91,4599,-26.304000854492188,-26.304000000000006,0.0,0.0,1,50
92,4649,-79.58399963378906,-79.58399999999996,0.0,0.0,1,50
93,4699,-73.71839904785156,-73.7184,0.0,0.0,1,50
94,4749,-69.36640167236328,-69.36639999999997,0.0,0.0,1,50
95,4799,-22.793601989746094,-22.793600000000012,0.0,0.0,1,50
96,4849,-41.49760437011719,-41.49759999999998,0.0,0.0,1,50
97,4899,-14.671998977661133,-14.672000000000038,0.0,0.0,1,50
98,4949,-90.25279235839844,-90.25279999999998,0.0,0.0,1,50
99,4999,-92.63999938964844,-92.63999999999993,0.0,0.0,1,50
100,5049,-141.11680603027344,-141.11679999999993,0.0,0.0,1,50
101,5099,-100.93440246582031,-100.9344,0.0,0.0,1,50
102,5149,-24.8799991607666,-24.880000000000013,0.0,0.0,1,50
103,5199,-75.05919647216797,-75.05920000000002,0.0,0.0,1,50
104,5249,-31.808002471923828,-31.807999999999993,0.0,0.0,1,50
105,5299,-62.05760192871094,-62.05759999999998,0.0,0.0,1,50
106,5349,-26.47679901123047,-26.47680000000002,0.0,0.0,1,50
107,5399,-51.055999755859375,-51.056,0.0,0.0,1,50
108,5449,-35.87519836425781,-35.87520000000001,0.0,0.0,1,50
109,5499,-47.980796813964844,-47.980799999999995,0.0,0.0,1,50
110,5549,-22.18239974975586,-22.182399999999994,0.0,0.0,1,50
111,5599,-18.102399826049805,-18.102400000000017,0.0,0.0,1,50
112,5649,-45.014400482177734,-45.01439999999999,0.0,0.0,1,50
113,5699,-60.03200149536133,-60.03199999999999,0.0,0.0,1,50
114,5749,-17.644798278808594,-17.644800000000007,0.0,0.0,1,50
115,5799,-19.651201248168945,-19.65120000000001,0.0,0.0,1,50
116,5849,-62.55039596557617,-62.55039999999999,0.0,0.0,1,50
117,5899,-29.974401473999023,-29.974400000000003,0.0,0.0,1,50
118,5949,-42.45759963989258,-42.45759999999999,0.0,0.0,1,50
119,5999,-66.0864028930664,-66.0864,0.0,0.0,1,50
120,6049,-43.254398345947266,-43.254399999999976,0.0,0.0,1,50
121,6099,-76.57599639892578,-76.57600000000001,0.0,0.0,1,50
122,6149,-37.56480026245117,-37.56479999999999,0.0,0.0,1,50
123,6199,-84.20800018310547,-84.20799999999997,0.0,0.0,1,50
