,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Success,Episode length
0,39,4.304184913635254,-24.770000000000007,29.074184728770998,1,40
1,79,21.058671951293945,-12.349999999999998,33.408671207407046,1,40
2,119,-93.10536193847656,-136.30999999999997,43.20463157653099,1,40
3,159,-112.87492370605469,-156.77499999999998,43.90008038521786,1,40
4,199,-153.82318115234375,-184.63499999999996,30.811830684224724,1,40
5,239,5.052355766296387,-29.005000000000006,34.05735586066667,1,40
6,279,-6.993071556091309,-49.71000000000001,42.71692861993073,1,40
7,319,-52.26739501953125,-99.01499999999999,46.7476052911104,1,40
8,359,-36.81962966918945,-74.75999999999999,37.940369373645055,1,40
9,399,-73.64083099365234,-108.01,34.36916850390024,1,40
10,439,24.153425216674805,-15.964999999999996,40.11842534907682,1,40
11,479,-132.58885192871094,-174.52,41.93115419817824,1,40
12,519,-76.18113708496094,-118.48500000000001,42.303861412748816,1,40
13,559,15.542046546936035,-19.480000000000004,35.022047039608225,1,40
14,599,-84.15817260742188,-121.695,37.53682491601562,1,40
15,639,-6.802718639373779,-48.349999999999994,41.54728150135193,1,40
16,679,-53.547454833984375,-104.38500000000005,50.83754492089087,1,40
17,719,-110.15652465820312,-156.735,46.578474145135814,1,40
18,759,-128.82144165039062,-164.76,35.938549985815285,1,40
19,799,12.721040725708008,-19.184999999999995,31.90604111772803,1,40
20,839,-2.1508498191833496,-50.26999999999998,48.11915020903551,1,40
21,879,-2.5180716514587402,-51.66999999999999,49.15192740958953,1,40
22,919,-111.10903930664062,-146.27000000000007,35.1609564388553,1,40
23,959,-40.51620101928711,-109.71000000000002,69.19379832534946,1,40
24,999,25.777618408203125,-25.759999999999987,51.53761789486522,1,40
25,1039,21.048152923583984,-20.060000000000002,41.108152462929155,1,40
26,1079,21.697017669677734,-46.185,67.88201807347289,1,40
27,1119,25.683692932128906,-25.21,50.893691394934656,1,40
28,1159,4.1217169761657715,-56.95499999999999,61.076716364229256,1,40
29,1199,-16.75127601623535,-72.68000000000002,55.92872299085991,1,40
30,1239,25.0238037109375,-14.325000000000005,39.34880154919779,1,40
31,1279,38.06110382080078,-17.285000000000004,55.34610205148492,1,40
32,1319,29.964214324951172,-27.485,57.44921213607918,1,40
33,1359,24.2764892578125,-22.26999999999999,46.54648894509245,1,40
34,1399,31.092243194580078,-27.49499999999999,58.58724044169918,1,40
35,1439,-9.038787841796875,-24.919999999999987,15.881211887705376,1,40
36,1479,33.73407745361328,-18.599999999999998,52.33407923988461,1,40
37,1519,4.177685260772705,-22.499999999999996,26.677685417480667,1,40
38,1559,-3.945162773132324,-64.16499999999999,60.219836162955886,1,40
39,1599,29.980457305908203,-27.93499999999999,57.9154568648198,1,40
40,1639,30.743080139160156,-18.47,49.213080327651824,1,40
41,1679,24.609703063964844,-15.845,40.45470372961319,1,40
42,1719,12.622401237487793,-18.744999999999997,31.367401178261918,1,40
43,1759,14.598686218261719,-16.290000000000003,30.888687427620916,1,40
44,1799,25.232872009277344,-17.05,42.282872014792105,1,40
45,1839,28.335206985473633,-20.25999999999999,48.59520824038276,1,40
46,1879,3.6895532608032227,-52.180000000000014,55.86955327299011,1,40
47,1919,16.725427627563477,-17.35,34.07542736026626,1,40
48,1959,29.568330764770508,-18.844999999999995,48.4133296745173,1,40
49,1999,14.23867130279541,-43.26999999999998,57.508670120594914,1,40
50,2039,25.51026725769043,-15.775000000000002,41.28526566397288,1,40
51,2079,6.432042121887207,-20.880000000000003,27.31204130247385,1,40
52,2119,7.497875690460205,-26.82,34.31787501957612,1,40
53,2159,26.97248077392578,-23.31000000000001,50.28248071452704,1,40
54,2199,20.895835876464844,-35.57499999999999,56.470835137677824,1,40
55,2239,10.611387252807617,-22.114999999999995,32.726386798552014,1,40
56,2279,-11.240988731384277,-59.075,47.83401131425927,1,40
57,2319,13.331647872924805,-19.164999999999992,32.4966479165734,1,40
58,2359,5.323599815368652,-20.475000000000005,25.798599344901707,1,40
59,2399,-27.547317504882812,-73.99000000000001,46.442684678473384,1,40
60,2439,-44.73637390136719,-97.88,53.14362714850934,1,40
61,2479,24.351303100585938,-15.495000000000003,39.84630311902205,1,40
62,2519,1.6600528955459595,-21.335,22.995052853671147,1,40
63,2559,4.096362113952637,-44.50000000000002,48.59636239412666,1,40
64,2599,36.52008819580078,-18.24,54.76008425310529,1,40
65,2639,-65.23210906982422,-107.72500000000004,42.49288833055854,1,40
66,2679,-10.135501861572266,-44.280000000000015,34.14449834405019,1,40
67,2719,-16.12883949279785,-47.02500000000002,30.896161578685643,1,40
68,2759,16.295602798461914,-31.214999999999996,47.51060299375129,1,40
69,2799,13.942422866821289,-17.729999999999997,31.672422702562063,1,40
70,2839,5.273354530334473,-37.879999999999995,43.153354915347734,1,40
71,2879,-6.1210784912109375,-40.62000000000002,34.498921003775415,1,40
72,2919,-4.59739875793457,-45.90500000000001,41.307601229509054,1,40
73,2959,-0.11664736270904541,-36.27,36.153352540552575,1,40
74,2999,5.733532428741455,-36.399999999999984,42.13353211851646,1,40
75,3039,3.448462963104248,-36.10000000000001,39.5484628583332,1,40
