,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Success,Episode length
0,39,-63.041893005371094,-111.81500000000003,48.77310883588557,1,40
1,79,-0.6833969354629517,-61.75499999999999,61.071603608802754,1,40
2,119,20.553936004638672,-24.695,45.24893300814648,1,40
3,159,-118.8674087524414,-164.03000000000006,45.16258890261817,1,40
4,199,-160.0604248046875,-201.46500000000003,41.40458800862423,1,40
5,239,17.31508445739746,-32.4,49.71508452856263,1,40
6,279,-141.96194458007812,-186.76999999999995,44.80805003373635,1,40
7,319,-45.17204666137695,-104.70000000000002,59.527956126452395,1,40
8,359,-173.22412109375,-205.91500000000002,32.69088483578428,1,40
9,399,-36.16473388671875,-85.43500000000004,49.27026427164855,1,40
10,439,-59.295928955078125,-123.86999999999999,64.57407110705657,1,40
11,479,28.817092895507812,-31.725,60.54209361291617,1,40
12,519,-81.83120727539062,-134.245,52.41379206233984,1,40
13,559,-150.66836547851562,-193.45000000000002,42.78164542813726,1,40
14,599,-63.89100646972656,-123.965,60.07399364490867,1,40
15,639,-60.34929656982422,-109.85000000000002,49.500704210784015,1,40
16,679,-164.55050659179688,-201.55500000000004,37.00449021684592,1,40
17,719,-131.64248657226562,-170.155,38.5125198607538,1,40
18,759,3.360511302947998,-22.384999999999998,25.745511205157378,1,40
19,799,-59.71965408325195,-83.815,24.095343947551704,1,40
20,839,-148.50070190429688,-181.94499999999988,33.444310556087466,1,40
21,879,-90.61227416992188,-119.01999999999998,28.407720247379384,1,40
22,919,-252.40008544921875,-283.6600000000001,31.25992922837348,1,40
23,959,-131.34820556640625,-166.71000000000004,35.361801489779225,1,40
24,999,-83.12625122070312,-113.50000000000003,30.373749179073094,1,40
25,1039,-124.13831329345703,-152.72499999999997,28.58668487500797,1,40
26,1079,-87.57485961914062,-114.08000000000004,26.50514175035022,1,40
27,1119,-44.06650161743164,-78.35000000000001,34.28349854599827,1,40
28,1159,-102.04072570800781,-130.21499999999997,28.174276575750596,1,40
29,1199,12.479474067687988,-20.540000000000006,33.019473888154494,1,40
