,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Success,Episode length
0,39,-127.12552642822266,-173.10500000000002,45.979475651983364,1,40
1,79,-207.04115295410156,-250.765,43.72385480579386,1,40
2,119,-85.13984680175781,-136.09000000000003,50.95015909677058,1,40
3,159,-149.1641082763672,-192.36500000000004,43.200891109575835,1,40
4,199,-195.01199340820312,-227.47000000000014,32.45799967451765,1,40
5,239,-229.20968627929688,-264.195,34.98531715063066,1,40
6,279,-127.662109375,-169.70499999999998,42.042886338333346,1,40
7,319,-344.2669982910156,-369.06000000000006,24.792993200352967,1,40
8,359,-133.52003479003906,-186.055,52.53496696082334,1,40
9,399,10.77488899230957,-44.339999999999996,55.114889539097256,1,40
10,439,-33.450927734375,-87.415,53.964073641464935,1,40
11,479,-185.72866821289062,-220.50000000000006,34.77132822592499,1,40
12,519,-112.9013900756836,-157.25499999999997,44.353609820640564,1,40
13,559,-169.4754638671875,-211.005,41.52954730623675,1,40
14,599,-150.58807373046875,-192.75500000000002,42.16691786594817,1,40
15,639,-259.71734619140625,-293.43999999999994,33.72265181151005,1,40
16,679,-124.58355712890625,-175.07,50.48643697071562,1,40
17,719,-15.029342651367188,-59.425000000000004,44.39565756789176,1,40
18,759,13.72065544128418,-26.265000000000004,39.9856547671701,1,40
19,799,-107.3627700805664,-136.92499999999998,29.562229162586625,1,40
20,839,20.17111587524414,-22.345,42.51611583103708,1,40
21,879,13.623762130737305,-40.495000000000005,54.11876209011986,1,40
22,919,-0.00564420223236084,-54.609999999999985,54.60435527881788,1,40
23,959,14.52712631225586,-18.460000000000008,32.987127232175766,1,40
24,999,5.749675750732422,-22.044999999999998,27.794676130341962,1,40
25,1039,-8.324014663696289,-24.924999999999994,16.60098537644307,1,40
26,1079,21.264202117919922,-20.83499999999999,42.099203876115524,1,40
27,1119,32.59217834472656,-22.139999999999993,54.73217984419416,1,40
28,1159,21.068801879882812,-23.369999999999997,44.438802020328005,1,40
29,1199,29.137258529663086,-17.225,46.362260068150825,1,40
30,1239,7.547420978546143,-21.664999999999996,29.21242113279194,1,40
31,1279,4.123187065124512,-32.115,36.23818778229174,1,40
32,1319,-6.716854572296143,-50.675,43.9581463187075,1,40
33,1359,18.96089744567871,-44.35500000000001,63.31589780004823,1,40
34,1399,-30.048370361328125,-63.4,33.35162938996746,1,40
35,1439,15.804948806762695,-21.900000000000006,37.70494891131149,1,40
36,1479,-8.414467811584473,-59.65999999999997,51.24553208020518,1,40
37,1519,24.29427146911621,-16.450000000000003,40.744270995880875,1,40
38,1559,23.914321899414062,-31.340000000000003,55.25432315278477,1,40
39,1599,17.126232147216797,-36.25999999999999,53.38623191467367,1,40
40,1639,7.107104778289795,-19.73,26.83710562021382,1,40
41,1679,16.324939727783203,-22.869999999999997,39.19493925065644,1,40
42,1719,-4.71393346786499,-39.574999999999996,34.86106622947884,1,40
43,1759,2.2770092487335205,-34.410000000000004,36.68700941934394,1,40
44,1799,17.958206176757812,-17.319999999999993,35.27820465614554,1,40
45,1839,11.133769035339355,-23.384999999999994,34.518768922686604,1,40
46,1879,-9.489792823791504,-48.965,39.47520692146084,1,40
47,1919,-55.55849838256836,-89.13000000000001,33.57150236379163,1,40
48,1959,-20.562183380126953,-80.12500000000003,59.56281610890893,1,40
49,1999,8.663738250732422,-38.44499999999999,47.108738642976704,1,40
50,2039,26.903091430664062,-18.909999999999997,45.813092606564865,1,40
51,2079,-10.5449857711792,-61.805000000000014,51.260015530801276,1,40
52,2119,22.476078033447266,-27.63500000000001,50.1110787885023,1,40
53,2159,15.089437484741211,-16.255,31.34443710461379,1,40
54,2199,-17.975894927978516,-73.9,55.92410614355239,1,40
55,2239,-10.729562759399414,-55.34999999999999,44.62043751370143,1,40
56,2279,36.35419464111328,-7.779999999999999,44.1341963553426,1,40
57,2319,14.592695236206055,-15.620000000000001,30.21269651288696,1,40
58,2359,20.0734920501709,-21.229999999999997,41.30349221740522,1,40
59,2399,8.04637336730957,-38.82,46.86637380720532,1,40
60,2439,25.975067138671875,-12.53,38.50506701539137,1,40
61,2479,-1.5289366245269775,-22.989999999999995,21.46106325636427,1,40
62,2519,7.365069389343262,-20.240000000000002,27.60506924789489,1,40
63,2559,-32.3587532043457,-67.65499999999999,35.29624735782511,1,40
64,2599,32.05482482910156,-9.395000000000001,41.449825780307094,1,40
65,2639,12.854364395141602,-20.839999999999993,33.694365366924096,1,40
66,2679,-15.458677291870117,-60.135000000000005,44.67632414621197,1,40
67,2719,-24.343158721923828,-68.02000000000002,43.67684106949325,1,40
68,2759,-7.26271915435791,-54.98500000000001,47.722281830750916,1,40
69,2799,28.898109436035156,-15.475000000000003,44.37310922184983,1,40
70,2839,7.058189392089844,-39.54499999999998,46.60318954308758,1,40
71,2879,24.998538970947266,-17.194999999999997,42.193539611439206,1,40
72,2919,24.02996826171875,-11.945000000000002,35.97496857491174,1,40
73,2959,13.948719024658203,-25.49,39.43871858474873,1,40
74,2999,16.273115158081055,-15.425000000000002,31.698113429526394,1,40
75,3039,-57.224273681640625,-98.03,40.80572858317652,1,40
76,3079,-3.415198564529419,-45.740000000000016,42.3248012122236,1,40
77,3119,-29.022315979003906,-65.07,36.047683233591904,1,40
78,3159,11.113241195678711,-17.425,28.538240916800525,1,40
79,3199,10.528968811035156,-42.3,52.82896757985566,1,40
80,3239,31.498586654663086,-11.899999999999997,43.39858728699019,1,40
81,3279,22.147594451904297,-12.240000000000002,34.387594491093694,1,40
82,3319,-42.52752685546875,-85.18500000000002,42.657474203075815,1,40
83,3359,20.564170837402344,-17.189999999999998,37.7541701577604,1,40
84,3399,11.01386833190918,-16.735000000000003,27.748868663339714,1,40
85,3439,8.122159957885742,-24.039999999999996,32.16215856602909,1,40
86,3479,15.58110523223877,-31.799999999999994,47.38110466079183,1,40
87,3519,-60.49922180175781,-100.66499999999999,40.165782004546976,1,40
88,3559,14.817808151245117,-15.555000000000001,30.372808868332577,1,40
89,3599,13.749074935913086,-20.065,33.81407569329731,1,40
90,3639,20.919742584228516,-13.954999999999995,34.87474183979928,1,40
91,3679,21.824644088745117,-23.225,45.04964387084672,1,40
92,3719,-40.535179138183594,-75.80000000000003,35.26482117636285,1,40
93,3759,15.560882568359375,-29.16,44.72088284344263,1,40
94,3799,23.047748565673828,-14.149999999999999,37.19775090141029,1,40
95,3839,17.995027542114258,-19.619999999999997,37.61502795389743,1,40
96,3879,10.216423988342285,-17.384999999999998,27.601423743471585,1,40
97,3919,23.77265167236328,-14.26,38.032651940548774,1,40
98,3959,-19.68930435180664,-71.70499999999998,52.0156941796227,1,40
99,3999,-24.03069305419922,-74.00000000000003,49.96930553319521,1,40
100,4039,3.8367552757263184,-18.169999999999998,22.00675527010525,1,40
101,4079,25.63975715637207,-17.284999999999997,42.924756953500975,1,40
102,4119,9.148944854736328,-15.78,24.92894501668177,1,40
103,4159,16.525001525878906,-11.485,28.01000186605428,1,40
104,4199,-14.338293075561523,-61.779999999999994,47.44170648298119,1,40
105,4239,-13.535622596740723,-61.999999999999986,48.46437718602844,1,40
106,4279,27.926137924194336,-8.985,36.911136681940455,1,40
107,4319,15.421575546264648,-20.36,35.7815762891975,1,40
108,4359,-26.910593032836914,-77.85499999999998,50.944405899933685,1,40
109,4399,-0.6628362536430359,-35.495000000000026,34.83216432673497,1,40
110,4439,17.406898498535156,-14.659999999999995,32.06689776439887,1,40
111,4479,11.401254653930664,-15.799999999999994,27.20125513358158,1,40
112,4519,-14.561088562011719,-54.5,39.93891147426248,1,40
113,4559,-0.16070151329040527,-40.970000000000006,40.809298588500326,1,40
114,4599,-16.182720184326172,-56.12999999999999,39.947280310879094,1,40
115,4639,21.483455657958984,-9.829999999999998,31.313457730055827,1,40
116,4679,27.729690551757812,-11.704999999999998,39.434689656595985,1,40
117,4719,15.65395450592041,-13.864999999999998,29.518954551530534,1,40
118,4759,1.4702491760253906,-47.090000000000025,48.56025027885376,1,40
119,4799,-95.32119750976562,-143.45,48.12879792394082,1,40
120,4839,17.759016036987305,-12.624999999999995,30.38401541640071,1,40
121,4879,19.926651000976562,-11.15,31.076650011457488,1,40
122,4919,11.831911087036133,-13.654999999999998,25.486910304705397,1,40
123,4959,11.514989852905273,-13.75,25.26498918441027,1,40
124,4999,-9.753833770751953,-47.90999999999999,38.156166741977934,1,40
125,5039,-47.518470764160156,-96.10000000000005,48.58152493889442,1,40
126,5079,-82.92585754394531,-128.215,45.28914652759674,1,40
127,5119,14.51819896697998,-12.584999999999997,27.103198040635398,1,40
128,5159,5.647369384765625,-38.21500000000002,43.86236920866929,1,40
129,5199,-27.3638916015625,-69.28000000000002,41.91610852161246,1,40
130,5239,20.056413650512695,-12.420000000000003,32.47641299100155,1,40
131,5279,25.194324493408203,-10.25,35.444322533025975,1,40
132,5319,21.10854721069336,-10.36,31.46854870921834,1,40
133,5359,25.413423538208008,-10.295000000000002,35.708422936760186,1,40
134,5399,16.498493194580078,-23.109999999999992,39.60849288491781,1,40
135,5439,-0.7483189702033997,-43.1,42.35168043591771,1,40
136,5479,20.554235458374023,-10.03,30.584237129546914,1,40
137,5519,17.530353546142578,-19.04,36.570354492275996,1,40
138,5559,-25.23021697998047,-58.355,33.1247816482572,1,40
139,5599,14.940256118774414,-14.024999999999999,28.965256491166294,1,40
140,5639,25.44180679321289,-12.589999999999998,38.031805760093924,1,40
141,5679,14.535928726196289,-21.734999999999996,36.27092882741971,1,40
142,5719,27.458965301513672,-8.129999999999999,35.58896461112817,1,40
143,5759,-63.53070831298828,-92.67,29.13929296096091,1,40
144,5799,13.967873573303223,-20.255,34.22287448169177,1,40
145,5839,23.88591766357422,-7.719999999999998,31.605918505022178,1,40
146,5879,18.959959030151367,-9.83,28.789959580564364,1,40
147,5919,10.115615844726562,-33.32000000000001,43.435616492590356,1,40
148,5959,-10.836690902709961,-52.91500000000004,42.07830858321971,1,40
149,5999,0.15937185287475586,-36.955,37.11437188581746,1,40
150,6039,20.903038024902344,-18.865000000000002,39.768037986894704,1,40
151,6079,17.909923553466797,-10.884999999999998,28.794923282931826,1,40
152,6119,13.256621360778809,-27.385000000000005,40.64162108790619,1,40
153,6159,-20.507789611816406,-61.625,41.11720978176075,1,40
154,6199,19.528352737426758,-18.154999999999994,37.6833524984498,1,40
155,6239,-14.9927978515625,-55.58999999999999,40.59720312619268,1,40
156,6279,-2.47758412361145,-42.11499999999999,39.63741579669149,1,40
157,6319,-15.444210052490234,-49.66999999999997,34.22579111121352,1,40
158,6359,21.468029022216797,-14.44,35.908026637694334,1,40
159,6399,-29.40911865234375,-69.69500000000002,40.28588146491963,1,40
160,6439,-21.492496490478516,-57.88999999999999,36.397504647453765,1,40
161,6479,6.175263404846191,-32.5,38.67526365097679,1,40
162,6519,21.193286895751953,-9.809999999999999,31.003287937420623,1,40
163,6559,12.65580940246582,-10.23,22.885808995891974,1,40
164,6599,1.971211314201355,-26.985,28.95621153950132,1,40
165,6639,-14.526765823364258,-44.98000000000002,30.453234577124338,1,40
166,6679,-14.680225372314453,-47.78999999999998,33.109774325176886,1,40
167,6719,20.55835723876953,-9.12,29.678357194394216,1,40
168,6759,-4.031770706176758,-39.055,35.02322923617558,1,40
169,6799,-19.67986488342285,-57.335,37.65513645465244,1,40
170,6839,13.305828094482422,-10.924999999999999,24.2308291814682,1,40
171,6879,13.34034538269043,-12.875,26.21534468264872,1,40
172,6919,-27.49078941345215,-57.41499999999997,29.924211611219384,1,40
173,6959,-22.065353393554688,-57.66,35.594647365265935,1,40
174,6999,-20.317880630493164,-55.614999999999995,35.29711960739856,1,40
175,7039,-24.313331604003906,-53.95499999999999,29.641668571265853,1,40
176,7079,14.272951126098633,-12.119999999999997,26.392951113661205,1,40
177,7119,17.82408332824707,-19.050000000000008,36.874082847967266,1,40
178,7159,21.501998901367188,-13.305000000000001,34.80699777857585,1,40
179,7199,23.410449981689453,-11.349999999999994,34.7604486766118,1,40
180,7239,-8.287932395935059,-39.754999999999995,31.467068339531416,1,40
181,7279,-25.335237503051758,-66.61499999999997,41.279762281365834,1,40
182,7319,17.357433319091797,-17.759999999999994,35.117435464197214,1,40
183,7359,-9.400850296020508,-45.19,35.789149233733596,1,40
184,7399,9.615062713623047,-28.38,37.99506252386314,1,40
185,7439,-22.445890426635742,-61.120000000000005,38.674109484384175,1,40
186,7479,13.06946086883545,-23.615,36.684460596345694,1,40
187,7519,-35.902862548828125,-73.445,37.54213565674102,1,40
188,7559,15.599377632141113,-13.084999999999999,28.684378052326053,1,40
189,7599,14.904842376708984,-18.500000000000004,33.404842178544264,1,40
190,7639,-17.48683738708496,-54.34499999999999,36.858163918084166,1,40
191,7679,-1.3377485275268555,-36.695,35.357251378881315,1,40
192,7719,-8.041756629943848,-39.21,31.16824353202817,1,40
193,7759,-36.94010543823242,-63.39999999999997,26.45989266214255,1,40
194,7799,-21.458311080932617,-58.94499999999999,37.48668939383173,1,40
195,7839,-72.27420043945312,-112.90500000000002,40.63079926096299,1,40
196,7879,-38.564552307128906,-72.15999999999998,33.59544789438472,1,40
197,7919,-53.855873107910156,-95.47500000000002,41.61912568907202,1,40
198,7959,15.748311996459961,-10.959999999999996,26.70831188759749,1,40
199,7999,-11.23576545715332,-42.845000000000006,31.60923507050085,1,40
200,8039,17.961017608642578,-11.305000000000001,29.266016880469586,1,40
201,8079,-9.957932472229004,-47.224999999999994,37.267067187181596,1,40
202,8119,6.340385437011719,-25.49,31.830385947081872,1,40
203,8159,21.869895935058594,-8.774999999999999,30.644896870778467,1,40
204,8199,12.17013931274414,-10.834999999999997,23.005139735673595,1,40
205,8239,18.7462215423584,-10.979999999999997,29.726222061167057,1,40
206,8279,-60.53556442260742,-96.35,35.81443784127536,1,40
207,8319,20.106325149536133,-10.459999999999997,30.566326447813477,1,40
208,8359,12.32247543334961,-15.349999999999994,27.672474118963244,1,40
209,8399,-25.75722885131836,-60.785000000000004,35.027772195228394,1,40
210,8439,22.560083389282227,-8.484999999999996,31.04508455124543,1,40
211,8479,7.126755714416504,-19.584999999999994,26.711755538269355,1,40
212,8519,-39.987850189208984,-77.92500000000001,37.93714976066796,1,40
213,8559,21.349536895751953,-11.55,32.89953698903982,1,40
214,8599,17.906978607177734,-13.735,31.641976595828606,1,40
215,8639,-32.877601623535156,-63.17500000000001,30.297399325186475,1,40
216,8679,17.221271514892578,-12.619999999999997,29.84127016764453,1,40
217,8719,8.666614532470703,-12.05,20.716614213975916,1,40
218,8759,8.068184852600098,-24.004999999999992,32.07318477997526,1,40
219,8799,2.093637228012085,-35.5,37.59363682309794,1,40
220,8839,17.447998046875,-13.370000000000001,30.817998181929855,1,40
221,8879,-57.7658805847168,-83.92000000000003,26.15411948634931,1,40
222,8919,-36.92158126831055,-77.63999999999999,40.718420787845986,1,40
223,8959,-22.777313232421875,-50.235000000000014,27.45768790652766,1,40
224,8999,15.82046127319336,-11.555,27.375461799755772,1,40
225,9039,-69.693603515625,-105.03000000000002,35.336402766664165,1,40
