,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Episode intrinsic return 2,Success,Episode length
0,49,66.25,-40.74560000000001,10.699560403823853,0.0,1,50
1,99,-22.461284637451172,-203.50719999999993,18.104591727256775,0.0,1,50
2,149,40.48162841796875,-46.31359999999998,8.679522693157196,0.0,1,50
3,199,174.6263427734375,-19.737600000000004,19.436393409967422,0.0,1,50
4,249,-234.77496337890625,-243.4751999999999,0.8700264692306519,0.0,1,50
5,299,91.90045928955078,-59.99039999999999,15.189085870981216,0.0,1,50
6,349,13.03232192993164,-166.96639999999994,17.999872237443924,0.0,1,50
7,399,49.008872985839844,-53.12959999999998,10.213847696781158,0.0,1,50
8,449,-48.76311111450195,-184.21760000000003,13.545448511838913,0.0,1,50
9,499,87.07862091064453,-56.35839999999998,14.34370157122612,0.0,1,50
10,549,81.39884185791016,-54.60159999999999,13.600043684244156,0.0,1,50
11,599,115.32501220703125,-74.22719999999997,18.955219984054565,0.0,1,50
12,649,46.72871017456055,-107.89760000000004,15.462630718946457,0.0,1,50
13,699,-39.976924896240234,-112.78399999999993,7.280707150697708,0.0,1,50
14,749,-6.2349700927734375,-148.1472,14.191222965717316,0.0,1,50
15,799,14.76539421081543,-169.60320000000002,18.43685957789421,0.0,1,50
16,849,32.414329528808594,-26.44480000000002,5.885912835597992,0.0,1,50
17,899,57.70024871826172,-52.553599999999996,11.02538476884365,0.0,1,50
18,949,93.33354187011719,-105.30559999999996,19.863913893699646,0.0,1,50
19,999,105.57228088378906,-24.9344,13.050667613744736,0.0,1,50
20,1049,75.84332275390625,-117.30879999999999,19.315212726593018,0.0,1,50
21,1099,33.4655876159668,-145.43999999999997,17.89055836200714,0.0,1,50
22,1149,8.361371994018555,-180.37119999999987,18.873257219791412,0.0,1,50
23,1199,118.54882049560547,-64.5888,18.31376141309738,0.0,1,50
24,1249,148.29637145996094,-27.61600000000001,17.5912384390831,0.0,1,50
25,1299,-61.64170837402344,-206.84479999999996,14.520309120416641,0.0,1,50
26,1349,4.342804431915283,-153.92319999999992,15.826600402593613,0.0,1,50
27,1399,92.19843292236328,-26.009600000000002,11.82080253958702,0.0,1,50
28,1449,-105.82858276367188,-196.26879999999989,9.044022023677826,0.0,1,50
29,1499,-61.154022216796875,-218.35200000000006,15.719797760248184,0.0,1,50
30,1549,-7.758803367614746,-191.15519999999995,18.3396398127079,0.0,1,50
31,1599,100.17118072509766,-19.075200000000006,11.924638211727142,0.0,1,50
32,1649,17.60614013671875,-166.384,18.39901402592659,0.0,1,50
33,1699,20.362478256225586,-119.7856,14.014808028936386,0.0,1,50
34,1749,40.30085372924805,-97.4656,13.776645690202713,0.0,1,50
35,1799,140.6009521484375,-26.704000000000008,16.730495870113373,0.0,1,50
36,1849,78.73725891113281,-84.2112,16.294846177101135,0.0,1,50
37,1899,38.102474212646484,-131.4208,16.95232728123665,0.0,1,50
38,1949,10.103927612304688,-172.31039999999996,18.241432636976242,0.0,1,50
39,1999,14.929726600646973,-150.46399999999997,16.539372712373734,0.0,1,50
40,2049,95.63694763183594,-44.5184,14.01553463935852,0.0,1,50
41,2099,55.74064636230469,-121.15199999999994,17.68926501274109,0.0,1,50
42,2149,69.9940185546875,-83.03359999999999,15.30276146531105,0.0,1,50
43,2199,18.21417236328125,-137.1136,15.532777428627014,0.0,1,50
44,2249,52.02940368652344,-84.7136,13.674300163984299,0.0,1,50
45,2299,92.87063598632812,-49.324799999999996,14.219543844461441,0.0,1,50
46,2349,146.25430297851562,-22.15040000000001,16.84047245979309,0.0,1,50
47,2399,-17.33159065246582,-119.46560000000002,10.213401108980179,0.0,1,50
48,2449,140.35287475585938,-14.793600000000007,15.514648213982582,0.0,1,50
49,2499,53.56670379638672,-123.1552,17.672190338373184,0.0,1,50
50,2549,91.0191650390625,-74.02879999999999,16.50479619204998,0.0,1,50
51,2599,43.195526123046875,-87.52959999999997,13.072512835264206,0.0,1,50
52,2649,144.61558532714844,-29.356799999999993,17.397237941622734,0.0,1,50
53,2699,37.19380569458008,-131.8592,16.905300676822662,0.0,1,50
54,2749,127.92076110839844,-33.82720000000002,16.174796372652054,0.0,1,50
55,2799,-10.353413581848145,-189.47199999999998,17.911858677864075,0.0,1,50
56,2849,59.74356460571289,-109.0112,16.875476151704788,0.0,1,50
57,2899,-8.371252059936523,-157.1744,14.880314767360687,0.0,1,50
58,2949,52.137718200683594,-91.04960000000001,14.318731963634491,0.0,1,50
59,2999,72.60458374023438,-95.51039999999998,16.811498567461967,0.0,1,50
60,3049,94.56019592285156,-19.30240000000002,11.386259838938713,0.0,1,50
61,3099,42.93103790283203,-112.34559999999999,15.527663379907608,0.0,1,50
62,3149,82.2871322631836,-61.03360000000001,14.33207269012928,0.0,1,50
63,3199,129.07366943359375,-21.30880000000001,15.03824733197689,0.0,1,50
64,3249,139.9300994873047,-17.184000000000008,15.711411818861961,0.0,1,50
65,3299,53.857276916503906,-112.79359999999998,16.665087461471558,0.0,1,50
66,3349,96.33094787597656,-67.82720000000003,16.415814697742462,0.0,1,50
67,3399,70.15130615234375,-82.16319999999997,15.23145042359829,0.0,1,50
68,3449,29.71653175354004,-120.9504,15.066693216562271,0.0,1,50
69,3499,131.6583251953125,-25.798400000000004,15.74567274749279,0.0,1,50
70,3549,-5.669569969177246,-174.7231999999999,16.90536269545555,0.0,1,50
71,3599,15.28409194946289,-153.90079999999992,16.918489187955856,0.0,1,50
72,3649,107.68710327148438,-57.95199999999998,16.563911080360413,0.0,1,50
73,3699,72.64810180664062,-63.53599999999999,13.618410885334015,0.0,1,50
74,3749,129.1787109375,-12.36800000000001,14.154670268297195,0.0,1,50
75,3799,55.5709342956543,-99.0944,15.466533556580544,0.0,1,50
76,3849,32.60050964355469,-114.93759999999997,14.75381088256836,0.0,1,50
77,3899,49.479007720947266,-99.33759999999998,14.881660789251328,0.0,1,50
78,3949,18.865991592407227,-138.448,15.731399118900299,0.0,1,50
79,3999,-63.97193908691406,-216.72000000000003,15.274805337190628,0.0,1,50
80,4049,127.78440856933594,-31.590399999999992,15.937481313943863,0.0,1,50
81,4099,120.00773620605469,-32.83519999999999,15.284293726086617,0.0,1,50
82,4149,112.09557342529297,-45.79199999999998,15.788756906986237,0.0,1,50
83,4199,71.97535705566406,-75.32480000000002,14.730015695095062,0.0,1,50
84,4249,122.63462829589844,-17.987200000000016,14.062183007597923,0.0,1,50
85,4299,19.046405792236328,-133.3984,15.244480669498444,0.0,1,50
86,4349,127.36473846435547,-34.72319999999998,16.20879402756691,0.0,1,50
87,4399,41.8040657043457,-105.28000000000003,14.708406552672386,0.0,1,50
88,4449,64.16668701171875,-71.22559999999999,13.539229050278664,0.0,1,50
89,4499,141.84158325195312,-17.2576,15.909918129444122,0.0,1,50
90,4549,35.51905059814453,-112.4928,14.801185443997383,0.0,1,50
91,4599,-3.4480905532836914,-145.10399999999996,14.16559113562107,0.0,1,50
92,4649,-18.899625778198242,-168.6208,14.972117304801941,0.0,1,50
93,4699,134.3666229248047,-14.73920000000001,14.91058149933815,0.0,1,50
94,4749,19.176496505737305,-120.18559999999998,13.936209604144096,0.0,1,50
95,4799,57.95115661621094,-90.91520000000001,14.88663586974144,0.0,1,50
96,4849,-22.555343627929688,-165.93599999999998,14.338065534830093,0.0,1,50
97,4899,19.215974807739258,-115.18079999999998,13.439677476882935,0.0,1,50
98,4949,-183.0756378173828,-271.0144,8.793876260519028,0.0,1,50
99,4999,12.050444602966309,-139.10400000000007,15.115444377064705,0.0,1,50
100,5049,83.77116394042969,-69.84639999999997,15.361756443977356,0.0,1,50
