,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Episode intrinsic return 2,Success,Episode length
0,39,-31.921619415283203,-101.52500000000002,6.963258981704712,0.0,1,40
1,79,0.429013729095459,-88.69000000000007,8.915642201900482,0.0,1,40
2,119,-92.1141357421875,-196.72000000000014,10.464977502822876,0.0,1,40
3,159,120.34663391113281,-16.790000000000003,13.719422161579132,0.0,1,40
4,199,95.36676025390625,-11.739999999999998,10.715175032615662,0.0,1,40
5,239,-12.37370491027832,-96.51000000000005,8.417164295911789,0.0,1,40
6,279,31.29803466796875,-160.05499999999992,19.143344223499298,0.0,1,40
7,319,119.60436248779297,-4.515,12.41715282201767,0.0,1,40
8,359,-202.85064697265625,-291.26499999999993,8.8451509475708,0.0,1,40
9,399,89.87425231933594,-14.825000000000005,10.474327862262726,0.0,1,40
10,439,42.426361083984375,-72.045,11.451950550079346,0.0,1,40
11,479,45.69931411743164,-12.625,5.834884941577911,0.0,1,40
12,519,41.057640075683594,-63.705000000000005,10.480672001838684,0.0,1,40
13,559,-66.00054931640625,-133.27999999999997,6.730776637792587,0.0,1,40
14,599,-11.940347671508789,-61.80500000000001,4.98856383562088,0.0,1,40
15,639,-10.636314392089844,-87.77499999999998,7.717116296291351,0.0,1,40
16,679,-16.425708770751953,-113.26499999999997,9.688007175922394,0.0,1,40
17,719,82.30537414550781,-31.250000000000004,11.360320389270782,0.0,1,40
18,759,-78.72431945800781,-209.1800000000001,13.051064491271973,0.0,1,40
19,799,-29.30384063720703,-221.4099999999999,19.218710839748383,0.0,1,40
20,839,51.42557144165039,-58.65000000000001,11.01219630241394,0.0,1,40
21,879,111.55429077148438,-50.45500000000001,16.207759261131287,0.0,1,40
22,919,81.99276733398438,-116.11500000000002,19.819129049777985,0.0,1,40
23,959,-135.41610717773438,-208.26500000000013,7.287961661815643,0.0,1,40
24,999,7.221820831298828,-222.21000000000004,22.952860116958618,0.0,1,40
25,1039,-107.32501220703125,-196.9400000000001,8.965280055999756,0.0,1,40
26,1079,99.52156066894531,-125.335,22.4951451420784,0.0,1,40
