,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Episode intrinsic return 2,Success,Episode length
0,39,-10.330811500549316,-47.344999999999985,3.701418787240982,0.0,1,40
1,79,-166.36807250976562,-195.63999999999987,2.927192270755768,0.0,1,40
2,119,13.602161407470703,-36.14000000000001,4.974216133356094,0.0,1,40
3,159,-75.1735610961914,-127.91000000000005,5.273644208908081,0.0,1,40
4,199,18.469701766967773,-19.100000000000005,3.756970226764679,0.0,1,40
5,239,-207.78521728515625,-251.00000000000009,4.321476340293884,0.0,1,40
6,279,-139.5626220703125,-197.29,5.772737890481949,0.0,1,40
7,319,-134.93206787109375,-186.31500000000005,5.138293474912643,0.0,1,40
8,359,-69.43114471435547,-129.33499999999998,5.990385562181473,0.0,1,40
9,399,-77.8730239868164,-125.97999999999996,4.810697585344315,0.0,1,40
10,439,-12.03628921508789,-27.485,1.5448710918426514,0.0,1,40
11,479,-211.01333618164062,-253.64999999999995,4.263664484024048,0.0,1,40
12,519,-5.908760070800781,-64.35,5.8441241681575775,0.0,1,40
13,559,-130.6029052734375,-172.34,4.173709690570831,0.0,1,40
14,599,-104.34526824951172,-144.32999999999993,3.99847312271595,0.0,1,40
15,639,7.465305328369141,-16.389999999999993,2.385530412197113,0.0,1,40
16,679,-197.93438720703125,-209.52500000000012,1.1590619087219238,0.0,1,40
17,719,-56.62835693359375,-98.185,4.1556642055511475,0.0,1,40
18,759,14.302370071411133,-8.929999999999996,2.323236882686615,0.0,1,40
19,799,-42.9172248840332,-67.48,2.4562775939702988,0.0,1,40
20,839,-39.20055389404297,-121.405,8.22044426202774,0.0,1,40
21,879,-47.224937438964844,-113.47000000000001,6.624506711959839,0.0,1,40
22,919,-31.300262451171875,-65.915,3.461473971605301,0.0,1,40
23,959,-6.9005126953125,-89.82000000000002,8.29194863140583,0.0,1,40
24,999,-78.208251953125,-173.85999999999999,9.565175160765648,0.0,1,40
25,1039,-120.37821197509766,-210.37499999999994,8.999678984284401,0.0,1,40
26,1079,43.005157470703125,-29.490000000000006,7.2495158314704895,0.0,1,40
27,1119,-116.27995300292969,-169.60000000000005,5.332004755735397,0.0,1,40
28,1159,-130.65708923339844,-198.8000000000001,6.814291432499886,0.0,1,40
29,1199,-123.4917221069336,-210.94499999999996,8.745327532291412,0.0,1,40
30,1239,-33.128639221191406,-135.425,10.229635894298553,0.0,1,40
31,1279,-9.007801055908203,-97.68999999999998,8.868219807744026,0.0,1,40
32,1319,78.83020782470703,-17.795,9.662520915269852,0.0,1,40
33,1359,72.87635803222656,-51.900000000000006,12.477636203169823,0.0,1,40
34,1399,1.1420221328735352,-123.17999999999998,12.432202354073524,0.0,1,40
35,1439,98.61835479736328,-35.455000000000005,13.407335624098778,0.0,1,40
36,1479,88.30243682861328,-50.175000000000004,13.847744092345238,0.0,1,40
37,1519,71.92292785644531,-15.044999999999996,8.696792051196098,0.0,1,40
38,1559,67.96493530273438,-66.61500000000001,13.457993745803833,0.0,1,40
39,1599,65.00935363769531,-19.654999999999998,8.466435194015503,0.0,1,40
40,1639,-93.80585479736328,-166.92000000000007,7.311414569616318,0.0,1,40
41,1679,55.48606872558594,-11.405,6.689106896519661,0.0,1,40
42,1719,-108.2035140991211,-179.55,7.134649038314819,0.0,1,40
43,1759,-166.39968872070312,-199.95000000000007,3.3550310730934143,0.0,1,40
44,1799,-104.59770965576172,-176.18000000000006,7.158229291439056,0.0,1,40
45,1839,-26.111766815185547,-103.76499999999999,7.765323266386986,0.0,1,40
46,1879,79.8539810180664,-19.545,9.939898550510406,0.0,1,40
47,1919,-149.26226806640625,-191.46500000000003,4.220273748040199,0.0,1,40
48,1959,63.0927734375,-39.215,10.230777218937874,0.0,1,40
49,1999,25.510211944580078,-115.68000000000002,14.11902129650116,0.0,1,40
50,2039,-0.5039849281311035,-103.085,10.258101493120193,0.0,1,40
51,2079,-110.45600891113281,-185.66500000000005,7.520899176597595,0.0,1,40
52,2119,63.003421783447266,-56.01,11.901342242956161,0.0,1,40
53,2159,-194.75531005859375,-215.30500000000012,2.054969146847725,0.0,1,40
54,2199,84.56431579589844,-47.320000000000014,13.188430979847908,0.0,1,40
55,2239,-1.4536666870117188,-69.50999999999999,6.805633410811424,0.0,1,40
56,2279,78.9564208984375,-33.55,11.25064155459404,0.0,1,40
57,2319,-117.4705810546875,-159.56500000000003,4.2094417065382,0.0,1,40
58,2359,-91.88571166992188,-173.41000000000003,8.152428731322289,0.0,1,40
59,2399,48.37805938720703,-16.544999999999998,6.492305636405945,0.0,1,40
60,2439,-60.59748077392578,-163.80499999999998,10.320752069354057,0.0,1,40
61,2479,-26.464088439941406,-156.36,12.989591017365456,0.0,1,40
62,2519,63.592567443847656,-51.22000000000001,11.481256902217865,0.0,1,40
63,2559,36.70133590698242,-64.14,10.08413377404213,0.0,1,40
64,2599,-32.464107513427734,-104.92,7.2455893605947495,0.0,1,40
65,2639,-69.46076965332031,-124.88000000000001,5.541924133896828,0.0,1,40
