,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Episode intrinsic return 2,Success,Episode length
0,49,-205.1071319580078,-226.32639999999984,2.1219259798526764,0.0,1,50
1,99,-87.22721862792969,-166.50879999999995,7.928158536553383,0.0,1,50
2,149,-307.4953308105469,-381.6511999999999,7.415589407086372,0.0,1,50
3,199,-342.5893859863281,-383.6287999999998,4.103941798210144,0.0,1,50
4,249,-104.69898986816406,-148.0992,4.340020537376404,0.0,1,50
5,299,-189.81959533691406,-222.3743999999999,3.2554811835289,0.0,1,50
6,349,-153.25865173339844,-231.3024000000001,7.804376110434532,0.0,1,50
7,399,-214.9814910888672,-229.35679999999982,1.4375315010547638,0.0,1,50
8,449,-405.1158752441406,-448.8352000000001,4.371931806206703,0.0,1,50
9,499,19.31201171875,-66.32319999999999,8.563521161675453,0.0,1,50
10,549,10.798030853271484,-95.70559999999998,10.65036304295063,0.0,1,50
11,599,-134.9049835205078,-201.0112,6.61062128841877,0.0,1,50
12,649,-34.29182052612305,-119.84639999999996,8.555457964539528,0.0,1,50
13,699,-2.9876062870025635,-42.060799999999986,3.90731942653656,0.0,1,50
14,749,-95.3376693725586,-172.60160000000005,7.726392850279808,0.0,1,50
15,799,-111.55768585205078,-176.13120000000018,6.457351639866829,0.0,1,50
16,849,-52.99997329711914,-90.93759999999999,3.79376283288002,0.0,1,50
17,899,-148.228759765625,-186.82240000000004,3.8593632876873016,0.0,1,50
18,949,-7.963879585266113,-68.3744,6.041052088141441,0.0,1,50
19,999,-3.8844006061553955,-72.44479999999996,6.856039807200432,0.0,1,50
20,1049,-3.219280958175659,-127.30880000000002,12.408951863646507,0.0,1,50
21,1099,15.449707984924316,-29.750400000000003,4.520010709762573,0.0,1,50
22,1149,81.90592956542969,-61.75359999999997,14.365952894091606,0.0,1,50
23,1199,25.34958267211914,-26.84480000000001,5.219438552856445,0.0,1,50
24,1249,52.716617584228516,-23.14880000000001,7.586542323231697,0.0,1,50
25,1299,86.23036193847656,-41.74079999999998,12.797115549445152,0.0,1,50
26,1349,99.8749771118164,-61.62559999999995,16.150057464838028,0.0,1,50
27,1399,42.85519790649414,-39.545599999999986,8.240079790353775,0.0,1,50
28,1449,36.55488967895508,-24.70720000000001,6.126209542155266,0.0,1,50
29,1499,93.34741973876953,-83.1648,17.651221945881844,0.0,1,50
30,1549,91.00521850585938,-68.55039999999997,15.955561593174934,0.0,1,50
31,1599,66.89588165283203,-87.3216,15.421748042106628,0.0,1,50
32,1649,56.801719665527344,-89.35040000000001,14.61521202325821,0.0,1,50
33,1699,85.6591796875,-75.3952,16.1054365336895,0.0,1,50
34,1749,98.25845336914062,-24.0768,12.23352675139904,0.0,1,50
