,Generated_Message,Perfect_Message
0,[],[]
1,"['Prey', 'Center']","['Prey', 'Center']"
2,"['Prey', 'Center']","['Prey', 'Center']"
3,"['Prey', 'Center']","['Prey', 'Center']"
4,"['Prey', 'North']","['Prey', 'North']"
5,[],[]
6,[],[]
7,"['Prey', 'North']","['Prey', 'North']"
8,[],[]
9,[],[]
10,[],[]
11,"['Prey', 'Center']","['Prey', 'Center']"
12,"['Prey', 'Center', 'Prey', 'South']","['Prey', 'East', 'Prey', 'South', 'West']"
13,"['Prey', 'South', 'West']","['Prey', 'South', 'West']"
14,[],[]
15,[],[]
16,[],[]
17,[],[]
18,[],[]
19,[],[]
20,"['Prey', 'South']","['Prey', 'South']"
21,[],[]
22,"['Prey', 'South']","['Prey', 'South']"
23,[],[]
24,"['Prey', 'North', 'West', 'Prey', 'North']","['Prey', 'North', 'West', 'Prey', 'North']"
25,[],[]
26,[],[]
27,[],[]
28,"['Prey', 'West', 'Prey', 'South']","['Prey', 'West', 'Prey', 'South', 'West']"
29,[],[]
30,[],[]
31,[],[]
32,[],[]
33,"['Prey', 'West']","['Prey', 'West']"
34,[],[]
35,[],[]
36,[],[]
37,[],[]
38,"['Prey', 'North']","['Prey', 'North']"
39,[],[]
40,"['Prey', 'South']","['Prey', 'South']"
41,"['Prey', 'North', 'East']","['Prey', 'North', 'East']"
42,[],[]
43,"['Prey', 'South']","['Prey', 'South']"
44,"['Prey', 'South', 'West', 'Prey', 'South']","['Prey', 'Center', 'Prey', 'South', 'West']"
45,[],[]
46,[],[]
47,[],[]
48,"['Prey', 'North']","['Prey', 'North']"
49,[],[]
50,[],[]
51,"['Prey', 'North']","['Prey', 'North']"
52,"['Prey', 'West']","['Prey', 'West']"
53,"['Prey', 'South']","['Prey', 'South']"
54,[],[]
55,[],[]
56,"['Prey', 'Center']","['Prey', 'Center']"
57,"['Prey', 'Center']","['Prey', 'Center']"
58,"['Prey', 'Center']","['Prey', 'Center']"
59,[],[]
60,[],[]
61,"['Prey', 'North', 'Prey', 'North', 'West']","['Prey', 'North', 'Prey', 'North', 'West']"
62,"['Prey', 'North', 'Prey', 'West']","['Prey', 'North', 'Prey', 'North', 'West']"
63,[],[]
64,"['Prey', 'South', 'West']","['Prey', 'South', 'West']"
65,[],[]
66,[],[]
67,[],[]
68,"['Prey', 'Center']","['Prey', 'Center']"
69,"['Prey', 'Center']","['Prey', 'Center']"
70,[],[]
71,"['Prey', 'Center']","['Prey', 'Center']"
72,[],[]
73,"['Prey', 'North']","['Prey', 'North']"
74,[],[]
75,[],[]
76,[],[]
77,"['Prey', 'Center']","['Prey', 'Center']"
78,[],[]
79,[],[]
80,[],[]
81,"['Prey', 'West', 'Prey', 'West']","['Prey', 'West', 'Prey', 'West']"
82,[],[]
83,[],[]
84,"['Prey', 'East']","['Prey', 'East']"
85,[],[]
86,[],[]
87,[],[]
88,[],[]
89,[],[]
90,"['Prey', 'Center']","['Prey', 'Center']"
91,[],[]
92,[],[]
93,"['Prey', 'West']","['Prey', 'West']"
94,[],[]
95,"['Prey', 'North', 'West']","['Prey', 'North', 'West']"
96,"['Prey', 'Center']","['Prey', 'Center']"
97,[],[]
98,"['Prey', 'Center']","['Prey', 'Center']"
99,"['Prey', 'Center']","['Prey', 'Center']"
100,[],[]
101,[],[]
102,"['Prey', 'South', 'West']","['Prey', 'South', 'West']"
103,"['Prey', 'South', 'Prey', 'South', 'East']","['Prey', 'South', 'West', 'Prey', 'South', 'East']"
104,[],[]
105,[],[]
106,[],[]
107,"['Prey', 'West']","['Prey', 'West']"
108,[],[]
109,"['Prey', 'West']","['Prey', 'West']"
110,[],[]
111,"['Prey', 'West']","['Prey', 'West']"
112,[],[]
113,[],[]
114,"['Prey', 'South']","['Prey', 'South']"
115,"['Prey', 'South']","['Prey', 'South']"
116,[],[]
117,[],[]
118,[],[]
119,"['Prey', 'Center']","['Prey', 'Center']"
120,"['Prey', 'North']","['Prey', 'North']"
121,"['Prey', 'North']","['Prey', 'North']"
122,[],[]
123,[],[]
124,"['Prey', 'West', 'Prey', 'Center']","['Prey', 'West', 'Prey', 'Center']"
125,[],[]
126,"['Prey', 'West', 'Prey', 'Center']","['Prey', 'West', 'Prey', 'Center']"
127,[],[]
128,[],[]
129,"['Prey', 'South', 'West']","['Prey', 'South', 'West']"
130,[],[]
131,[],[]
132,[],[]
133,[],[]
134,[],[]
135,"['Prey', 'Center']","['Prey', 'Center']"
136,[],[]
137,"['Prey', 'North', 'East']","['Prey', 'North', 'East']"
138,[],[]
139,[],[]
140,[],[]
141,[],[]
142,[],[]
143,"['Prey', 'Center']","['Prey', 'Center']"
144,"['Prey', 'North']","['Prey', 'North']"
145,[],[]
146,[],[]
147,"['Prey', 'North']","['Prey', 'North']"
148,"['Prey', 'West']","['Prey', 'West']"
149,"['Prey', 'West']","['Prey', 'West']"
150,[],[]
151,[],[]
152,[],[]
153,"['Prey', 'East']","['Prey', 'East']"
154,"['Prey', 'East']","['Prey', 'East']"
155,[],[]
156,[],[]
157,[],[]
158,"['Prey', 'Center']","['Prey', 'Center']"
159,[],[]
160,[],[]
161,[],[]
162,[],[]
163,[],[]
164,"['Prey', 'South', 'East']","['Prey', 'South', 'East']"
165,[],[]
166,"['Prey', 'South', 'East']","['Prey', 'South', 'East']"
167,[],[]
168,[],[]
169,[],[]
170,"['Prey', 'North']","['Prey', 'North']"
171,"['Prey', 'North']","['Prey', 'North']"
172,[],[]
173,"['Prey', 'Center']","['Prey', 'Center']"
174,[],[]
175,"['Prey', 'South']","['Prey', 'South']"
176,[],[]
177,[],[]
178,[],[]
179,[],[]
180,"['Prey', 'Center']","['Prey', 'Center']"
181,[],[]
182,[],[]
183,[],[]
184,[],[]
185,"['Prey', 'Center']","['Prey', 'Center']"
186,"['Prey', 'Center', 'Prey', 'South']","['Prey', 'Center', 'Prey', 'South', 'East']"
187,[],[]
188,[],[]
189,"['Prey', 'Center']","['Prey', 'Center']"
190,"['Prey', 'Center']","['Prey', 'Center']"
191,"['Prey', 'North', 'East', 'Prey', 'Center']","['Prey', 'North', 'East', 'Prey', 'Center']"
192,[],[]
193,"['Prey', 'West', 'Prey', 'West']","['Prey', 'West', 'Prey', 'West']"
194,"['Prey', 'North', 'Prey', 'West']","['Prey', 'West', 'Prey', 'West']"
195,"['Prey', 'West']","['Prey', 'West']"
196,[],[]
197,[],[]
198,[],[]
199,"['Prey', 'Center']","['Prey', 'Center']"
200,[],[]
201,"['Prey', 'Center']","['Prey', 'Center']"
202,"['Prey', 'Center']","['Prey', 'Center']"
203,"['Prey', 'Center']","['Prey', 'Center']"
204,[],[]
205,[],[]
206,"['Prey', 'North']","['Prey', 'North']"
207,"['Prey', 'North']","['Prey', 'North']"
208,[],[]
209,"['Prey', 'Center']","['Prey', 'Center']"
210,[],[]
211,"['Prey', 'Center']","['Prey', 'Center']"
212,"['Prey', 'Center', 'Prey', 'South']","['Prey', 'East', 'Prey', 'South', 'West']"
213,"['Prey', 'South', 'West']","['Prey', 'South', 'West']"
214,[],[]
215,[],[]
216,"['Prey', 'West']","['Prey', 'West']"
217,[],[]
218,[],[]
219,[],[]
220,[],[]
221,[],[]
222,[],[]
223,[],[]
224,"['Prey', 'North']","['Prey', 'North']"
225,"['Prey', 'North', 'West']","['Prey', 'North', 'West']"
226,[],[]
227,[],[]
228,"['Prey', 'West']","['Prey', 'West']"
229,[],[]
230,[],[]
231,[],[]
232,[],[]
233,"['Prey', 'West']","['Prey', 'West']"
234,[],[]
235,[],[]
236,[],[]
237,[],[]
238,"['Prey', 'North']","['Prey', 'North']"
239,[],[]
240,[],[]
241,"['Prey', 'North', 'East']","['Prey', 'North', 'East']"
242,[],[]
243,[],[]
244,"['Prey', 'West', 'Prey', 'Center']","['Prey', 'Center', 'Prey', 'West']"
245,"['Prey', 'Center']","['Prey', 'Center']"
246,[],[]
247,[],[]
248,"['Prey', 'North']","['Prey', 'North']"
249,[],[]
250,[],[]
251,"['Prey', 'North']","['Prey', 'North']"
252,"['Prey', 'West']","['Prey', 'West']"
253,[],[]
254,[],[]
255,[],[]
256,"['Prey', 'North']","['Prey', 'North']"
257,[],[]
258,"['Prey', 'North', 'Prey', 'North']","['Prey', 'North', 'Prey', 'North']"
259,[],[]
260,[],[]
261,"['Prey', 'North', 'Prey', 'North', 'West']","['Prey', 'North', 'Prey', 'North', 'West']"
262,"['Prey', 'North', 'Prey', 'North']","['Prey', 'North', 'Prey', 'North', 'West']"
263,[],[]
264,"['Prey', 'South', 'West']","['Prey', 'South', 'West']"
265,[],[]
266,[],[]
267,[],[]
268,[],[]
269,"['Prey', 'Center']","['Prey', 'Center']"
270,[],[]
271,"['Prey', 'Center']","['Prey', 'Center']"
272,[],[]
273,"['Prey', 'North', 'West']","['Prey', 'North', 'West']"
274,[],[]
275,[],[]
276,[],[]
277,"['Prey', 'Center']","['Prey', 'Center']"
278,"['Prey', 'North', 'Prey', 'North', 'West']","['Prey', 'North', 'East', 'Prey', 'Center']"
279,[],[]
280,[],[]
281,"['Prey', 'West']","['Prey', 'West']"
282,[],[]
283,[],[]
284,"['Prey', 'East']","['Prey', 'East']"
285,"['Prey', 'North']","['Prey', 'North']"
286,[],[]
287,[],[]
288,[],[]
289,[],[]
290,[],[]
291,[],[]
292,[],[]
293,"['Prey', 'West']","['Prey', 'West']"
294,[],[]
295,"['Prey', 'North', 'West']","['Prey', 'North', 'West']"
296,[],[]
297,[],[]
298,"['Prey', 'West']","['Prey', 'West']"
299,[],[]
300,[],[]
301,[],[]
302,"['Prey', 'South', 'West']","['Prey', 'South', 'West']"
303,[],[]
304,[],[]
305,[],[]
306,[],[]
307,"['Prey', 'North', 'West', 'Prey', 'West']","['Prey', 'North', 'West', 'Prey', 'West']"
308,[],[]
309,"['Prey', 'North', 'West', 'Prey', 'West']","['Prey', 'North', 'West', 'Prey', 'West']"
310,[],[]
311,"['Prey', 'West']","['Prey', 'West']"
312,[],[]
313,[],[]
314,"['Prey', 'South', 'Prey', 'South']","['Prey', 'South', 'Prey', 'South']"
315,[],[]
316,[],[]
317,[],[]
318,[],[]
319,"['Prey', 'Center']","['Prey', 'Center']"
320,"['Prey', 'Center']","['Prey', 'Center']"
321,"['Prey', 'Center']","['Prey', 'Center']"
322,[],[]
