Wall time,Step,Value
1641891797.103839,4,-329.3152770996094
1641891843.8930202,14,-321.72784423828125
1641891848.5059042,15,-220.28155517578125
1641891862.4065375,18,-305.67724609375
1641891867.0257251,19,-281.8124084472656
1641891871.6500556,20,-244.56480407714844
1641891880.95879,22,-240.75721740722656
1641891899.6143746,26,-200.83743286132812
1641891904.2176218,27,-247.2989959716797
1641891965.308313,40,-214.28704833984375
1641891997.7112,47,-230.54788208007812
1641892002.2901642,48,-203.4904327392578
1641892006.962487,49,-226.51907348632812
1641892016.3416793,51,-233.78033447265625
1641892030.4978514,54,-240.2072296142578
1641892058.3493464,60,-246.91224670410156
1641892062.966993,61,-226.24240112304688
1641892067.615607,62,-217.3050079345703
1641892072.2640514,63,-194.54611206054688
1641892086.2149177,66,-264.3160705566406
1641892090.8677206,67,-222.78680419921875
1641892095.5202289,68,-241.32867431640625
1641892104.8340874,70,-252.8856658935547
1641892109.483149,71,-200.9320068359375
1641892137.3606536,77,-193.681640625
1641892160.7235222,82,-208.14898681640625
1641892193.2776449,89,-209.84837341308594
1641892240.200918,99,-178.70005798339844
1641892258.8465836,103,-161.9295654296875
1641892272.777449,106,-190.5513458251953
1641892277.3958507,107,-211.8368682861328
1641892286.5949194,109,-197.19204711914062
1641892319.1563413,116,-164.9677734375
1641892342.3716538,121,-182.67636108398438
1641892360.8371444,125,-191.65135192871094
1641892365.4533663,126,-169.8560791015625
1641892374.7897403,128,-206.12384033203125
1641892384.1142309,130,-221.68719482421875
1641892412.0824132,136,-178.6082000732422
1641892416.7873654,137,-179.73387145996094
1641892449.4018981,144,-179.78585815429688
1641892458.6945648,146,-186.14645385742188
1641892463.3500078,147,-208.14395141601562
1641892477.3577633,150,-206.5458526611328
1641892510.0097156,157,-204.1265869140625
1641892524.0266142,160,-195.24484252929688
1641892533.4027097,162,-167.671875
1641892542.803035,164,-178.22601318359375
1641892571.1276128,170,-182.74855041503906
1641892575.8605967,171,-205.18743896484375
1641892580.5933893,172,-188.88589477539062
1641892604.1385927,177,-182.8867645263672
1641892636.448949,184,-187.1698455810547
1641892641.0722744,185,-184.34124755859375
1641892645.6981227,186,-222.58026123046875
1641892664.2135997,190,-170.78683471679688
1641892668.846266,191,-173.03616333007812
1641892673.4770796,192,-192.39381408691406
1641892706.057947,199,-200.93212890625
1641892720.1069906,202,-163.16796875
1641892724.7873871,203,-219.22682189941406
1641892729.4322882,204,-192.87521362304688
1641892734.1045732,205,-196.89517211914062
1641892743.4902368,207,-187.42056274414062
1641892762.2500546,211,-163.7039031982422
1641892771.6288676,213,-195.6309356689453
1641892781.0150082,215,-220.765625
1641892799.765706,219,-164.4007568359375
1641892804.4470954,220,-182.85276794433594
1641892809.0855005,221,-173.94287109375
1641892823.000602,224,-182.13412475585938
1641892846.2450354,229,-192.27769470214844
1641892892.6381872,239,-201.95619201660156
1641892915.69522,244,-190.4502716064453
1641892920.3363376,245,-205.9296875
1641892925.0283637,246,-192.4998016357422
1641892980.9687986,258,-219.44140625
1641892985.6459105,259,-204.45375061035156
1641892990.3021715,260,-193.50851440429688
1641893041.999462,271,-167.8243865966797
1641893056.2329347,274,-190.62911987304688
1641893065.729311,276,-178.64344787597656
1641893075.1641567,278,-179.9688262939453
1641893094.164239,282,-183.24569702148438
1641893108.330511,285,-189.13699340820312
1641893122.5489984,288,-178.85165405273438
1641893132.0408874,290,-151.0284423828125
1641893155.6016917,295,-199.13987731933594
1641893164.8835373,297,-168.89263916015625
1641893169.5371206,298,-180.98973083496094
1641893206.9638357,306,-195.8537139892578
1641893216.3635924,308,-207.580810546875
1641893235.1482286,312,-175.63475036621094
1641893253.9686933,316,-184.00048828125
1641893263.3037639,318,-193.3050994873047
1641893267.9550302,319,-178.3214111328125
1641893281.9408677,322,-181.82933044433594
1641893351.5738845,337,-189.2397918701172
1641893356.1762345,338,-157.60955810546875
1641893379.394746,343,-173.90667724609375
1641893388.6855104,345,-204.80844116210938
1641893393.3984807,346,-161.762451171875
1641893421.6343546,352,-155.03147888183594
1641893431.064486,354,-167.6848602294922
1641893449.94497,358,-164.03248596191406
1641893468.8630323,362,-174.03623962402344
1641893473.56002,363,-204.5662841796875
1641893478.2627027,364,-194.12130737304688
1641893482.9805999,365,-171.9208526611328
1641893487.702666,366,-193.1564483642578
1641893492.411766,367,-168.923583984375
1641893544.5217586,378,-182.95201110839844
1641893581.5961518,386,-166.58445739746094
1641893600.1471379,390,-194.21539306640625
1641893609.5978398,392,-185.8141326904297
1641893618.98493,394,-184.49441528320312
1641893632.9036806,397,-184.24742126464844
1641893656.0923884,402,-177.38368225097656
1641893665.371813,404,-148.6873779296875
1641893688.4938262,409,-174.6118621826172
1641893711.8387427,414,-176.92994689941406
1641893716.5239038,415,-183.35231018066406
1641893744.83719,421,-178.53439331054688
1641893749.4921298,422,-168.0874786376953
1641893768.35289,426,-169.63739013671875
1641893787.3395114,430,-175.120849609375
1641893810.8105068,435,-189.04251098632812
1641893815.4941063,436,-166.56150817871094
