Wall time,Step,Value
1641491464.1482348,4,-373.85125732421875
1641491510.8068612,14,-276.50115966796875
1641491515.5094216,15,-288.5048828125
1641491529.6357527,18,-314.6580810546875
1641491534.3235652,19,-319.1715087890625
1641491538.9679735,20,-252.92117309570312
1641491548.155909,22,-248.66946411132812
1641491566.70836,26,-290.2090148925781
1641491571.4133284,27,-272.73651123046875
1641491632.0825129,40,-249.08387756347656
1641491664.4412758,47,-223.08145141601562
1641491669.0547793,48,-243.69187927246094
1641491673.6643937,49,-229.86834716796875
1641491683.0630078,51,-206.66455078125
1641491696.9039898,54,-180.5501708984375
1641491724.5893297,60,-229.1012420654297
1641491729.209336,61,-215.4388885498047
1641491733.8303485,62,-187.94300842285156
1641491738.4519112,63,-193.14187622070312
1641491752.3028471,66,-231.81419372558594
1641491756.9108968,67,-196.35928344726562
1641491761.581891,68,-191.52780151367188
1641491770.9623556,70,-246.19815063476562
1641491775.6604824,71,-258.2228698730469
1641491803.512821,77,-170.65347290039062
1641491826.692611,82,-195.02267456054688
1641491859.2203345,89,-193.31495666503906
1641491906.018424,99,-167.44093322753906
1641491924.5126479,103,-192.06214904785156
1641491938.5391314,106,-190.3563995361328
1641491943.201673,107,-189.93740844726562
1641491952.5206912,109,-223.5457000732422
1641491985.1757429,116,-219.07154846191406
1641492008.718241,121,-187.8314971923828
1641492027.1724935,125,-184.1727752685547
1641492031.6863098,126,-179.21261596679688
1641492040.84036,128,-225.39776611328125
1641492050.0237885,130,-190.2159881591797
1641492077.8955338,136,-193.1119384765625
1641492082.5807953,137,-188.41574096679688
1641492115.2338948,144,-219.46917724609375
1641492124.5946248,146,-208.14389038085938
1641492129.2285748,147,-181.48182678222656
1641492143.1836076,150,-238.0687255859375
1641492175.7462547,157,-179.96058654785156
1641492189.632417,160,-203.5404815673828
1641492198.8838453,162,-183.9908447265625
1641492208.2083504,164,-188.34922790527344
1641492235.8643284,170,-203.5972137451172
1641492240.484731,171,-228.69549560546875
1641492245.1233847,172,-178.4371337890625
1641492268.4217257,177,-172.0810546875
1641492301.148425,184,-184.04884338378906
1641492305.7732625,185,-174.6896209716797
1641492310.4617023,186,-230.3545684814453
1641492329.176296,190,-196.7696533203125
1641492333.810318,191,-196.4864044189453
1641492338.4721372,192,-192.37318420410156
1641492371.162331,199,-203.5535430908203
1641492385.1717725,202,-199.61859130859375
1641492389.8261318,203,-161.99761962890625
1641492394.5295222,204,-185.9279327392578
1641492399.1613934,205,-180.14120483398438
1641492408.5686176,207,-178.18638610839844
1641492427.2170227,211,-207.41688537597656
1641492436.431559,213,-211.36476135253906
1641492445.6414576,215,-188.4788055419922
1641492464.214663,219,-192.77239990234375
1641492468.9044218,220,-206.1653594970703
1641492473.4991646,221,-176.41221618652344
1641492487.386564,224,-180.67608642578125
1641492510.5469682,229,-205.130615234375
1641492557.1133316,239,-181.0680389404297
1641492580.339633,244,-160.57887268066406
1641492584.9342937,245,-193.72496032714844
1641492589.5768523,246,-212.6532440185547
1641492645.066154,258,-197.0804443359375
1641492649.6668658,259,-170.36029052734375
1641492654.2783434,260,-173.8537139892578
1641492705.6689298,271,-172.24671936035156
1641492719.77256,274,-181.24244689941406
1641492729.0058,276,-175.30966186523438
1641492738.262298,278,-200.9615936279297
1641492756.9321406,282,-198.55445861816406
1641492770.885822,285,-171.77809143066406
1641492784.9327312,288,-178.325439453125
1641492794.0636647,290,-186.12387084960938
1641492817.0479538,295,-160.2561798095703
1641492826.4040384,297,-181.75477600097656
1641492831.0453908,298,-174.29141235351562
1641492868.2304664,306,-183.23654174804688
1641492877.6289492,308,-170.64781188964844
1641492896.2149422,312,-190.76596069335938
1641492914.863287,316,-193.33465576171875
1641492924.104966,318,-178.3140106201172
1641492928.7530015,319,-168.34832763671875
