Wall time,Step,Value
1641375818.3271863,4,-606.3450317382812
1641375926.6274614,14,-292.9395446777344
1641375937.5608547,15,-326.1381530761719
1641375970.4110858,18,-262.0044250488281
1641375981.2616944,19,-279.33203125
1641375992.0669296,20,-268.82049560546875
1641376013.4130745,22,-264.26971435546875
1641376056.5947678,26,-304.4335632324219
1641376067.4180012,27,-247.50230407714844
1641376207.9161813,40,-192.08560180664062
1641376283.306605,47,-222.52027893066406
1641376294.0917873,48,-200.4905242919922
1641376304.9022965,49,-200.36952209472656
1641376326.3221953,51,-182.33303833007812
1641376358.3783395,54,-189.2246551513672
1641376423.298237,60,-178.50860595703125
1641376434.1997795,61,-184.42303466796875
1641376445.06936,62,-194.6530303955078
1641376455.9692018,63,-210.012939453125
1641376488.0842164,66,-201.8761444091797
1641376498.7736595,67,-197.16812133789062
1641376509.485966,68,-194.38270568847656
1641376530.8134317,70,-181.10372924804688
1641376541.440121,71,-187.48060607910156
1641376606.1999161,77,-209.43612670898438
1641376660.136375,82,-181.85914611816406
1641376735.701698,89,-179.504150390625
1641376843.297764,99,-196.32174682617188
1641376886.0008361,103,-180.3848419189453
1641376918.5010805,106,-188.54745483398438
1641376929.3368592,107,-199.1858673095703
1641376951.2363627,109,-188.9180908203125
1641377026.381563,116,-207.40780639648438
1641377080.843967,121,-204.52545166015625
1641377123.9749022,125,-195.6508026123047
1641377134.8764815,126,-180.83277893066406
1641377156.756035,128,-183.67776489257812
1641377178.6485865,130,-206.11119079589844
1641377244.0190346,136,-176.33529663085938
1641377254.7514522,137,-187.59500122070312
1641377330.9622722,144,-171.97447204589844
1641377352.7625043,146,-200.8863983154297
1641377363.5967515,147,-179.1458282470703
1641377396.0198274,150,-193.74554443359375
1641377471.7382941,157,-203.24200439453125
1641377504.4773357,160,-181.0801239013672
1641377526.0850759,162,-194.7581024169922
1641377547.340749,164,-193.11044311523438
1641377611.9334178,170,-175.0996856689453
1641377622.8350093,171,-185.41815185546875
1641377633.7553377,172,-179.1768798828125
1641377687.9822576,177,-181.34426879882812
1641377763.9725556,184,-170.90084838867188
1641377774.7735763,185,-169.2144317626953
1641377785.6310344,186,-179.31825256347656
1641377828.9733942,190,-183.0928955078125
1641377839.7771554,191,-193.0430450439453
1641377850.6978047,192,-188.9240264892578
1641377927.0080922,199,-211.9210662841797
1641377959.5317297,202,-187.7683563232422
1641377970.3608587,203,-173.54202270507812
1641377981.0724149,204,-169.25433349609375
1641377991.8640277,205,-178.08035278320312
1641378013.4877613,207,-172.21005249023438
1641378056.567644,211,-202.62722778320312
1641378078.0797002,213,-183.25877380371094
1641378099.7763088,215,-175.4615020751953
1641378142.9809108,219,-170.408447265625
1641378153.7951903,220,-200.64552307128906
1641378164.5124393,221,-178.4551239013672
1641378196.9304411,224,-177.28672790527344
1641378250.696686,229,-178.4721221923828
1641378359.2203164,239,-181.9501953125
1641378412.89106,244,-178.30517578125
1641378423.6190965,245,-163.10130310058594
1641378434.4593043,246,-177.77725219726562
1641378563.9284122,258,-194.44129943847656
1641378574.6706738,259,-204.78695678710938
1641378585.4643388,260,-185.28297424316406
1641378704.4155576,271,-175.0198211669922
1641378736.3926022,274,-195.923828125
1641378757.9734445,276,-160.71112060546875
1641378779.568447,278,-160.98321533203125
1641378822.4153583,282,-175.82122802734375
1641378854.4135337,285,-173.42237854003906
1641378886.4618795,288,-166.91354370117188
1641378907.7416968,290,-195.68331909179688
1641378961.2323918,295,-188.73358154296875
1641378982.5814927,297,-173.91497802734375
1641378993.5755868,298,-191.58145141601562
1641379079.2184443,306,-181.38238525390625
1641379100.7672555,308,-172.48370361328125
1641379143.6842105,312,-183.9749755859375
1641379186.794231,316,-188.10800170898438
1641379208.2756875,318,-192.92059326171875
1641379219.051881,319,-180.3656463623047
1641379251.1276248,322,-180.92904663085938
1641379410.9501505,337,-183.3124542236328
1641379421.653108,338,-169.3934783935547
1641379475.3051915,343,-177.1798095703125
1641379496.808015,345,-183.08154296875
1641379507.537432,346,-184.54806518554688
1641379572.0109868,352,-169.42874145507812
1641379593.7154505,354,-174.08438110351562
1641379636.8923516,358,-186.7064971923828
1641379680.25515,362,-185.12982177734375
1641379691.05385,363,-170.23855590820312
1641379702.2065125,364,-165.6337890625
1641379712.9402294,365,-190.3230743408203
1641379723.7966378,366,-193.1465301513672
1641379734.5769944,367,-180.06198120117188
1641379852.9966192,378,-188.21255493164062
1641379938.0675225,386,-185.75466918945312
1641379980.6845438,390,-190.54835510253906
1641380002.14867,392,-169.4036102294922
1641380023.6177535,394,-184.13450622558594
1641380056.0624125,397,-177.6478729248047
1641380109.3319113,402,-187.22093200683594
1641380130.7788093,404,-191.4012451171875
1641380184.6386847,409,-187.16766357421875
1641380238.5955057,414,-191.46763610839844
1641380249.2943335,415,-175.96990966796875
1641380313.5538483,421,-177.1104736328125
1641380324.4410305,422,-180.74330139160156
1641380367.3107314,426,-182.53111267089844
1641380410.3986533,430,-171.37109375
1641380464.1316102,435,-175.5238494873047
1641380474.9505749,436,-175.3843536376953
1641380485.641786,437,-177.42703247070312
1641380507.2243795,439,-185.30860900878906
1641380550.4458668,443,-190.55799865722656
1641380561.1489954,444,-183.55223083496094
1641380582.7148743,446,-197.75975036621094
1641380625.8002,450,-199.63958740234375
1641380647.3609858,452,-187.1571502685547
1641380690.0050423,456,-186.3048553466797
1641380743.912036,461,-195.1131591796875
1641380787.2039363,465,-172.3976593017578
1641380797.9223163,466,-186.8921661376953
1641380819.432827,468,-179.7593994140625
1641380841.26378,470,-186.54379272460938
1641380884.4416995,474,-184.32022094726562
1641380895.1758587,475,-183.1483917236328
1641380948.7353537,480,-177.4643096923828
1641380959.4558976,481,-170.5262908935547
1641381024.212487,487,-174.00967407226562
1641381045.8187776,489,-182.5294952392578
1641381099.6149325,494,-176.76324462890625
1641381142.5341349,498,-189.41387939453125
1641381261.1125784,509,-174.7273406982422
1641381271.959518,510,-194.24134826660156
1641381282.6927724,511,-198.63404846191406
1641381293.4483318,512,-188.36683654785156
1641381304.175391,513,-197.15174865722656
1641381314.8875825,514,-175.47705078125
1641381346.827187,517,-186.48678588867188
1641381357.9043536,518,-193.53311157226562
1641381368.6020005,519,-188.82566833496094
1641381518.8990474,533,-190.4692840576172
1641381529.565025,534,-175.112548828125
1641381551.1424448,536,-178.69876098632812
1641381561.9443612,537,-192.83770751953125
1641381572.8542082,538,-204.64453125
1641381594.3262131,540,-208.1508026123047
1641381615.8927069,542,-173.92115783691406
1641381637.492557,544,-165.5583038330078
1641381658.997754,546,-176.15357971191406
1641381701.668473,550,-181.49990844726562
1641381723.334542,552,-177.83412170410156
1641381766.0888145,556,-175.97137451171875
1641381831.0556026,562,-171.34408569335938
1641381852.3716166,564,-178.4069061279297
1641381895.6910033,568,-170.55902099609375
1641381927.8518457,571,-188.96243286132812
1641381949.3503659,573,-185.3252716064453
1641382067.1758363,584,-207.20152282714844
1641382077.9253902,585,-187.6327362060547
1641382110.704842,588,-197.48373413085938
1641382132.3859239,590,-188.0316162109375
1641382143.0518966,591,-175.12367248535156
1641382175.0686655,594,-169.37684631347656
1641382196.54881,596,-179.50181579589844
1641382271.7336466,603,-168.22279357910156
1641382325.384168,608,-182.88352966308594
1641382379.122789,613,-170.4504852294922
1641382389.868611,614,-200.9602508544922
1641382411.1396506,616,-172.66162109375
1641382475.5490859,622,-180.3520050048828
1641382486.4397733,623,-179.04600524902344
1641382518.6921022,626,-173.82638549804688
1641382540.136926,628,-174.79611206054688
1641382550.8494692,629,-192.3203125
1641382593.7092516,633,-183.85549926757812
1641382636.2661457,637,-184.4904022216797
1641382689.8960023,642,-176.05677795410156
1641382700.643681,643,-193.73106384277344
1641382711.4002526,644,-175.25421142578125
1641382765.8409524,649,-181.2624969482422
1641382787.385208,651,-183.8822021484375
1641382829.9546254,655,-176.13970947265625
1641382862.0721138,658,-171.56202697753906
1641382883.6395218,660,-171.6050262451172
1641382959.2425947,667,-187.20677185058594
1641382991.424428,670,-182.51614379882812
1641383044.8900332,675,-194.52574157714844
1641383055.6446579,676,-177.79806518554688
1641383098.9647076,680,-185.65771484375
1641383142.1377418,684,-160.2362823486328
1641383228.014585,692,-175.99668884277344
1641383249.65607,694,-178.2572021484375
1641383271.4004977,696,-178.0159149169922
1641383282.1216142,697,-170.62327575683594
1641383303.3952105,699,-161.362548828125
1641383335.8202837,702,-170.06048583984375
1641383421.9885464,710,-192.6199188232422
1641383475.7306967,715,-176.3636474609375
1641383497.3589053,717,-169.16868591308594
1641383529.817313,720,-177.63858032226562
1641383540.5842714,721,-194.2564239501953
1641383562.4095643,723,-175.82142639160156
1641383583.988887,725,-186.150390625
1641383594.6203904,726,-156.33944702148438
1641383616.0736208,728,-189.96209716796875
1641383626.8310268,729,-175.5902862548828
1641383648.277956,731,-166.14100646972656
1641383658.9841495,732,-164.32443237304688
1641383669.7262332,733,-178.7138671875
1641383723.6877615,738,-160.39569091796875
1641383766.6032732,742,-162.90164184570312
1641383788.5901058,744,-164.86737060546875
1641383917.4721823,756,-169.03903198242188
1641384003.3383934,764,-168.8348846435547
1641384014.0563834,765,-177.98876953125
1641384056.9748483,769,-180.34735107421875
1641384089.1582625,772,-183.80552673339844
1641384121.0532563,775,-178.37762451171875
1641384131.7208276,776,-178.77920532226562
1641384153.4053583,778,-179.8863983154297
1641384164.179057,779,-167.63925170898438
1641384174.846151,780,-191.8001251220703
1641384196.4960122,782,-188.256591796875
1641384260.8352864,788,-190.38015747070312
1641384432.7989285,804,-171.83514404296875
1641384443.48238,805,-174.36941528320312
1641384454.327406,806,-174.27638244628906
1641384464.9780412,807,-167.32125854492188
1641384497.2903962,810,-185.2862091064453
1641384582.7954726,818,-189.9699249267578
1641384593.5550797,819,-172.47706604003906
1641384690.3629527,828,-171.281494140625
1641384733.37849,832,-181.04196166992188
1641384744.088552,833,-168.72328186035156
1641384765.5051317,835,-181.0026092529297
1641384776.3454747,836,-172.76153564453125
1641384808.6090736,839,-171.17262268066406
1641384819.3533566,840,-176.5584716796875
1641384851.8284543,843,-191.7353515625
1641384873.446442,845,-174.2240447998047
1641384938.157582,851,-170.98838806152344
1641385003.1460066,857,-188.12515258789062
1641385035.6532567,860,-193.54489135742188
1641385057.3455403,862,-169.29934692382812
1641385100.4195216,866,-167.73065185546875
1641385143.4323852,870,-187.51968383789062
1641385154.1575735,871,-177.94281005859375
1641385293.6322453,884,-166.65484619140625
1641385315.2156584,886,-174.13272094726562
1641385358.2948282,890,-171.10728454589844
1641385379.817808,892,-193.17857360839844
1641385412.1638014,895,-184.32838439941406
1641385433.8219187,897,-164.21481323242188
1641385444.5170581,898,-183.8688507080078
1641385476.634616,901,-187.1405029296875
1641385487.372347,902,-199.7637481689453
1641385541.435602,907,-172.45706176757812
1641385552.2477827,908,-174.99205017089844
1641385573.95786,910,-152.67298889160156
1641385584.7155936,911,-174.74920654296875
1641385659.3682134,918,-170.07461547851562
1641385669.9848278,919,-166.57720947265625
1641385691.1695666,921,-173.73202514648438
1641385766.0102816,928,-178.1999053955078
1641385787.5303698,930,-163.34986877441406
1641385798.2649157,931,-180.08255004882812
1641385809.0623684,932,-161.32781982421875
1641385884.022248,939,-177.3956756591797
1641385916.0861285,942,-174.3690948486328
1641385948.5894508,945,-166.00132751464844
1641385991.6175578,949,-168.67723083496094
1641386023.739874,952,-173.2431640625
1641386055.9012296,955,-197.92369079589844
1641386109.5952325,960,-168.74403381347656
1641386141.754143,963,-169.8340606689453
1641386163.4315953,965,-160.22344970703125
1641386184.7209666,967,-157.68678283691406
1641386195.4062395,968,-173.98684692382812
1641386303.3978074,978,-198.36822509765625
1641386314.1842024,979,-178.8740692138672
1641386346.7419229,982,-175.43312072753906
1641386389.4879546,986,-190.5211181640625
1641386432.6578846,990,-161.81082153320312
1641386454.266466,992,-182.09938049316406
