Wall time,Step,Value
1641207616.712501,4,-410.27862548828125
1641207664.2214923,14,-255.9060516357422
1641207669.0117104,15,-226.76736450195312
1641207683.4136133,18,-252.5154571533203
1641207688.2070253,19,-264.0345153808594
1641207693.0468798,20,-333.19708251953125
1641207702.6293743,22,-275.3891906738281
1641207721.9273841,26,-238.51156616210938
1641207726.73978,27,-222.7435760498047
1641207788.5173354,40,-201.45787048339844
1641207821.395948,47,-199.66561889648438
1641207826.1477377,48,-211.09999084472656
1641207830.9051921,49,-206.52279663085938
1641207840.57645,51,-194.1134796142578
1641207854.8809555,54,-195.7332763671875
1641207883.500822,60,-187.6075897216797
1641207888.2890332,61,-201.2636260986328
1641207893.0687232,62,-217.30270385742188
1641207897.811257,63,-175.61416625976562
1641207912.0806224,66,-201.22006225585938
1641207916.8500705,67,-186.9763946533203
1641207921.6197472,68,-191.09078979492188
1641207931.1664777,70,-208.9835205078125
1641207935.9654157,71,-214.6607208251953
1641207964.8004763,77,-206.90985107421875
1641207988.8244538,82,-202.3408203125
1641208022.419669,89,-202.2126007080078
1641208070.3748703,99,-201.22909545898438
1641208089.4457848,103,-150.27655029296875
1641208103.776152,106,-170.68402099609375
1641208108.585665,107,-183.3531951904297
1641208118.2781951,109,-198.39414978027344
1641208152.1197197,116,-195.69998168945312
1641208176.2238343,121,-168.29029846191406
1641208195.1643836,125,-216.50357055664062
1641208199.9512656,126,-169.21484375
1641208209.5177999,128,-194.20578002929688
1641208219.0440845,130,-178.92555236816406
1641208247.487584,136,-170.3810577392578
1641208252.2648036,137,-185.4375
1641208285.720241,144,-200.13392639160156
1641208295.2524269,146,-195.30758666992188
1641208299.991849,147,-166.0113067626953
1641208314.2550707,150,-184.50985717773438
1641208347.8161228,157,-179.0030517578125
1641208362.0751207,160,-194.74307250976562
1641208371.5450995,162,-202.239501953125
1641208381.0581176,164,-190.48287963867188
1641208409.758403,170,-183.8712615966797
1641208414.4992487,171,-174.93283081054688
1641208419.2865465,172,-189.44830322265625
1641208443.0970254,177,-171.7128448486328
1641208476.7638347,184,-195.69775390625
1641208481.549028,185,-178.13516235351562
1641208486.3258939,186,-166.8990478515625
1641208505.4458613,190,-186.6501922607422
1641208510.2247856,191,-167.767333984375
1641208515.0273666,192,-186.49267578125
1641208548.499525,199,-202.36192321777344
1641208562.761422,202,-182.18728637695312
1641208567.4943643,203,-168.1253204345703
1641208572.226012,204,-177.5069122314453
1641208576.9543405,205,-184.47177124023438
1641208586.4598608,207,-184.10987854003906
1641208605.8451202,211,-227.50035095214844
1641208615.5287695,213,-180.00465393066406
1641208625.0611854,215,-217.66983032226562
1641208644.2362905,219,-164.08522033691406
1641208648.9783242,220,-192.8104705810547
1641208653.7742977,221,-199.8284454345703
1641208668.0476415,224,-183.82737731933594
1641208691.8869445,229,-199.43194580078125
1641208740.2095604,239,-176.49777221679688
1641208764.145057,244,-179.6109161376953
1641208768.846854,245,-187.3072052001953
1641208773.553945,246,-190.39695739746094
1641208830.6197584,258,-209.41815185546875
1641208835.428716,259,-179.9718780517578
1641208840.2629964,260,-192.58216857910156
1641208892.7744217,271,-176.9726104736328
1641208907.3712373,274,-177.7837371826172
1641208916.9129112,276,-184.52523803710938
1641208926.510957,278,-156.64781188964844
1641208945.7015412,282,-198.20010375976562
1641208960.1316671,285,-158.2543182373047
1641208974.6329188,288,-186.6752471923828
1641208984.2492807,290,-167.46795654296875
1641209008.1876361,295,-193.73623657226562
1641209017.7090762,297,-189.0177764892578
1641209022.4425352,298,-192.2438507080078
1641209060.7111733,306,-201.84042358398438
1641209070.225672,308,-175.64511108398438
1641209089.3158956,312,-185.63450622558594
1641209108.4783142,316,-212.96505737304688
1641209118.0647693,318,-161.0269012451172
1641209122.9106073,319,-145.83718872070312
1641209137.2001877,322,-161.5977325439453
1641209209.3055983,337,-191.08665466308594
1641209214.124598,338,-195.2354278564453
1641209238.0421789,343,-168.98085021972656
1641209247.5587673,345,-178.4010772705078
1641209252.279816,346,-182.38490295410156
1641209280.9985566,352,-169.48825073242188
1641209290.592098,354,-206.2642364501953
1641209309.7386146,358,-183.74017333984375
1641209328.7275653,362,-214.92343139648438
1641209333.5268776,363,-161.73316955566406
1641209338.375026,364,-202.90061950683594
1641209343.2132149,365,-175.06820678710938
1641209348.050361,366,-174.9530792236328
1641209352.8792505,367,-196.04830932617188
1641209405.7084367,378,-178.83839416503906
1641209443.8801298,386,-159.1694793701172
1641209462.778938,390,-166.54385375976562
1641209472.2878354,392,-186.79335021972656
1641209481.8417232,394,-153.8171844482422
