,Message,Init_pos,T0A0,T0A1,T0A2,T0A3,T1A0,T1A1,T1A2,T1A3,T2A0,T2A1,T2A2,T2A3,T3A0,T3A1,T3A2,T3A3,T4A0,T4A1,T4A2,T4A3
0,"['Prey', 'West']","[4, 4]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0
1,"['Prey', 'West']","[4, 5]",2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1
2,"['Prey', 'West']","[4, 3]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0
3,"['Prey', 'West']","[3, 3]",3,3,3,3,3,3,3,3,2,2,2,2,0,0,0,0,1,1,1,1
4,"['Prey', 'West']","[3, 4]",2,2,2,2,0,0,0,0,3,3,3,3,2,2,2,2,0,0,0,0
5,"['Prey', 'West']","[3, 5]",2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
6,"['Prey', 'West']","[5, 3]",3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
7,"['Prey', 'West']","[5, 4]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
8,"['Prey', 'West']","[5, 5]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0
9,"['Prey', 'East']","[4, 4]",3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4
10,"['Prey', 'East']","[4, 5]",2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,0,0,0
11,"['Prey', 'East']","[4, 3]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
12,"['Prey', 'East']","[3, 3]",3,3,3,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4
13,"['Prey', 'East']","[3, 4]",2,2,2,2,2,2,2,2,4,4,4,4,0,0,0,0,2,2,2,2
14,"['Prey', 'East']","[3, 5]",2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0
15,"['Prey', 'East']","[5, 3]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
16,"['Prey', 'East']","[5, 4]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
17,"['Prey', 'East']","[5, 5]",3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,"['Prey', 'South']","[4, 4]",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3
19,"['Prey', 'South']","[4, 5]",1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
20,"['Prey', 'South']","[4, 3]",4,4,4,4,1,1,1,1,0,0,0,0,4,4,4,4,3,3,3,3
21,"['Prey', 'South']","[3, 3]",1,1,1,1,1,1,1,1,0,0,0,0,3,3,3,3,3,3,3,3
22,"['Prey', 'South']","[3, 4]",1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
23,"['Prey', 'South']","[3, 5]",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
24,"['Prey', 'South']","[5, 3]",0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
25,"['Prey', 'South']","[5, 4]",4,4,4,4,1,1,1,1,0,0,0,0,4,4,4,4,4,4,4,4
26,"['Prey', 'South']","[5, 5]",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,4,4,4
27,"['Prey', 'North']","[4, 4]",3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
28,"['Prey', 'North']","[4, 5]",3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1
29,"['Prey', 'North']","[4, 3]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
30,"['Prey', 'North']","[3, 3]",3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1
31,"['Prey', 'North']","[3, 4]",2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0
32,"['Prey', 'North']","[3, 5]",2,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,1
33,"['Prey', 'North']","[5, 3]",3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
34,"['Prey', 'North']","[5, 4]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
35,"['Prey', 'North']","[5, 5]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
36,"['Prey', 'North', 'East']","[4, 4]",3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4
37,"['Prey', 'North', 'East']","[4, 5]",2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,0,0,0
38,"['Prey', 'North', 'East']","[4, 3]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
39,"['Prey', 'North', 'East']","[3, 3]",3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4
