,Message,Init_pos,T0A0,T0A1,T0A2,T0A3,T1A0,T1A1,T1A2,T1A3,T2A0,T2A1,T2A2,T2A3,T3A0,T3A1,T3A2,T3A3,T4A0,T4A1,T4A2,T4A3
0,"['Prey', 'West']","[4, 4]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0
1,"['Prey', 'West']","[4, 5]",2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0
2,"['Prey', 'West']","[4, 3]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
3,"['Prey', 'West']","[3, 3]",3,3,3,3,3,3,3,3,2,2,2,2,0,0,0,0,2,2,2,2
4,"['Prey', 'West']","[3, 4]",2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0
5,"['Prey', 'West']","[3, 5]",2,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,1
6,"['Prey', 'West']","[5, 3]",3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
7,"['Prey', 'West']","[5, 4]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
8,"['Prey', 'West']","[5, 5]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
9,"['Prey', 'East']","[4, 4]",3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
10,"['Prey', 'East']","[4, 5]",2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
11,"['Prey', 'East']","[4, 3]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
12,"['Prey', 'East']","[3, 3]",3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
13,"['Prey', 'East']","[3, 4]",2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1
14,"['Prey', 'East']","[3, 5]",2,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2
15,"['Prey', 'East']","[5, 3]",3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
16,"['Prey', 'East']","[5, 4]",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
