,Message,Init_pos,T0A0,T0A1,T0A2,T0A3,T1A0,T1A1,T1A2,T1A3,T2A0,T2A1,T2A2,T2A3,T3A0,T3A1,T3A2,T3A3,T4A0,T4A1,T4A2,T4A3
0,"['Prey', 'West']","[4, 4]",2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2
1,"['Prey', 'West']","[4, 5]",2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,0,0,0,0
2,"['Prey', 'West']","[4, 3]",2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2
3,"['Prey', 'West']","[3, 3]",2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,0,0,0,0
4,"['Prey', 'West']","[3, 4]",2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0
5,"['Prey', 'West']","[3, 5]",2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,2,2,2,2
6,"['Prey', 'West']","[5, 3]",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
7,"['Prey', 'West']","[5, 4]",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
8,"['Prey', 'West']","[5, 5]",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2
9,"['Prey', 'East']","[4, 4]",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4
10,"['Prey', 'East']","[4, 5]",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4
11,"['Prey', 'East']","[4, 3]",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
12,"['Prey', 'East']","[3, 3]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4
13,"['Prey', 'East']","[3, 4]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4
14,"['Prey', 'East']","[3, 5]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4
15,"['Prey', 'East']","[5, 3]",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
16,"['Prey', 'East']","[5, 4]",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
17,"['Prey', 'East']","[5, 5]",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
18,"['Prey', 'South']","[4, 4]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
19,"['Prey', 'South']","[4, 5]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
20,"['Prey', 'South']","[4, 3]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
21,"['Prey', 'South']","[3, 3]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
22,"['Prey', 'South']","[3, 4]",2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,"['Prey', 'South']","[3, 5]",2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24,"['Prey', 'South']","[5, 3]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
25,"['Prey', 'South']","[5, 4]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
26,"['Prey', 'South']","[5, 5]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
27,"['Prey', 'North']","[4, 4]",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
28,"['Prey', 'North']","[4, 5]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
29,"['Prey', 'North']","[4, 3]",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
30,"['Prey', 'North']","[3, 3]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
31,"['Prey', 'North']","[3, 4]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
32,"['Prey', 'North']","[3, 5]",2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
33,"['Prey', 'North']","[5, 3]",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
34,"['Prey', 'North']","[5, 4]",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
35,"['Prey', 'North']","[5, 5]",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
36,"['Prey', 'North', 'East']","[4, 4]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
37,"['Prey', 'North', 'East']","[4, 5]",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
