,Message,Init_pos,T0A0,T0A1,T0A2,T0A3,T1A0,T1A1,T1A2,T1A3,T2A0,T2A1,T2A2,T2A3,T3A0,T3A1,T3A2,T3A3,T4A0,T4A1,T4A2,T4A3
0,"['Prey', 'West']","[4, 8]",1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,"['Prey', 'West']","[4, 7]",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,"['Prey', 'West']","[4, 6]",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,"['Prey', 'West']","[4, 5]",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,"['Prey', 'West']","[3, 8]",1,1,1,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
5,"['Prey', 'West']","[3, 7]",1,1,1,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
6,"['Prey', 'West']","[3, 6]",1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,"['Prey', 'West']","[3, 5]",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,"['Prey', 'West']","[5, 8]",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,"['Prey', 'West']","[5, 7]",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,"['Prey', 'West']","[5, 6]",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,"['Prey', 'West']","[5, 5]",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12,"['Prey', 'East']","[4, 0]",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,"['Prey', 'East']","[4, 1]",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
14,"['Prey', 'East']","[4, 2]",3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2
15,"['Prey', 'East']","[4, 3]",3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2
16,"['Prey', 'East']","[3, 0]",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17,"['Prey', 'East']","[3, 1]",3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2
18,"['Prey', 'East']","[3, 2]",3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2
19,"['Prey', 'East']","[3, 3]",3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
20,"['Prey', 'East']","[5, 0]",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
