Wall time,Step,Value
1642846951.78343,344,-342.7118835449219
1642846962.100316,488,-309.6781921386719
1642846993.8079243,930,-263.5439453125
1642847007.1941445,1112,-292.07049560546875
1642847021.9849877,1316,-203.2095489501953
1642847043.3435948,1608,-222.41259765625
1642847076.7670543,2052,-271.057861328125
1642847092.5381887,2264,-318.7881164550781
1642847100.6923254,2368,-227.01158142089844
1642847143.4318712,2916,-216.32162475585938
1642847149.4611752,2988,-231.23162841796875
1642847151.9615488,3020,-222.0438995361328
1642847158.3276753,3096,-245.62660217285156
1642847161.1719847,3130,-257.13385009765625
1642847222.5109553,3880,-260.60711669921875
1642847225.7108188,3920,-235.9824676513672
1642847319.392846,5006,-213.8697509765625
1642847331.925972,5154,-266.9452819824219
1642847352.754667,5386,-174.44375610351562
1642847355.33882,5416,-210.02536010742188
1642847356.8663507,5434,-236.7019805908203
1642847423.1172693,6166,-228.40731811523438
1642847452.2732675,6482,-206.41128540039062
1642847456.7838256,6530,-208.55181884765625
1642847514.3231974,7132,-166.41477966308594
1642847521.5050259,7200,-185.49598693847656
1642847531.7599747,7308,-191.9783172607422
1642847605.5306094,8046,-212.8033905029297
1642847623.2484992,8218,-186.4708251953125
1642847625.6158297,8242,-226.21932983398438
1642847637.6161003,8362,-220.0341339111328
1642847667.685597,8656,-158.84539794921875
1642847716.223593,9128,-172.51300048828125
1642847771.9116995,9664,-223.56443786621094
1642847826.2606587,10180,-149.07357788085938
1642847846.3297377,10374,-173.1092529296875
1642847862.8395877,10524,-131.20848083496094
1642847869.7720208,10590,-172.60194396972656
1642847884.2621024,10724,-141.7182159423828
1642847903.6506934,10908,-153.49920654296875
1642847948.8797553,11334,-159.78207397460938
1642847984.1995072,11664,-194.73028564453125
1642847991.3165562,11732,-134.5377197265625
1642848015.4451408,11962,-203.0029754638672
1642848018.7566097,11994,-196.26966857910156
1642848030.659784,12106,-178.8861541748047
1642848048.474626,12276,-128.48480224609375
1642848067.4871044,12450,-215.2132568359375
1642848078.4180212,12558,-208.5771484375
1642848089.7008004,12668,-223.08447265625
1642848097.014825,12738,-140.12876892089844
1642848138.6642752,13138,-206.65786743164062
1642848172.4242039,13460,-152.69845581054688
1642848176.4176736,13500,-146.84213256835938
1642848197.1991026,13700,-226.6360626220703
1642848211.6359,13838,-146.17962646484375
1642848226.3145173,13982,-172.7910919189453
1642848280.9297354,14506,-171.45925903320312
1642848319.3763728,14872,-179.379150390625
1642848325.3719788,14928,-166.57266235351562
1642848362.9656873,15288,-185.36532592773438
1642848381.1160178,15460,-206.4144287109375
1642848434.8946772,15972,-163.3127899169922
1642848463.3301287,16244,-209.51470947265625
1642848498.977071,16582,-197.91249084472656
1642848552.2320383,17096,-192.8167724609375
1642848553.4301252,17108,-156.49754333496094
1642848566.8592415,17236,-189.20742797851562
1642848575.6694474,17318,-226.75804138183594
1642848583.093417,17388,-136.7498016357422
1642848589.4093192,17448,-174.5075225830078
1642848595.3070955,17504,-167.97023010253906
1642848600.2474296,17552,-190.42703247070312
1642848600.654531,17556,-207.29454040527344
1642848678.6378913,18304,-177.34202575683594
1642848699.4864264,18504,-139.61553955078125
1642848707.7811928,18582,-192.09136962890625
1642848715.304933,18654,-172.35276794433594
1642848721.9672043,18718,-112.61705780029297
1642848796.0998454,19424,-128.43104553222656
1642848805.0219548,19506,-149.93106079101562
1642848822.6426098,19674,-168.79331970214844
1642848828.7411819,19734,-185.474853515625
1642848834.2914705,19788,-173.79684448242188
1642848838.9607463,19834,-221.24839782714844
1642848845.7723076,19898,-180.83053588867188
1642848851.961491,19958,-111.82867431640625
1642848869.710386,20126,-129.9076385498047
1642848875.215393,20180,-142.44606018066406
1642848881.7105622,20242,-140.36788940429688
1642848896.5827901,20382,-215.3004608154297
1642848949.144917,20890,-219.59434509277344
1642848964.1899347,21036,-204.25975036621094
1642848989.909593,21286,-125.80728912353516
1642848990.3639588,21290,-173.48268127441406
1642849003.0108945,21414,-144.91500854492188
1642849068.8670864,22046,-174.99942016601562
1642849088.912996,22236,-177.2815704345703
1642849235.512551,23638,-157.61264038085938
1642849245.3657646,23734,-180.72425842285156
1642849278.6117127,24054,-99.0206069946289
1642849288.7298694,24152,-177.66653442382812
1642849338.9288697,24632,-172.5096435546875
1642849346.9122708,24708,-202.89071655273438
1642849356.081637,24796,-220.8587188720703
1642849372.62254,24952,-176.73175048828125
1642849461.4277806,25810,-186.25390625
1642849469.400655,25888,-195.25729370117188
1642849544.3261096,26608,-191.30999755859375
1642849562.094924,26776,-202.2392120361328
1642849590.3169968,27044,-173.06680297851562
1642849596.0171266,27100,-176.71739196777344
1642849610.9879336,27246,-159.43724060058594
1642849614.9095407,27284,-172.77938842773438
1642849616.0809124,27294,-179.6517333984375
1642849649.0787518,27604,-155.1499481201172
1642849658.8930995,27698,-153.481201171875
1642849684.576185,27942,-175.42144775390625
1642849700.3239424,28092,-162.97991943359375
1642849729.632472,28376,-178.29330444335938
1642849745.3793097,28530,-125.7890396118164
1642849765.2688742,28722,-138.5248565673828
1642849824.7128134,29290,-200.28228759765625
1642849845.6529386,29490,-191.2888641357422
1642849867.8557634,29702,-148.21311950683594
1642849870.5347953,29728,-228.0738067626953
1642849912.1568244,30130,-157.34007263183594
1642849913.1921504,30140,-172.30593872070312
