Wall time,Step,Value
1643282982.1869254,465,-277.32720947265625
1643283040.6843443,658,-193.22122192382812
1643283184.6097565,1132,-305.5929870605469
1643283429.3214438,1940,-247.0936737060547
1643283435.4480555,1960,-228.5065460205078
1643283657.5736446,2693,-267.2547302246094
1643283664.8496916,2717,-322.5339050292969
1643283831.566779,3265,-304.5536193847656
1643284092.215516,4121,-219.5955352783203
1643284110.4013922,4181,-211.57949829101562
1643284437.9636755,5262,-208.2287139892578
1643284447.9038563,5295,-248.0839080810547
1643284468.18884,5362,-311.8572998046875
1643284496.141927,5454,-291.9509582519531
1643284611.3054593,5832,-199.8254852294922
1643284621.681604,5866,-189.28746032714844
1643284661.6249266,5997,-263.5372314453125
1643284678.6984568,6053,-235.25
1643284747.5297894,6279,-261.0531921386719
1643284764.2938416,6334,-166.1520233154297
1643284884.7912047,6730,-266.40289306640625
1643284921.3989236,6850,-194.695068359375
1643284964.2712173,6991,-331.0957946777344
1643285099.6923282,7436,-285.0877380371094
1643285108.2560136,7464,-251.1822509765625
1643285163.0887754,7644,-318.8499450683594
1643285360.179996,8291,-222.68270874023438
1643285438.497202,8548,-317.818359375
1643285440.3342087,8554,-261.7811584472656
1643285482.984335,8694,-229.25872802734375
1643285500.6148863,8752,-268.34100341796875
1643285622.4034355,9152,-279.745849609375
1643285652.7795475,9252,-230.50369262695312
1643285664.628631,9291,-200.71714782714844
1643285792.9162827,9712,-198.11370849609375
1643285805.406521,9753,-277.37890625
1643285830.9390655,9837,-200.2133331298828
1643285848.197842,9894,-207.66336059570312
1643285855.1448016,9917,-276.6033630371094
1643285864.8457496,9949,-338.6097106933594
1643285873.9794018,9979,-183.5167236328125
1643285899.5490701,10063,-256.3807067871094
1643285938.4945242,10191,-276.5174255371094
1643286015.931423,10445,-159.80776977539062
1643286038.1282425,10518,-234.3048858642578
1643286076.4364727,10645,-202.21009826660156
1643286190.7885048,11023,-206.3498077392578
1643286219.4371696,11118,-283.8912353515625
1643286431.0095224,11819,-205.58775329589844
1643286493.8489256,12027,-152.63006591796875
1643286508.7208676,12076,-287.1134948730469
1643286592.6076427,12354,-201.2535858154297
1643286629.3974125,12476,-201.31317138671875
1643286758.7866347,12905,-188.4901885986328
1643286879.2990453,13304,-250.77139282226562
1643286904.6655514,13388,-160.7457275390625
1643286945.1417918,13522,-189.62362670898438
1643287029.7827106,13802,-295.5924987792969
1643287043.9333413,13849,-264.83941650390625
1643287080.7384996,13971,-200.35931396484375
1643287284.2300587,14645,-234.4814453125
1643287346.4913526,14851,-200.9821014404297
1643287411.1166835,15065,-284.3962707519531
1643287503.5758107,15371,-318.5184326171875
1643287575.7633455,15610,-198.26663208007812
1643287766.2870479,16241,-163.238037109375
1643287954.897761,16866,-326.7802429199219
1643287959.9758418,16883,-202.27764892578125
1643287967.2298806,16907,-194.923583984375
1643288333.8769188,18121,-187.8104705810547
1643288336.2993119,18129,-225.15994262695312
1643288338.7251961,18137,-240.55426025390625
1643288442.4642682,18481,-274.3402099609375
1643288526.4967904,18759,-301.6632080078125
1643288537.3573885,18795,-216.14071655273438
1643288662.4381318,19209,-213.62271118164062
1643288695.6613455,19319,-211.2469482421875
1643288713.1506588,19377,-368.1620178222656
1643288750.5529552,19501,-210.0974884033203
1643288764.2119172,19546,-204.52490234375
1643288785.60549,19617,-237.9383087158203
1643289089.1893415,20618,-269.8631286621094
1643289097.7171597,20646,-203.8915252685547
1643289157.1586742,20841,-163.18418884277344
1643289195.9575944,20968,-280.6968078613281
1643289216.7246034,21036,-234.73989868164062
1643289287.0834289,21267,-287.6036682128906
1643289559.8889527,22162,-227.16941833496094
1643289724.5036485,22702,-288.4150085449219
1643289967.7482526,23500,-206.59754943847656
1643290263.3156636,24469,-251.39068603515625
1643290351.482878,24758,-265.00604248046875
1643290406.3450284,24938,-172.1073455810547
1643290422.5165029,24991,-365.5303649902344
1643290560.813844,25444,-173.7737579345703
1643290623.4376483,25649,-293.9082946777344
1643290708.9156506,25929,-260.0583190917969
1643290927.5185485,26646,-302.3963623046875
1643291129.3928614,27308,-236.97340393066406
1643291308.1614053,27894,-285.424072265625
1643291342.304168,28006,-312.7792663574219
1643291371.582068,28102,-258.85638427734375
1643291582.5529785,28794,-164.15528869628906
1643291739.886092,29310,-178.2624053955078
1643291794.7936943,29490,-249.6146697998047
1643291817.6656902,29565,-207.32745361328125
1643291839.3213694,29636,-209.1905517578125
1643291851.810967,29677,-185.34153747558594
1643291898.7869754,29831,-173.2891845703125
1643291967.03719,30055,-212.2799072265625
1643291974.6299524,30080,-246.1290283203125
1643292041.8266642,30300,-290.6158752441406
1643292242.8764691,30959,-242.35317993164062
1643292245.3117783,30967,-256.62530517578125
1643292370.1061084,31376,-241.27232360839844
1643292380.4922225,31410,-173.14315795898438
1643292456.7552261,31660,-243.58303833007812
1643292546.0779588,31953,-173.21536254882812
1643292564.7243583,32014,-200.6099090576172
1643292807.709193,32811,-185.6425018310547
1643292811.6911974,32824,-217.55316162109375
1643293079.1216726,33701,-175.31634521484375
1643293110.2255187,33803,-208.7192840576172
1643293128.8760247,33864,-273.88970947265625
1643293460.343233,34951,-144.4211883544922
1643293465.2177641,34967,-190.9130096435547
1643293517.9928415,35140,-236.96629333496094
1643293541.4818106,35217,-283.9227600097656
1643293620.8189194,35477,-216.446533203125
1643293643.4114175,35551,-290.12139892578125
1643293690.043158,35704,-275.2840270996094
1643293753.825652,35913,-332.3727722167969
1643293992.2807355,36694,-180.1640625
1643294052.3318782,36891,-178.61892700195312
1643294084.3572338,36996,-213.79019165039062
1643294105.3810391,37065,-200.94760131835938
1643294141.0417702,37182,-150.8850555419922
1643294291.117812,37674,-198.10865783691406
1643294313.9314702,37749,-261.8117980957031
1643294508.3688571,38386,-193.0673370361328
1643294508.6691546,38387,-276.7673034667969
1643294515.0980232,38408,-234.36163330078125
1643294636.0439503,38805,-219.49964904785156
1643294646.427016,38839,-273.81689453125
1643294703.1802843,39025,-147.24302673339844
1643294875.01622,39588,-240.20521545410156
1643294912.819414,39712,-200.7509307861328
1643295034.185427,40110,-168.44679260253906
1643295072.7008834,40236,-269.00177001953125
1643295076.6542366,40249,-199.2210693359375
1643295101.9850986,40332,-194.5239715576172
1643295127.5796793,40416,-173.36679077148438
1643295165.4312413,40540,-219.71026611328125
1643295188.900761,40617,-168.9093475341797
1643295288.1510363,40942,-258.4631042480469
1643295419.9272048,41374,-211.82565307617188
1643295450.0879276,41473,-164.43922424316406
1643295601.1822078,41968,-182.5105438232422
1643295614.5996652,42012,-186.24612426757812
1643295650.9189322,42131,-187.16049194335938
1643295751.6404567,42461,-171.1113739013672
1643295774.1921546,42535,-283.64990234375
1643295871.7680454,42855,-305.328369140625
1643295986.4087481,43231,-169.3957977294922
1643296298.6479666,44255,-165.3658447265625
1643296307.1952643,44283,-200.97653198242188
1643296327.3445227,44349,-190.6673583984375
1643296362.0811934,44463,-157.96157836914062
1643296380.0461283,44522,-146.73724365234375
1643296437.6784108,44711,-213.6057586669922
1643296441.6563387,44724,-213.23472595214844
1643296443.4808323,44730,-201.61375427246094
1643296452.9294214,44761,-196.55694580078125
1643296518.551931,44976,-239.76495361328125
1643296980.9904852,46492,-203.66165161132812
1643297102.313717,46890,-238.6288604736328
1643297155.0713756,47063,-251.0115966796875
1643297156.2987084,47067,-155.1309051513672
1643297161.1824353,47083,-275.75885009765625
1643297190.1824493,47178,-252.3968505859375
1643297228.6834822,47304,-146.25656127929688
1643297326.6025684,47625,-166.3406982421875
1643297440.5863576,47999,-220.83740234375
1643297498.5237422,48189,-311.2213134765625
1643297516.2474709,48247,-178.0778045654297
1643297796.3489566,49165,-144.9244384765625
1643297841.7584555,49314,-145.48094177246094
1643297893.322934,49483,-205.02076721191406
1643297975.3058193,49752,-301.4708251953125
1643298130.4232972,50261,-203.98875427246094
1643298245.6207669,50639,-214.73956298828125
1643298263.2824621,50697,-166.3287353515625
1643298598.7831762,51797,-184.3795623779297
1643298641.173437,51936,-224.68658447265625
1643298651.7671306,51971,-177.68601989746094
1643298664.5160067,52013,-273.5662841796875
1643298730.1102347,52229,-209.55482482910156
1643298740.4587414,52263,-220.4334716796875
1643298767.4784431,52352,-174.0241241455078
1643298771.1015525,52364,-169.5065155029297
1643298781.668645,52399,-263.774169921875
1643298954.636995,52967,-185.1821746826172
1643298989.8081849,53082,-166.7367706298828
1643299153.7449846,53623,-182.9989776611328
1643299280.7775755,54041,-227.12940979003906
1643299448.388337,54592,-198.67782592773438
1643299501.293601,54766,-184.70877075195312
1643299596.5117576,55079,-167.47084045410156
1643299617.5239768,55148,-173.16505432128906
1643299683.978102,55367,-180.9705047607422
1643299724.0166764,55499,-272.9677429199219
1643299750.4806376,55586,-148.70022583007812
1643299763.5398839,55629,-219.60482788085938
1643299790.4813511,55718,-219.73680114746094
1643299870.597761,55982,-254.70289611816406
1643300022.0798635,56481,-198.99624633789062
1643300158.2289057,56932,-162.13914489746094
1643300166.4088233,56959,-211.48818969726562
1643300315.6697087,57451,-207.3062744140625
1643300466.03728,57944,-262.7989196777344
1643300606.1531146,58405,-253.96881103515625
1643300670.1448393,58615,-248.02835083007812
1643300682.281655,58655,-188.6805419921875
1643300745.7110598,58865,-208.23951721191406
1643300803.6940706,59057,-292.7424621582031
1643300953.6819365,59553,-213.17835998535156
1643301090.2551181,60001,-296.6240539550781
1643301174.489254,60280,-280.27825927734375
1643301219.924966,60431,-149.5666046142578
1643301379.8172295,60958,-186.03309631347656
1643301513.8348846,61398,-239.17819213867188
1643301618.3800223,61742,-269.93243408203125
1643301667.3740587,61904,-156.9338836669922
1643301693.6214128,61990,-239.8736114501953
1643301801.5535018,62344,-210.34288024902344
1643301814.3090346,62386,-222.48609924316406
